sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,5.965,8.156,65.35,0.1976,79.68,3.351,4.235,4.688
5.0,5.924,8.104,65.03,0.1955,79.01,3.322,4.2,4.651
10.0,5.802,7.946,64.06,0.1891,77.02,3.234,4.097,4.542
15.0,5.601,7.686,62.46,0.1788,73.72,3.089,3.927,4.36
20.0,5.33,7.334,60.25,0.1653,69.39,2.899,3.702,4.12
25.0,4.99,6.892,57.45,0.1489,63.99,2.663,3.422,3.822
30.0,4.593,6.373,54.1,0.1305,57.75,2.392,3.1,3.477
35.0,4.148,5.789,50.24,0.111,50.94,2.098,2.748,3.099
40.0,3.668,5.154,45.93,0.09118,43.75,1.79,2.377,2.698
45.0,3.164,4.485,41.23,0.07208,36.46,1.481,2.0,2.289
50.0,2.654,3.8,36.22,0.05453,29.35,1.182,1.631,1.886
55.0,2.153,3.119,30.99,0.03921,22.68,0.9045,1.284,1.502
60.0,1.676,2.465,25.65,0.02661,16.7,0.6592,0.9693,1.151
65.0,1.242,1.857,20.35,0.01694,11.62,0.4533,0.6973,0.8416
70.0,0.8631,1.317,15.25,0.01008,7.557,0.291,0.4734,0.5817
75.0,0.5506,0.8595,10.54,0.005636,4.532,0.1719,0.299,0.3739
80.0,0.3094,0.4948,6.451,0.002985,2.454,0.09163,0.1707,0.2164
85.0,0.1392,0.2257,3.114,0.001455,1.134,0.04201,0.08071,0.1028
