case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,25.25,220.7,0.02391,5.431e-06,4261610590775.588
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,25.75,221.7,0.02215,5.794e-06,4192791300920.464
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,26.25,222.6,0.02052,6.142e-06,4100895719421.8003
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,26.75,223.5,0.01902,6.472e-06,3989222051543.593
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,27.25,224.4,0.01764,6.781e-06,3860878989937.008
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,27.75,225.3,0.01636,7.067e-06,3716840427602.8994
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,28.25,226.2,0.01518,7.326e-06,3560924802686.6416
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,28.75,227.1,0.01408,7.558e-06,3393978802008.0776
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,29.25,228.0,0.01307,7.759e-06,3221537638674.4526
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,29.75,228.9,0.01214,7.93e-06,3046230756545.506
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,30.25,229.8,0.01128,8.067e-06,2868057470690.36
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,30.75,230.8,0.01048,8.17e-06,2686978874940.051
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,31.25,231.9,0.009739,8.238e-06,2505832987629.8486
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,31.75,232.9,0.009055,8.272e-06,2329411467772.08
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,32.25,234.1,0.008423,8.273e-06,2155981989970.4697
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,32.75,235.3,0.007837,8.242e-06,1988278640789.275
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,33.25,236.6,0.007295,8.184e-06,1827649424261.8757
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,33.75,237.9,0.006794,8.101e-06,1675662111803.6365
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,34.25,239.3,0.006329,7.997e-06,1531920438307.335
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,34.75,240.7,0.005899,7.876e-06,1398056524685.3557
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,35.25,242.1,0.0055,7.744e-06,1274236266911.0796
