sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,4.091,6.151,65.06,0.05136,37.15,1.443,2.237,2.69
5.0,4.061,6.109,64.73,0.05071,36.8,1.429,2.218,2.669
10.0,3.97,5.984,63.77,0.0488,35.75,1.386,2.163,2.608
15.0,3.821,5.776,62.17,0.04574,34.04,1.317,2.074,2.508
20.0,3.62,5.496,59.96,0.04171,31.76,1.225,1.954,2.373
25.0,3.37,5.146,57.17,0.03693,28.98,1.113,1.808,2.207
30.0,3.078,4.736,53.83,0.03166,25.82,0.9865,1.639,2.016
35.0,2.754,4.275,49.98,0.02625,22.4,0.8503,1.456,1.807
40.0,2.404,3.777,45.68,0.02092,18.87,0.71,1.264,1.585
45.0,2.045,3.256,40.99,0.01597,15.39,0.5724,1.07,1.359
50.0,1.683,2.726,35.99,0.01161,12.07,0.4423,0.88,1.135
55.0,1.332,2.203,30.77,0.007972,9.063,0.3252,0.701,0.9195
60.0,1.005,1.706,25.45,0.005137,6.46,0.2252,0.5379,0.7194
65.0,0.7144,1.252,20.17,0.003085,4.334,0.145,0.3949,0.5392
70.0,0.4697,0.8558,15.09,0.001722,2.71,0.08549,0.2744,0.3827
75.0,0.2782,0.5318,10.41,0.0009016,1.561,0.04557,0.1776,0.2524
80.0,0.1426,0.2867,6.347,0.0004562,0.8175,0.0221,0.1034,0.1491
85.0,0.05991,0.1222,3.049,0.0002255,0.3734,0.01015,0.04892,0.07103
