sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.413,4.217,64.45,0.01011,14.45,0.4855,1.301,1.754
5.0,2.393,4.187,64.13,0.009972,14.3,0.4801,1.292,1.743
10.0,2.333,4.093,63.17,0.009576,13.88,0.4639,1.264,1.708
15.0,2.235,3.941,61.58,0.008944,13.19,0.4377,1.218,1.652
20.0,2.101,3.732,59.38,0.008114,12.26,0.4026,1.156,1.575
25.0,1.937,3.473,56.59,0.007143,11.15,0.3608,1.08,1.48
30.0,1.747,3.171,53.27,0.006084,9.893,0.3138,0.9925,1.369
35.0,1.538,2.834,49.43,0.005,8.549,0.2641,0.8955,1.246
40.0,1.316,2.473,45.15,0.003949,7.174,0.214,0.7921,1.113
45.0,1.089,2.097,40.49,0.002983,5.825,0.1658,0.6855,0.9745
50.0,0.8662,1.719,35.52,0.002139,4.556,0.1218,0.5786,0.8332
55.0,0.6565,1.353,30.33,0.001444,3.413,0.08374,0.4745,0.6929
60.0,0.4671,1.011,25.05,0.0009078,2.428,0.0529,0.3758,0.5571
65.0,0.306,0.7061,19.81,0.0005234,1.623,0.02989,0.2849,0.4292
70.0,0.1787,0.4496,14.78,0.000272,1.005,0.01452,0.2042,0.3124
75.0,0.08803,0.2499,10.15,0.0001252,0.5626,0.005737,0.1352,0.2101
80.0,0.03313,0.111,6.146,5.046e-05,0.2735,0.001795,0.07923,0.1249
85.0,0.008594,0.03262,2.914,1.752e-05,0.1046,0.0005498,0.03621,0.05831
