sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.38,3.378,61.41,0.0115,15.33,0.5238,1.373,1.843
5.0,2.36,3.352,61.1,0.01135,15.18,0.5179,1.363,1.83
10.0,2.301,3.273,60.18,0.0109,14.73,0.5006,1.333,1.794
15.0,2.204,3.145,58.66,0.01017,14.0,0.4725,1.285,1.735
20.0,2.072,2.971,56.55,0.009225,13.02,0.4351,1.22,1.654
25.0,1.909,2.755,53.9,0.008112,11.84,0.3901,1.139,1.554
30.0,1.721,2.504,50.72,0.006901,10.51,0.3397,1.046,1.437
35.0,1.514,2.225,47.06,0.005662,9.079,0.2862,0.9435,1.307
40.0,1.295,1.927,42.97,0.004462,7.618,0.2323,0.8341,1.167
45.0,1.071,1.619,38.51,0.003359,6.184,0.1803,0.7214,1.021
50.0,0.8504,1.312,33.77,0.0024,4.832,0.1327,0.6085,0.8729
55.0,0.6425,1.017,28.83,0.001612,3.613,0.09134,0.4986,0.7255
60.0,0.4552,0.7442,23.79,0.001005,2.563,0.05773,0.3944,0.5829
65.0,0.296,0.5054,18.8,0.0005735,1.706,0.03256,0.2987,0.4487
70.0,0.1704,0.309,14.01,0.0002936,1.048,0.01569,0.2137,0.3263
75.0,0.0817,0.1614,9.618,0.0001324,0.5804,0.006073,0.1413,0.2191
80.0,0.02918,0.06485,5.814,5.213e-05,0.2781,0.001828,0.08263,0.1301
85.0,0.007186,0.01682,2.747,1.8e-05,0.1049,0.0005632,0.03766,0.06061
