sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.262,3.244,61.35,0.01014,14.24,0.4763,1.329,1.799
5.0,2.243,3.218,61.04,0.01,14.1,0.4709,1.319,1.787
10.0,2.186,3.142,60.12,0.009602,13.68,0.4549,1.291,1.752
15.0,2.093,3.018,58.6,0.008963,13.0,0.4291,1.245,1.694
20.0,1.966,2.85,56.5,0.008128,12.1,0.3948,1.183,1.616
25.0,1.811,2.641,53.84,0.007147,11.0,0.3536,1.106,1.52
30.0,1.631,2.399,50.66,0.006081,9.768,0.3074,1.017,1.407
35.0,1.433,2.13,47.0,0.004991,8.447,0.2586,0.9181,1.282
40.0,1.223,1.842,42.92,0.003937,7.096,0.2094,0.8131,1.146
45.0,1.01,1.546,38.47,0.002968,5.769,0.1622,0.7047,1.005
50.0,0.8007,1.251,33.73,0.002126,4.519,0.1191,0.5958,0.8601
55.0,0.6039,0.9687,28.79,0.001434,3.39,0.08183,0.4894,0.7164
60.0,0.4273,0.7086,23.76,0.0009005,2.417,0.05167,0.3884,0.5768
65.0,0.2777,0.4813,18.77,0.0005196,1.62,0.02919,0.2951,0.445
70.0,0.1604,0.295,13.99,0.0002708,1.006,0.01419,0.2118,0.3244
75.0,0.0777,0.1553,9.606,0.0001253,0.5648,0.005613,0.1406,0.2184
80.0,0.02856,0.06376,5.811,5.081e-05,0.2752,0.00176,0.08246,0.1299
85.0,0.007331,0.01726,2.75,1.762e-05,0.1053,0.0005385,0.03772,0.06067
