sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.614,4.462,64.56,0.01268,16.45,0.5705,1.381,1.834
5.0,2.591,4.426,64.24,0.0125,16.27,0.5635,1.37,1.821
10.0,2.529,4.332,63.27,0.01201,15.8,0.5456,1.341,1.785
15.0,2.425,4.172,61.68,0.01122,15.01,0.5154,1.291,1.725
20.0,2.282,3.954,59.48,0.01018,13.96,0.475,1.224,1.643
25.0,2.109,3.685,56.7,0.00897,12.7,0.4269,1.142,1.542
30.0,1.907,3.371,53.37,0.007646,11.27,0.3727,1.048,1.424
35.0,1.684,3.019,49.53,0.006291,9.741,0.3152,0.9432,1.294
40.0,1.447,2.641,45.25,0.004976,8.176,0.257,0.8323,1.154
45.0,1.205,2.249,40.58,0.00377,6.646,0.2011,0.7186,1.008
50.0,0.9668,1.853,35.61,0.002716,5.205,0.1496,0.605,0.8596
55.0,0.7407,1.469,30.42,0.001848,3.907,0.1047,0.4948,0.7132
60.0,0.5357,1.108,25.13,0.001176,2.79,0.06794,0.3909,0.5723
65.0,0.3598,0.786,19.88,0.0006922,1.879,0.04007,0.2958,0.4401
70.0,0.2188,0.5129,14.85,0.0003727,1.177,0.02092,0.2118,0.32
75.0,0.1159,0.2977,10.21,0.0001821,0.6728,0.009413,0.1404,0.2153
80.0,0.05031,0.1439,6.2,8.107e-05,0.3392,0.003691,0.08266,0.1284
85.0,0.01698,0.05099,2.955,3.296e-05,0.139,0.001442,0.03829,0.0604
