sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.551,4.385,64.53,0.01188,15.83,0.5443,1.356,1.809
5.0,2.53,4.352,64.21,0.01172,15.67,0.5382,1.346,1.797
10.0,2.467,4.257,63.24,0.01126,15.21,0.5203,1.317,1.761
15.0,2.365,4.099,61.65,0.01051,14.45,0.4913,1.269,1.702
20.0,2.226,3.885,59.45,0.009538,13.44,0.4526,1.203,1.622
25.0,2.054,3.617,56.67,0.008388,12.21,0.4057,1.123,1.522
30.0,1.856,3.307,53.34,0.00715,10.84,0.3541,1.03,1.407
35.0,1.637,2.96,49.51,0.005872,9.359,0.2988,0.9279,1.279
40.0,1.405,2.588,45.22,0.004645,7.857,0.2433,0.8196,1.141
45.0,1.168,2.201,40.55,0.003514,6.382,0.1897,0.708,0.997
50.0,0.9349,1.811,35.58,0.002528,4.997,0.1406,0.5966,0.8512
55.0,0.7146,1.433,30.4,0.001719,3.751,0.09805,0.4885,0.7069
60.0,0.5155,1.08,25.11,0.001094,2.682,0.06339,0.3864,0.5678
65.0,0.3454,0.7648,19.87,0.0006477,1.811,0.03735,0.293,0.4372
70.0,0.2103,0.4992,14.83,0.0003547,1.143,0.0197,0.2103,0.3185
75.0,0.1129,0.2914,10.2,0.0001811,0.6646,0.009285,0.14,0.2148
80.0,0.05184,0.1448,6.196,8.826e-05,0.3478,0.00415,0.0829,0.1286
85.0,0.02063,0.05678,2.96,4.102e-05,0.1535,0.001958,0.0389,0.061
