sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.987,4.059,61.7,0.02246,22.38,0.8253,1.661,2.131
5.0,2.963,4.029,61.39,0.02217,22.16,0.8165,1.648,2.116
10.0,2.893,3.939,60.46,0.0213,21.51,0.7907,1.61,2.071
15.0,2.778,3.792,58.94,0.01991,20.46,0.749,1.548,1.998
20.0,2.622,3.592,56.84,0.01808,19.04,0.6933,1.465,1.899
25.0,2.428,3.344,54.18,0.01594,17.33,0.626,1.363,1.777
30.0,2.204,3.055,50.99,0.0136,15.4,0.5503,1.245,1.636
35.0,1.956,2.733,47.32,0.0112,13.33,0.4695,1.116,1.479
40.0,1.693,2.388,43.22,0.008881,11.21,0.3875,0.9795,1.313
45.0,1.422,2.03,38.76,0.006742,9.125,0.3077,0.8405,1.141
50.0,1.153,1.671,34.0,0.004875,7.16,0.2335,0.703,0.9673
55.0,0.8962,1.323,29.05,0.003336,5.387,0.168,0.5709,0.7978
60.0,0.6613,0.9985,24.0,0.002145,3.86,0.1132,0.4477,0.6362
65.0,0.4569,0.7096,18.99,0.001286,2.613,0.07044,0.3365,0.4865
70.0,0.2899,0.4662,14.19,0.0007159,1.652,0.03983,0.2396,0.3521
75.0,0.1641,0.2753,9.774,0.0003709,0.9618,0.02019,0.1583,0.2361
80.0,0.07953,0.1391,5.948,0.0001832,0.5033,0.009331,0.09342,0.1409
85.0,0.03202,0.05587,2.848,8.928e-05,0.2252,0.004329,0.04407,0.06702
