sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.276,4.05,64.38,0.008706,13.24,0.4334,1.253,1.706
5.0,2.258,4.021,64.05,0.008603,13.12,0.4292,1.245,1.695
10.0,2.201,3.93,63.09,0.008259,12.73,0.4144,1.218,1.662
15.0,2.106,3.782,61.5,0.007712,12.09,0.3905,1.175,1.608
20.0,1.979,3.579,59.31,0.006994,11.25,0.3588,1.116,1.534
25.0,1.822,3.328,56.52,0.006152,10.22,0.3208,1.044,1.443
30.0,1.64,3.036,53.2,0.005236,9.071,0.2782,0.9597,1.337
35.0,1.44,2.71,49.37,0.004299,7.837,0.2333,0.867,1.218
40.0,1.229,2.36,45.09,0.003392,6.577,0.1882,0.7682,1.089
45.0,1.013,1.997,40.43,0.002558,5.343,0.145,0.666,0.955
50.0,0.8027,1.633,35.46,0.001833,4.181,0.1058,0.5634,0.818
55.0,0.6047,1.281,30.28,0.001236,3.135,0.07204,0.4631,0.6815
60.0,0.4272,0.9532,25.0,0.0007766,2.234,0.045,0.3676,0.549
65.0,0.2774,0.6622,19.77,0.0004487,1.499,0.02509,0.2795,0.4238
70.0,0.1603,0.4191,14.74,0.000235,0.9329,0.01203,0.2009,0.3091
75.0,0.07824,0.2315,10.13,0.0001103,0.5275,0.004746,0.1335,0.2083
80.0,0.0296,0.1027,6.128,4.606e-05,0.2606,0.001548,0.07841,0.1241
85.0,0.008157,0.03102,2.906,1.664e-05,0.1021,0.0005115,0.03595,0.05805
