sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.131,3.092,61.27,0.008731,13.07,0.4256,1.282,1.751
5.0,2.112,3.067,60.96,0.008613,12.94,0.4207,1.273,1.74
10.0,2.058,2.994,60.04,0.008267,12.56,0.4061,1.246,1.706
15.0,1.969,2.874,58.52,0.007715,11.93,0.3827,1.202,1.651
20.0,1.848,2.712,56.42,0.006993,11.1,0.3515,1.142,1.576
25.0,1.699,2.51,53.77,0.006145,10.1,0.3141,1.069,1.483
30.0,1.527,2.277,50.59,0.005225,8.964,0.2724,0.9841,1.375
35.0,1.339,2.018,46.93,0.004285,7.752,0.2283,0.89,1.254
40.0,1.139,1.739,42.85,0.003376,6.511,0.1841,0.7894,1.123
45.0,0.9372,1.458,38.4,0.002543,5.297,0.1418,0.6854,0.9854
50.0,0.7396,1.176,33.67,0.001819,4.151,0.1033,0.5807,0.8451
55.0,0.5544,0.9063,28.73,0.001226,3.118,0.07037,0.4781,0.7051
60.0,0.3893,0.6593,23.71,0.0007705,2.227,0.04395,0.3803,0.5688
65.0,0.2506,0.4448,18.73,0.0004459,1.497,0.02451,0.2897,0.4397
70.0,0.1431,0.2704,13.96,0.0002344,0.9347,0.01176,0.2086,0.3211
75.0,0.06865,0.1412,9.577,0.0001106,0.53,0.004646,0.1388,0.2166
80.0,0.02539,0.05797,5.791,4.641e-05,0.2624,0.001517,0.08162,0.1291
85.0,0.006961,0.01636,2.742,1.672e-05,0.1027,0.0005009,0.03746,0.06041
