sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.122,4.208,61.75,0.02547,24.12,0.8993,1.733,2.202
5.0,3.097,4.177,61.44,0.02513,23.88,0.8899,1.719,2.186
10.0,3.024,4.085,60.52,0.02415,23.18,0.862,1.679,2.14
15.0,2.905,3.933,59.0,0.02258,22.05,0.8169,1.614,2.063
20.0,2.741,3.726,56.89,0.0205,20.51,0.7556,1.525,1.959
25.0,2.542,3.471,54.22,0.01809,18.69,0.6838,1.418,1.832
30.0,2.31,3.173,51.04,0.01544,16.6,0.6017,1.294,1.685
35.0,2.052,2.841,47.37,0.01273,14.37,0.5141,1.158,1.522
40.0,1.777,2.484,43.27,0.01008,12.08,0.4248,1.015,1.348
45.0,1.493,2.112,38.8,0.007646,9.816,0.3375,0.8684,1.168
50.0,1.213,1.741,34.04,0.005522,7.695,0.2567,0.7246,0.9889
55.0,0.9443,1.379,29.08,0.003767,5.775,0.1848,0.5865,0.8135
60.0,0.6975,1.042,24.03,0.002409,4.123,0.1245,0.4584,0.6468
65.0,0.482,0.7403,19.02,0.001431,2.774,0.07736,0.3431,0.4931
70.0,0.3053,0.4856,14.21,0.0007843,1.739,0.04344,0.2432,0.3557
75.0,0.1717,0.2854,9.786,0.0003955,0.9986,0.02162,0.1599,0.2377
80.0,0.08166,0.1424,5.954,0.000185,0.5104,0.009523,0.09379,0.1413
85.0,0.03075,0.05463,2.849,7.975e-05,0.2157,0.003867,0.04373,0.06668
