wavelength_nm,irradiance_col1
280.5,9.282e-20
281.5,8.692e-18
282.5,2.932e-16
283.5,2.594e-15
284.5,8.785e-14
285.5,7.312e-13
286.5,1.678e-11
287.5,2.036e-10
288.5,2.289e-09
289.5,2.227e-08
290.5,1.442e-07
291.5,7.883e-07
292.5,2.945e-06
293.5,1.291e-05
294.5,3.362e-05
295.5,0.0001196
296.5,0.0002764
297.5,0.0006795
298.5,0.0009949
299.5,0.002712
300.5,0.002939
301.5,0.006877
302.5,0.00952
303.5,0.01844
304.5,0.02164
305.5,0.03196
306.5,0.03497
307.5,0.0555
308.5,0.06428
309.5,0.06036
310.5,0.0859
311.5,0.1139
312.5,0.1172
313.5,0.1343
314.5,0.1407
315.5,0.1461
316.5,0.1508
317.5,0.213
318.5,0.1732
319.5,0.2124
320.5,0.2603
321.5,0.2275
322.5,0.2239
323.5,0.239
324.5,0.2799
325.5,0.3124
326.5,0.3868
327.5,0.3574
328.5,0.3305
329.5,0.4351
330.5,0.393
331.5,0.3881
332.5,0.3865
333.5,0.3616
334.5,0.4052
335.5,0.4128
336.5,0.3224
337.5,0.3528
338.5,0.3744
339.5,0.4075
340.5,0.435
341.5,0.3875
342.5,0.4296
343.5,0.446
344.5,0.3124
345.5,0.4292
346.5,0.401
347.5,0.3921
348.5,0.4313
349.5,0.3615
350.5,0.5064
351.5,0.4366
352.5,0.3939
353.5,0.4745
354.5,0.5138
355.5,0.4803
356.5,0.4459
357.5,0.3793
358.5,0.2928
359.5,0.4929
360.5,0.457
361.5,0.4122
362.5,0.4842
363.5,0.4309
364.5,0.4702
365.5,0.5731
366.5,0.6067
367.5,0.5762
368.5,0.5064
369.5,0.6076
370.5,0.5514
371.5,0.6311
372.5,0.4663
373.5,0.4216
374.5,0.4629
375.5,0.5224
376.5,0.5218
377.5,0.6216
378.5,0.6777
379.5,0.5015
380.5,0.6033
381.5,0.5671
382.5,0.378
383.5,0.332
384.5,0.4984
385.5,0.4933
386.5,0.503
387.5,0.4676
388.5,0.4688
389.5,0.5914
390.5,0.5811
391.5,0.6896
392.5,0.5172
393.5,0.2249
394.5,0.5295
395.5,0.6815
396.5,0.4003
397.5,0.462
398.5,0.7942
399.5,0.8263
400.5,0.869
401.5,0.8944
402.5,0.9288
403.5,0.8504
404.5,0.8343
405.5,0.867
406.5,0.8169
407.5,0.8238
408.5,0.9178
409.5,0.9
410.5,0.7807
411.5,0.9387
412.5,0.9307
413.5,0.9029
414.5,0.9283
415.5,0.8882
416.5,0.9669
417.5,0.8842
418.5,0.8914
419.5,0.9211
