sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,1.888,3.56,64.12,0.005581,10.23,0.3038,1.133,1.586
5.0,1.871,3.532,63.8,0.005506,10.13,0.3001,1.125,1.576
10.0,1.821,3.45,62.84,0.005285,9.831,0.2893,1.102,1.547
15.0,1.74,3.316,61.26,0.004934,9.346,0.2718,1.065,1.498
20.0,1.63,3.133,59.06,0.004474,8.698,0.2486,1.014,1.432
25.0,1.494,2.907,56.29,0.003935,7.915,0.2209,0.9509,1.35
30.0,1.339,2.643,52.97,0.003349,7.032,0.1902,0.8777,1.255
35.0,1.168,2.351,49.15,0.002749,6.089,0.158,0.7964,1.147
40.0,0.9889,2.038,44.88,0.00217,5.124,0.1259,0.7091,1.03
45.0,0.8078,1.715,40.23,0.001638,4.178,0.09555,0.6183,0.9073
50.0,0.6322,1.393,35.27,0.001175,3.286,0.06838,0.5263,0.7809
55.0,0.469,1.083,30.11,0.0007958,2.481,0.0455,0.4355,0.6539
60.0,0.3251,0.7973,24.85,0.0005036,1.784,0.0276,0.3482,0.5295
65.0,0.2061,0.5465,19.64,0.000295,1.212,0.01485,0.2666,0.4108
70.0,0.1156,0.3399,14.64,0.0001584,0.7667,0.006842,0.1928,0.3011
75.0,0.05445,0.1837,10.04,7.742e-05,0.4431,0.002623,0.1289,0.2037
80.0,0.02015,0.07961,6.072,3.428e-05,0.2253,0.000892,0.07604,0.1217
85.0,0.005986,0.02423,2.878,1.311e-05,0.09146,0.0003371,0.03496,0.05706
