sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.328,4.434,61.82,0.03113,27.08,1.025,1.856,2.326
5.0,3.303,4.402,61.51,0.03073,26.82,1.014,1.841,2.309
10.0,3.226,4.305,60.59,0.02954,26.03,0.9832,1.798,2.258
15.0,3.101,4.148,59.06,0.02764,24.77,0.9326,1.727,2.176
20.0,2.929,3.932,56.96,0.02513,23.06,0.8644,1.631,2.065
25.0,2.719,3.667,54.29,0.02219,21.02,0.783,1.514,1.928
30.0,2.474,3.356,51.1,0.01897,18.69,0.6907,1.38,1.77
35.0,2.203,3.009,47.43,0.01566,16.19,0.5918,1.232,1.596
40.0,1.913,2.636,43.33,0.01244,13.62,0.4909,1.078,1.411
45.0,1.613,2.248,38.86,0.009456,11.09,0.3922,0.9201,1.22
50.0,1.316,1.858,34.1,0.006846,8.698,0.3,0.7651,1.029
55.0,1.03,1.479,29.13,0.004687,6.536,0.2178,0.6173,0.8442
60.0,0.7664,1.123,24.08,0.003011,4.672,0.1484,0.4806,0.6691
65.0,0.535,0.8039,19.06,0.001801,3.149,0.09359,0.3584,0.5083
70.0,0.3435,0.5329,14.24,0.0009952,1.978,0.05364,0.253,0.3655
75.0,0.197,0.3178,9.818,0.0005072,1.139,0.02742,0.1658,0.2436
80.0,0.09616,0.1619,5.979,0.0002394,0.5845,0.01238,0.09701,0.1445
85.0,0.03699,0.06362,2.865,0.0001028,0.2475,0.004997,0.04521,0.06817
