sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,1.93,3.614,64.15,0.005863,10.53,0.3166,1.145,1.598
5.0,1.912,3.584,63.83,0.005783,10.42,0.3127,1.137,1.588
10.0,1.862,3.503,62.87,0.005552,10.11,0.3015,1.114,1.558
15.0,1.779,3.367,61.29,0.005183,9.614,0.2834,1.076,1.509
20.0,1.667,3.182,59.09,0.0047,8.946,0.2594,1.024,1.442
25.0,1.529,2.953,56.31,0.004133,8.139,0.2306,0.9599,1.359
30.0,1.371,2.686,52.99,0.003517,7.229,0.1987,0.8857,1.262
35.0,1.197,2.389,49.17,0.002887,6.257,0.1652,0.8032,1.154
40.0,1.014,2.072,44.9,0.002278,5.263,0.1318,0.7148,1.036
45.0,0.829,1.745,40.25,0.001718,4.288,0.1002,0.6229,0.9119
50.0,0.6493,1.418,35.3,0.001232,3.37,0.07181,0.5298,0.7844
55.0,0.4824,1.103,30.13,0.0008332,2.541,0.04787,0.4381,0.6565
60.0,0.3349,0.8127,24.87,0.0005262,1.825,0.0291,0.35,0.5313
65.0,0.2126,0.5574,19.65,0.0003072,1.237,0.01569,0.2677,0.412
70.0,0.1193,0.3469,14.65,0.000164,0.7802,0.007226,0.1935,0.3018
75.0,0.05617,0.1874,10.05,7.949e-05,0.4491,0.002751,0.1292,0.204
80.0,0.02059,0.08094,6.076,3.477e-05,0.2271,0.0009129,0.07618,0.1219
85.0,0.005924,0.0242,2.879,1.316e-05,0.09148,0.000338,0.03499,0.05708
