sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.506,5.498,64.9,0.03072,27.56,1.039,1.832,2.285
5.0,3.48,5.46,64.58,0.03035,27.31,1.029,1.818,2.268
10.0,3.4,5.346,63.61,0.02918,26.51,0.997,1.774,2.219
15.0,3.269,5.158,62.02,0.0273,25.22,0.9459,1.704,2.137
20.0,3.091,4.902,59.81,0.02484,23.49,0.8775,1.609,2.027
25.0,2.871,4.584,57.02,0.02194,21.4,0.7948,1.492,1.892
30.0,2.615,4.21,53.68,0.01877,19.03,0.7014,1.359,1.736
35.0,2.331,3.793,49.84,0.01551,16.48,0.6014,1.213,1.563
40.0,2.027,3.342,45.54,0.01233,13.86,0.4991,1.059,1.38
45.0,1.713,2.871,40.86,0.009386,11.28,0.3992,0.9033,1.192
50.0,1.4,2.393,35.87,0.006808,8.837,0.3055,0.7499,1.005
55.0,1.099,1.925,30.66,0.004672,6.633,0.222,0.6039,0.8224
60.0,0.8206,1.481,25.35,0.00301,4.734,0.1515,0.4691,0.6505
65.0,0.5752,1.078,20.08,0.001805,3.184,0.09561,0.349,0.4933
70.0,0.3714,0.729,15.02,0.0009997,1.996,0.05485,0.2458,0.354
75.0,0.2144,0.446,10.35,0.0005097,1.147,0.02804,0.1607,0.2356
80.0,0.1055,0.2343,6.306,0.0002401,0.5874,0.01266,0.09384,0.1396
85.0,0.04072,0.09432,3.024,0.0001029,0.2486,0.005104,0.04368,0.06579
