sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.565,4.692,61.89,0.03821,30.61,1.175,2.004,2.474
5.0,3.538,4.658,61.59,0.03772,30.31,1.163,1.988,2.456
10.0,3.457,4.557,60.66,0.03627,29.43,1.128,1.94,2.401
15.0,3.324,4.392,59.14,0.03396,28.01,1.071,1.863,2.312
20.0,3.144,4.167,57.03,0.03092,26.1,0.9939,1.758,2.192
25.0,2.92,3.887,54.36,0.02732,23.79,0.9011,1.629,2.044
30.0,2.66,3.56,51.17,0.02338,21.16,0.796,1.482,1.873
35.0,2.371,3.195,47.49,0.01932,18.33,0.6833,1.321,1.684
40.0,2.061,2.801,43.39,0.01535,15.42,0.5679,1.151,1.484
45.0,1.742,2.392,38.92,0.01166,12.54,0.4547,0.9793,1.279
50.0,1.423,1.979,34.15,0.008423,9.819,0.3483,0.8105,1.075
55.0,1.116,1.576,29.18,0.005735,7.349,0.253,0.6501,0.877
60.0,0.8305,1.197,24.12,0.003644,5.216,0.172,0.5025,0.691
65.0,0.5786,0.8558,19.09,0.002134,3.472,0.1077,0.3714,0.5214
70.0,0.3688,0.5639,14.27,0.001138,2.138,0.0605,0.2595,0.3721
75.0,0.2073,0.3311,9.832,0.000549,1.193,0.02959,0.1681,0.2459
80.0,0.09633,0.1625,5.982,0.0002431,0.5862,0.01236,0.09714,0.1446
85.0,0.03408,0.0593,2.858,0.0001031,0.2391,0.004762,0.0448,0.06776
