sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.904,5.055,61.99,0.05208,36.51,1.427,2.259,2.729
5.0,3.874,5.019,61.68,0.05142,36.16,1.413,2.241,2.708
10.0,3.787,4.912,60.76,0.04948,35.13,1.371,2.186,2.646
15.0,3.644,4.736,59.23,0.04637,33.45,1.303,2.096,2.546
20.0,3.45,4.49,57.11,0.04228,31.2,1.211,1.975,2.409
25.0,3.209,4.199,54.45,0.03743,28.47,1.1,1.828,2.242
30.0,2.929,3.852,51.26,0.0321,25.36,0.9743,1.659,2.05
35.0,2.616,3.462,47.58,0.02658,21.99,0.8385,1.474,1.838
40.0,2.283,3.044,43.47,0.02119,18.54,0.7004,1.281,1.614
45.0,1.937,2.607,38.99,0.01616,15.11,0.564,1.085,1.385
50.0,1.591,2.166,34.22,0.01172,11.86,0.4353,0.8941,1.158
55.0,1.257,1.735,29.25,0.008041,8.909,0.3198,0.7135,0.9404
60.0,0.9456,1.329,24.18,0.00517,6.356,0.2212,0.5487,0.7371
65.0,0.6695,0.9612,19.15,0.003095,4.271,0.1422,0.4037,0.5537
70.0,0.4382,0.6461,14.32,0.001723,2.675,0.08377,0.2813,0.3939
75.0,0.2581,0.393,9.879,0.000901,1.545,0.04462,0.1825,0.2603
80.0,0.1316,0.207,6.023,0.0004567,0.8098,0.02165,0.1064,0.1539
85.0,0.05526,0.08726,2.892,0.0002264,0.3697,0.009955,0.0504,0.07336
