case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
pal1,waccm_eq,296.309,0.1341,0.1329,0.1294,0.1237,0.1158,0.1062,0.0951,0.08289,0.07005,0.05706,0.04448,0.03287,0.02273,0.01451,0.00844,0.004484,0.002274,0.001133
pal1,waccm_eq,300.5,0.1761,0.1748,0.171,0.1646,0.156,0.1452,0.1326,0.1185,0.1033,0.08744,0.07151,0.05607,0.04173,0.02908,0.01865,0.01077,0.005508,0.002483
pal1,waccm_eq,303.0,0.2808,0.2789,0.2733,0.264,0.2512,0.2353,0.2166,0.1955,0.1726,0.1484,0.1238,0.09943,0.07625,0.05514,0.03697,0.0224,0.01182,0.005181
pal1,waccm_eq,304.0,0.2706,0.2688,0.2635,0.2548,0.2427,0.2277,0.2079,0.19,0.1683,0.1453,0.1217,0.09832,0.07594,0.05541,0.03754,0.02302,0.01228,0.005358
pal1,waccm_eq,305.0,0.3152,0.3132,0.3071,0.2972,0.2836,0.2665,0.2464,0.2236,0.1988,0.1724,0.1453,0.1183,0.09219,0.06804,0.04676,0.02916,0.01579,0.006887
pal1,waccm_eq,306.0,0.2676,0.2659,0.2609,0.2526,0.2413,0.2271,0.2102,0.1912,0.1704,0.1482,0.1254,0.1026,0.08041,0.05979,0.04146,0.02614,0.0143,0.006244
pal1,waccm_eq,307.0,0.3092,0.3073,0.3016,0.2923,0.2794,0.2633,0.243,0.2226,0.1988,0.1736,0.1475,0.1212,0.09563,0.07167,0.0502,0.03203,0.01775,0.007777
pal1,waccm_eq,308.0,0.3283,0.3263,0.3204,0.3106,0.2972,0.2804,0.2605,0.2379,0.213,0.1865,0.159,0.1313,0.1042,0.07868,0.05561,0.03588,0.02014,0.008871
pal1,waccm_eq,309.0,0.3225,0.3206,0.3149,0.3054,0.2924,0.276,0.2567,0.2346,0.2104,0.1846,0.1577,0.1306,0.104,0.07878,0.05596,0.03633,0.02053,0.009073
pal1,waccm_eq,310.0,0.2864,0.2848,0.2798,0.2715,0.2602,0.2459,0.229,0.2098,0.1886,0.1659,0.1423,0.1184,0.09483,0.07242,0.05194,0.03413,0.01957,0.008739
pal1,waccm_eq,311.0,0.4623,0.4587,0.4516,0.4384,0.4203,0.3975,0.3704,0.3396,0.3057,0.2693,0.2314,0.1928,0.1548,0.1186,0.08537,0.05637,0.0325,0.01457
pal1,waccm_eq,312.0,0.3889,0.3867,0.38,0.3691,0.354,0.3351,0.3126,0.2869,0.2586,0.2282,0.1965,0.1643,0.1324,0.1018,0.07371,0.04901,0.02851,0.01288
pal1,waccm_eq,313.0,0.4103,0.408,0.4011,0.3897,0.374,0.3542,0.3307,0.3039,0.2743,0.2426,0.2093,0.1754,0.1418,0.1096,0.07974,0.0534,0.03134,0.01428
pal1,waccm_eq,314.0,0.4385,0.436,0.4287,0.4165,0.3998,0.3788,0.3539,0.3254,0.2939,0.26,0.2246,0.1884,0.1526,0.118,0.08609,0.05779,0.03403,0.01554
pal1,waccm_eq,316.0,0.4136,0.4113,0.4045,0.3933,0.3778,0.3583,0.3352,0.3087,0.2794,0.2479,0.2148,0.1809,0.1472,0.1146,0.0842,0.05709,0.03407,0.01579
