sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,5.547,7.718,65.3,0.1533,68.93,2.849,3.703,4.156
5.0,5.509,7.667,64.98,0.1516,68.34,2.823,3.673,4.123
10.0,5.394,7.517,64.01,0.1465,66.57,2.747,3.582,4.026
15.0,5.206,7.271,62.41,0.1383,63.7,2.623,3.434,3.867
20.0,4.949,6.932,60.2,0.1274,59.8,2.455,3.233,3.651
25.0,4.63,6.512,57.41,0.1144,55.04,2.252,2.988,3.388
30.0,4.258,6.019,54.06,0.09987,49.59,2.02,2.707,3.084
35.0,3.84,5.462,50.2,0.08449,43.59,1.766,2.398,2.748
40.0,3.391,4.86,45.89,0.06908,37.33,1.503,2.075,2.396
45.0,2.921,4.225,41.19,0.05431,31.01,1.239,1.747,2.036
50.0,2.446,3.576,36.19,0.04087,24.88,0.9859,1.427,1.682
55.0,1.98,2.933,30.96,0.02927,19.17,0.7527,1.127,1.345
60.0,1.54,2.315,25.62,0.01985,14.1,0.5478,0.8552,1.037
65.0,1.139,1.744,20.33,0.01269,9.826,0.377,0.6201,0.7644
70.0,0.792,1.237,15.23,0.007661,6.43,0.2432,0.4258,0.5341
75.0,0.5069,0.8095,10.53,0.004391,3.911,0.1455,0.273,0.3479
80.0,0.2876,0.4693,6.442,0.002397,2.167,0.07932,0.1585,0.2042
85.0,0.132,0.2172,3.111,0.001184,1.023,0.03725,0.07585,0.09796
