sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.954,4.864,64.71,0.01774,20.1,0.7253,1.527,1.98
5.0,2.93,4.829,64.39,0.0175,19.9,0.7175,1.515,1.966
10.0,2.86,4.725,63.42,0.01681,19.3,0.6943,1.481,1.925
15.0,2.742,4.552,61.83,0.0157,18.34,0.6568,1.424,1.857
20.0,2.588,4.32,59.63,0.01426,17.06,0.6068,1.348,1.766
25.0,2.394,4.029,56.84,0.01255,15.5,0.5464,1.254,1.654
30.0,2.17,3.69,53.5,0.01069,13.75,0.4786,1.146,1.523
35.0,1.921,3.31,49.66,0.008788,11.86,0.4063,1.028,1.378
40.0,1.657,2.901,45.37,0.00694,9.938,0.3328,0.9025,1.224
45.0,1.385,2.475,40.7,0.005239,8.049,0.2616,0.7746,1.064
50.0,1.116,2.044,35.71,0.003755,6.272,0.1957,0.6477,0.9023
55.0,0.8587,1.624,30.51,0.002534,4.674,0.1377,0.5257,0.7442
60.0,0.624,1.228,25.21,0.001593,3.304,0.08981,0.4119,0.5932
65.0,0.4207,0.8726,19.95,0.0009214,2.194,0.05312,0.3089,0.4532
70.0,0.2565,0.5696,14.9,0.0004844,1.35,0.02771,0.2192,0.3275
75.0,0.1357,0.3298,10.25,0.000231,0.7566,0.01242,0.1442,0.2191
80.0,0.05877,0.1588,6.221,0.0001025,0.3758,0.004917,0.08441,0.1301
85.0,0.02037,0.05682,2.964,4.371e-05,0.1553,0.00203,0.03908,0.06118
