sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.396,3.396,61.43,0.01194,15.59,0.5342,1.384,1.853
5.0,2.376,3.37,61.12,0.01178,15.43,0.5283,1.373,1.841
10.0,2.316,3.292,60.2,0.01131,14.97,0.5106,1.344,1.804
15.0,2.219,3.163,58.68,0.01055,14.23,0.482,1.295,1.744
20.0,2.087,2.989,56.58,0.009569,13.24,0.444,1.229,1.663
25.0,1.924,2.772,53.92,0.008404,12.03,0.398,1.147,1.562
30.0,1.735,2.521,50.74,0.007152,10.68,0.3467,1.053,1.444
35.0,1.529,2.243,47.08,0.005877,9.24,0.2929,0.9503,1.314
40.0,1.309,1.945,42.99,0.004638,7.762,0.2382,0.8402,1.174
45.0,1.086,1.638,38.54,0.003502,6.313,0.1857,0.7269,1.027
50.0,0.8661,1.332,33.79,0.002515,4.949,0.1375,0.6135,0.8779
55.0,0.6594,1.038,28.85,0.001707,3.722,0.09584,0.5032,0.7302
60.0,0.4732,0.7677,23.82,0.001086,2.666,0.06193,0.3989,0.5873
65.0,0.315,0.5308,18.83,0.0006427,1.804,0.03648,0.303,0.453
70.0,0.1901,0.336,14.05,0.0003526,1.141,0.01925,0.2179,0.3304
75.0,0.101,0.1888,9.66,0.0001806,0.6653,0.009076,0.1453,0.2231
80.0,0.0459,0.09005,5.863,8.822e-05,0.3487,0.004059,0.08612,0.1336
85.0,0.01836,0.0351,2.798,4.093e-05,0.1537,0.001914,0.04042,0.06337
