case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85,irradiance_col1
pal100,waccm_eq,314.5,0.3065,0.3046,0.2986,0.2888,0.2753,0.2584,0.2384,0.2158,0.1911,0.1648,0.1377,0.1107,0.0845,0.06027,0.03899,0.02166,0.009177,0.002324,
pal100,waccm_eq,315.5,0.3162,0.3141,0.308,0.298,0.2842,0.267,0.2466,0.2234,0.1981,0.1712,0.1434,0.1155,0.08851,0.06342,0.04131,0.02318,0.009976,0.002569,
pal100,waccm_eq,316.5,0.3116,0.3096,0.3039,0.2944,0.2813,0.2649,0.2455,0.2235,0.1992,0.1733,0.1465,0.1194,0.0929,0.06799,0.04563,0.02679,0.01241,0.003509,
pal100,waccm_eq,317.5,0.4408,0.438,0.4299,0.4165,0.3981,0.3749,0.3475,0.3164,0.2821,0.2455,0.2076,0.1692,0.1317,0.09644,0.06475,0.03804,0.01763,0.004991,
pal100,waccm_eq,318.5,0.3432,0.3412,0.3351,0.325,0.3112,0.2938,0.2732,0.2497,0.2238,0.196,0.167,0.1376,0.1087,0.0811,0.05596,0.03429,0.01704,0.005379,
pal100,waccm_eq,319.5,0.4182,0.4157,0.4083,0.3962,0.3795,0.3585,0.3336,0.3051,0.2738,0.2402,0.205,0.1693,0.1341,0.1004,0.06969,0.04306,0.02169,0.007017,
pal100,waccm_eq,320.5,0.5076,0.5046,0.4957,0.4812,0.4611,0.4359,0.4059,0.3717,0.3339,0.2934,0.2509,0.2078,0.1651,0.1242,0.08674,0.0541,0.02771,0.009218,
pal100,waccm_eq,321.5,0.4269,0.4245,0.4174,0.4056,0.3893,0.3687,0.3444,0.3165,0.2856,0.2524,0.2176,0.1819,0.1464,0.1121,0.08025,0.05203,0.02847,0.01072,
pal100,waccm_eq,322.5,0.433,0.4305,0.423,0.4107,0.3938,0.3725,0.3472,0.3183,0.2863,0.252,0.216,0.1793,0.1429,0.108,0.07588,0.04776,0.02483,0.008491,
pal100,waccm_eq,323.5,0.4406,0.4381,0.4309,0.4189,0.4025,0.3817,0.3569,0.3286,0.2973,0.2634,0.2279,0.1914,0.1549,0.1196,0.08656,0.05709,0.03216,0.01284,
pal100,waccm_eq,324.5,0.5174,0.5145,0.506,0.492,0.4726,0.4482,0.4192,0.386,0.3491,0.3094,0.2676,0.2247,0.1818,0.1403,0.1014,0.0668,0.03753,0.01491,
pal100,waccm_eq,325.5,0.5807,0.5775,0.5679,0.5521,0.5303,0.5028,0.4701,0.4326,0.3911,0.3464,0.2993,0.251,0.2027,0.156,0.1124,0.07353,0.04088,0.0159,
