sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.222,3.197,61.33,0.009799,13.92,0.4624,1.316,1.786
5.0,2.203,3.172,61.02,0.009667,13.79,0.4571,1.307,1.774
10.0,2.147,3.097,60.1,0.009279,13.38,0.4416,1.279,1.74
15.0,2.055,2.975,58.58,0.008662,12.72,0.4165,1.234,1.683
20.0,1.931,2.809,56.48,0.007853,11.83,0.383,1.172,1.606
25.0,1.778,2.603,53.83,0.006905,10.76,0.3429,1.096,1.51
30.0,1.6,2.363,50.65,0.005875,9.556,0.2981,1.008,1.399
35.0,1.406,2.099,46.99,0.004823,8.269,0.2507,0.911,1.275
40.0,1.201,1.816,42.91,0.003807,6.952,0.203,0.8074,1.141
45.0,0.9919,1.525,38.46,0.002875,5.66,0.1573,0.7004,1.0
50.0,0.7874,1.236,33.72,0.002065,4.443,0.1157,0.5929,0.8572
55.0,0.5954,0.9586,28.78,0.001401,3.346,0.07987,0.4878,0.7147
60.0,0.4236,0.7044,23.76,0.0008908,2.401,0.05095,0.3878,0.5763
65.0,0.2786,0.4827,18.78,0.000526,1.627,0.02946,0.2954,0.4454
70.0,0.1652,0.3016,14.0,0.0002866,1.03,0.01511,0.2129,0.3255
75.0,0.08523,0.166,9.623,0.0001442,0.5981,0.006803,0.1421,0.2199
80.0,0.03683,0.07622,5.834,6.727e-05,0.3091,0.002816,0.08413,0.1316
85.0,0.01342,0.02752,2.779,2.793e-05,0.1304,0.001163,0.03919,0.06214
