case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,0.2951202582131931,287.13909493548977,0.992556095123291,1.0730058344970966e-08,268646714917.61142
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,0.4340643892878278,286.4609276541622,0.976325407391414,1.1345855967914144e-08,280080698393.3824
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,0.597417491636833,285.41033597989605,0.957485479535535,1.153315945053459e-08,280238315252.86395
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,0.7850625970717158,284.0975906502979,0.9361983984708786,1.1693035679546643e-08,279090038401.6597
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,0.9966182521589503,282.66394545003004,0.912644546944648,1.1889591887950713e-08,278044885989.5762
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,1.2317247329185272,281.1635598013557,0.8870202489197254,1.2165368145558987e-08,277981871248.36957
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,1.4900619492032747,279.68275669161227,0.8595347665250301,1.255778771153691e-08,279529476097.92365
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,1.8658141119983402,277.8395410644473,0.8208583686500788,1.3262247710168933e-08,283797150070.1859
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,2.453069406773291,275.50074650706085,0.763404481112957,1.50838365002143e-08,302733483664.2295
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,3.2449060023791474,271.59434575279226,0.6913894303143024,1.751115591678315e-08,322874349315.05945
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,4.230270457264023,266.10216760992785,0.6097786948084831,2.1122243201551106e-08,350574715490.6219
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,5.38068055793126,259.27278306236707,0.5246871747076511,2.5647771445401207e-08,375932498695.87964
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,6.5867314582404415,251.25980856373246,0.445992574095726,3.1340972663066054e-08,402933884833.8795
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,7.752767711497225,243.05796348357802,0.37910090386867523,3.842928339243529e-08,434134168725.9246
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,8.878500708045218,234.90203571279375,0.3222419023513794,5.121257371014346e-08,508848562077.81055
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,9.965450636291038,227.37118958052426,0.2739108167588711,7.799297930269765e-08,680527965626.6686
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,11.017686852468653,220.9850410549611,0.23282861895859241,1.304883208249717e-07,995776437417.0302
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,12.041301429802628,216.08720238093287,0.1979080867022276,2.0857871603522485e-07,1383633920465.586
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,13.051506594968851,212.3266586379755,0.16822507977485657,2.9393588066309983e-07,1686768718727.236
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,14.05429439849008,209.22467110716008,0.14299403876066208,3.7698658585647767e-07,1866154744632.4062
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,15.043529613111737,206.64316210648832,0.12154724076390266,4.718696550844839e-07,2010309072029.7532
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,16.02234804816164,204.86744198187108,0.10331712663173676,6.025663498057286e-07,2201004684636.224
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,16.995484960818793,204.28631370364246,0.08782123029232025,7.835238322938085e-07,2439659256268.812
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,18.043326541628865,204.80845934874836,0.07375095784664154,1.0450639063997454e-06,2725708073037.9307
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,19.130520537189458,205.48970584623046,0.061520498245954514,1.323550639458832e-06,2870034075978.78
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,20.180904069611373,205.98340749332556,0.05167749896645546,1.5686981002861987e-06,2850528166483.963
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,21.26364840366886,206.3898850206621,0.0431937500834465,1.7644893377801243e-06,2674657998302.928
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,22.37902592311365,206.92656434740036,0.035923250019550323,1.927346825332347e-06,2423460602635.3403
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,23.528322743858002,207.75152570812068,0.0297279991209507,2.055551176256458e-06,2130426073423.9714
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,24.713936124725837,209.07864875454976,0.02447899989783764,2.1768577209145425e-06,1845995966379.4692
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,25.939255098668472,210.96560588318124,0.020056750625371933,2.279239208017178e-06,1569479118794.853
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,27.208062586286907,213.39145265793007,0.01635175058618188,2.3291062551528774e-06,1292686619218.4316
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,28.52439184215047,216.365182221282,0.013264750130474567,2.30053825680715e-06,1021545878227.5586
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,29.892465557565906,219.91270509743413,0.01070705009624362,2.1315960365342708e-06,751694089235.5845
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,31.316021897918336,223.78655036295777,0.00859972508624196,1.8318592579535138e-06,509869938774.5336
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,32.79565089412908,227.13277893781205,0.006872850004583597,1.4931586900619556e-06,327250059995.779
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,34.32476638186176,228.6729800165059,0.005465399939566851,1.1952134313738157e-06,206904186603.63962
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,35.891757730895755,228.4347050522159,0.004324574954807758,9.394340063023686e-07,128814377228.8943
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,37.483775631347406,226.2386125514333,0.0034048750530928373,7.295986410555484e-07,79530769494.2303
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,39.08860360017678,222.68102621841942,0.0026674249675124884,5.596258769485339e-07,48553831085.235275
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,40.6984812107109,218.63515527982958,0.0020793249714188278,4.2492966220478686e-07,29270904266.140324
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,42.31080792935698,214.7012167145591,0.0016128499992191792,3.1892981287105074e-07,17352869794.723663
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,43.925120428466876,210.8023552743153,0.0012447949848137796,2.3917324355232753e-07,10229435812.75449
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,45.540393495957474,206.90138595096835,0.0009559475001879036,1.8137703164673168e-07,6069733866.753986
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,47.15549199472896,203.02193017533511,0.0007304799801204354,1.4055915381341313e-07,3663036252.745044
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,48.79099975308171,199.15263999972444,0.0005534699885174632,1.1234638869213088e-07,2261433612.0628715
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,50.526598757179585,195.50434010032103,0.00041016750037670135,9.291155323000285e-08,1411858851.0406961
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,52.462729045433385,192.368650026466,0.00029202500445535406,7.93520452897338e-08,872490253.9038632
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,54.639409635899014,189.43173781081975,0.00019811999663943425,7.065428359994158e-08,535218089.0195628
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,57.03784135754146,186.09487239308874,0.00012827324826503173,6.431312788816935e-08,321083534.54120874
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,59.59876673303692,182.59580510390893,7.991075108293444e-05,5.5598169012051264e-08,176234781.08279315
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,62.22739195718691,180.09621746490362,4.873074976785574e-05,5.1921940580195216e-08,101757431.23720278
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,64.86065840524557,179.73798199695113,2.9557750167441554e-05,7.644727692591098e-08,91056352.66365044
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,67.51518907082637,181.84560874556615,1.789799989637686e-05,1.2694801656129042e-07,90499112.52231185
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,70.22750849934526,186.38600543801698,1.0813825610966887e-05,2.579182683472384e-07,108383927.00971854
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,72.9897109429744,191.4930239134136,6.556825610459782e-06,4.999400127906458e-07,123986753.9623171
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,75.81546284348876,194.8649180005852,3.978249878855422e-06,7.206118894327434e-07,106555664.01271033
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,78.69007243023908,195.47377689074943,2.4045749569268082e-06,7.807009349022442e-07,69558664.01935422
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,81.5448410410194,194.5632897817839,1.458457461467333e-06,7.02410084253584e-07,38136455.04832916
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,84.38749557692013,193.82907274255655,8.846024854847201e-07,5.539679770917649e-07,18311782.229178898
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,87.23168251111632,194.91454618557404,5.365325108641628e-07,3.8547756890653966e-07,7685420.252839212
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,90.121283214258,200.40623686889126,3.254225049431625e-07,2.2457485214885405e-07,2641278.464300168
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,93.14540235838423,213.97541769164837,1.9738000389679655e-07,9.848410086565844e-08,657994.270474769
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,96.45359378697836,240.2896694891937,1.1971900093499244e-07,2.8082960914762818e-08,101341.56266776778
pal10,10% PAL,waccm,Earth_10pc_o2.cam.h0.0037-0040.nc,164.6198,100.27206115254754,285.22728785845715,7.261274781455995e-08,4.4368801602279155e-09,8181.185034145978
