wavelength_nm,irradiance_col1
280.5,1.846e-15
281.5,7.05e-14
282.5,1.1e-12
283.5,5.899e-12
284.5,7.966e-11
285.5,3.363e-10
286.5,4.574e-09
287.5,3.1e-08
288.5,1.851e-07
289.5,1.144e-06
290.5,5.056e-06
291.5,1.789e-05
292.5,4.681e-05
293.5,0.0001464
294.5,0.0002931
295.5,0.0007866
296.5,0.001438
297.5,0.002877
298.5,0.003541
299.5,0.008181
300.5,0.007818
301.5,0.01582
302.5,0.02015
303.5,0.03507
304.5,0.0387
305.5,0.0521
306.5,0.05479
307.5,0.0805
308.5,0.09055
309.5,0.08079
310.5,0.1109
311.5,0.1434
312.5,0.1414
313.5,0.1605
314.5,0.1619
315.5,0.1671
316.5,0.1676
317.5,0.2367
318.5,0.1873
319.5,0.2286
320.5,0.2785
321.5,0.2375
322.5,0.2382
323.5,0.2468
324.5,0.2894
325.5,0.3243
326.5,0.3936
327.5,0.3661
328.5,0.3384
329.5,0.439
330.5,0.399
331.5,0.3945
332.5,0.3887
333.5,0.3653
334.5,0.4084
335.5,0.414
336.5,0.3238
337.5,0.3556
338.5,0.3754
339.5,0.4083
340.5,0.4367
341.5,0.3879
342.5,0.4299
343.5,0.4468
344.5,0.3132
345.5,0.4293
346.5,0.4017
347.5,0.3926
348.5,0.4317
349.5,0.3619
350.5,0.5069
351.5,0.437
352.5,0.3942
353.5,0.4747
354.5,0.514
355.5,0.4805
356.5,0.446
357.5,0.3794
358.5,0.2929
359.5,0.493
360.5,0.4571
361.5,0.4123
362.5,0.4843
363.5,0.4309
364.5,0.4702
365.5,0.5732
366.5,0.6068
367.5,0.5763
368.5,0.5064
369.5,0.6076
370.5,0.5514
371.5,0.6311
372.5,0.4663
373.5,0.4217
374.5,0.4629
375.5,0.5224
376.5,0.5219
377.5,0.6216
378.5,0.6777
379.5,0.5015
380.5,0.6034
381.5,0.5671
382.5,0.378
383.5,0.332
384.5,0.4984
385.5,0.4933
386.5,0.503
387.5,0.4676
388.5,0.4688
389.5,0.5914
390.5,0.5811
391.5,0.6896
392.5,0.5173
393.5,0.225
394.5,0.5295
395.5,0.6815
396.5,0.4003
397.5,0.4621
398.5,0.7942
399.5,0.8264
400.5,0.8691
401.5,0.8944
402.5,0.9289
403.5,0.8505
404.5,0.8344
405.5,0.867
406.5,0.8169
407.5,0.8239
408.5,0.9179
409.5,0.9001
410.5,0.7808
411.5,0.9388
412.5,0.9308
413.5,0.903
414.5,0.9284
415.5,0.8883
416.5,0.967
417.5,0.8843
418.5,0.8915
419.5,0.9212
