sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.787,3.839,61.62,0.01789,19.75,0.7132,1.552,2.022
5.0,2.764,3.809,61.31,0.01765,19.55,0.7054,1.541,2.008
10.0,2.697,3.723,60.39,0.01695,18.97,0.6826,1.506,1.966
15.0,2.588,3.582,58.87,0.01583,18.03,0.6456,1.449,1.898
20.0,2.438,3.389,56.76,0.01436,16.77,0.5962,1.372,1.806
25.0,2.254,3.15,54.09,0.01263,15.25,0.5368,1.277,1.691
30.0,2.04,2.871,50.91,0.01075,13.52,0.4699,1.168,1.559
35.0,1.804,2.561,47.25,0.008826,11.68,0.3987,1.049,1.412
40.0,1.553,2.229,43.15,0.006959,9.792,0.3264,0.9222,1.255
45.0,1.295,1.885,38.69,0.005244,7.939,0.2564,0.7926,1.093
50.0,1.04,1.54,33.93,0.00375,6.194,0.1915,0.664,0.9283
55.0,0.7977,1.207,28.98,0.002525,4.624,0.1347,0.54,0.7669
60.0,0.577,0.8971,23.93,0.001584,3.275,0.0878,0.424,0.6125
65.0,0.3867,0.6231,18.92,0.0009144,2.18,0.0519,0.3188,0.4688
70.0,0.2338,0.3948,14.12,0.0004809,1.345,0.02707,0.2268,0.3393
75.0,0.1223,0.2196,9.71,0.0002299,0.756,0.01214,0.1495,0.2273
80.0,0.05225,0.1004,5.889,0.0001024,0.3764,0.00481,0.08764,0.1351
85.0,0.0181,0.03487,2.802,4.368e-05,0.1555,0.001986,0.0406,0.06356
