sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.748,5.771,64.97,0.03771,31.17,1.19,1.981,2.434
5.0,3.719,5.729,64.64,0.03723,30.86,1.178,1.965,2.416
10.0,3.635,5.612,63.68,0.0358,29.97,1.143,1.918,2.362
15.0,3.497,5.416,62.09,0.03353,28.53,1.085,1.84,2.274
20.0,3.309,5.149,59.88,0.03052,26.58,1.007,1.736,2.154
25.0,3.076,4.817,57.09,0.02698,24.22,0.9135,1.608,2.008
30.0,2.805,4.428,53.75,0.02311,21.55,0.8075,1.462,1.839
35.0,2.503,3.992,49.9,0.0191,18.67,0.6936,1.302,1.652
40.0,2.18,3.52,45.6,0.01519,15.7,0.5768,1.133,1.455
45.0,1.845,3.026,40.91,0.01155,12.76,0.4621,0.9629,1.252
50.0,1.511,2.525,35.92,0.008359,9.986,0.3544,0.7958,1.05
55.0,1.187,2.032,30.71,0.005704,7.466,0.2577,0.637,0.8555
60.0,0.8869,1.563,25.39,0.003634,5.291,0.1754,0.4913,0.6727
65.0,0.6205,1.135,20.11,0.002136,3.516,0.1099,0.3623,0.5065
70.0,0.3977,0.7643,15.04,0.001143,2.16,0.06184,0.2524,0.3606
75.0,0.2252,0.4617,10.37,0.0005516,1.202,0.03026,0.163,0.2379
80.0,0.1057,0.2354,6.309,0.0002436,0.589,0.01264,0.09396,0.1397
85.0,0.0376,0.0889,3.017,0.0001029,0.2401,0.004861,0.04327,0.06538
