sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,4.008,5.164,62.01,0.05857,38.75,1.524,2.36,2.83
5.0,3.979,5.129,61.7,0.05784,38.39,1.51,2.341,2.808
10.0,3.89,5.02,60.77,0.05568,37.31,1.465,2.284,2.744
15.0,3.745,4.843,59.25,0.05223,35.55,1.393,2.19,2.639
20.0,3.547,4.6,57.14,0.04768,33.19,1.297,2.064,2.498
25.0,3.304,4.3,54.47,0.04229,30.32,1.18,1.91,2.324
30.0,3.019,3.947,51.28,0.03619,27.03,1.046,1.732,2.122
35.0,2.702,3.554,47.6,0.03024,23.54,0.9047,1.541,1.905
40.0,2.365,3.132,43.49,0.02423,19.91,0.7588,1.34,1.673
45.0,2.015,2.691,39.02,0.01863,16.32,0.6151,1.136,1.436
50.0,1.664,2.246,34.25,0.01369,12.91,0.4798,0.9376,1.202
55.0,1.326,1.811,29.27,0.009577,9.807,0.3581,0.7504,0.9773
60.0,1.011,1.402,24.21,0.006359,7.123,0.254,0.5799,0.7684
65.0,0.7317,1.031,19.18,0.004015,4.921,0.1703,0.4301,0.58
70.0,0.4965,0.7131,14.35,0.002432,3.221,0.1074,0.3034,0.416
75.0,0.3113,0.4553,9.914,0.00144,1.991,0.06392,0.2006,0.2784
80.0,0.1763,0.2608,6.06,0.0008468,1.151,0.03623,0.1204,0.1679
85.0,0.08579,0.1254,2.926,0.0004691,0.5893,0.01909,0.05954,0.08249
