case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,0.06613364410400391,298.98150634765625,0.992556095123291,1.2420072970087404e-08,298642491203.73535
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,0.21173037719726562,297.6351318359375,0.976325407391414,1.2555998907259891e-08,298317262670.8674
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,0.38310821533203127,296.0560607910156,0.957485479535535,1.2789681314018253e-08,299595082513.39496
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,0.5797132568359376,294.3567199707031,0.9361983984708786,1.3291954203964451e-08,306195985596.4597
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,0.80114501953125,292.6672668457031,0.912644546944648,1.4314513130386786e-08,323311245036.15216
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,1.0470794677734374,291.1530456542969,0.8870202489197254,1.5899475513947436e-08,350842108262.9599
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,1.3173583984375,289.92474365234375,0.8595347665250301,1.7750979353081675e-08,381168674659.9889
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,1.7108270263671874,288.3269348144531,0.8208583686500788,1.9425236530423717e-08,400558588607.8829
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,2.32576416015625,285.5368957519531,0.763404481112957,2.0338912776196594e-08,393855507045.696
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,3.153658203125,280.61907958984375,0.6913894303143024,1.9338822099257413e-08,345105813827.38
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,4.1838603515625,275.2264709472656,0.6097786948084831,1.8311213878519084e-08,293843370924.76715
pal100,100% PAL,waccm_eq,Earth_100pc_o2.cam.h0.0009-0012.nc,247.508,5.38976904296875,268.8742370605469,0.5246871747076511,1.94804332664944e-08,275338274642.145
