
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   2.450E+06 2.647E+04 9.238E+17 1.375E+04 2.410E+03 2.709E+08 7.649E-25 3.161E-11 5.958E-10 8.314E-05 7.494E-06 3.527E-06 4.378E-06 1.967E+16 5.517E+06 9.487E+00 7.509E-08 3.728E-09
   2.550E+06 2.249E+04 7.815E+17 1.612E+04 2.988E+03 3.123E+08 3.234E-23 4.376E-11 8.592E-10 1.129E-04 8.488E-06 3.539E-06 4.450E-06 1.664E+16 7.012E+06 1.295E+01 9.492E-08 4.809E-09
   2.650E+06 1.913E+04 6.607E+17 1.847E+04 3.580E+03 3.518E+08 7.856E-22 5.942E-11 1.199E-09 1.543E-04 9.726E-06 3.451E-06 4.520E-06 1.407E+16 8.844E+06 1.732E+01 1.164E-07 6.016E-09
   2.750E+06 1.628E+04 5.584E+17 2.062E+04 4.144E+03 3.864E+08 1.184E-20 7.906E-11 1.618E-09 2.127E-04 1.125E-05 3.254E-06 4.586E-06 1.189E+16 1.110E+07 2.259E+01 1.386E-07 7.303E-09
   2.850E+06 1.388E+04 4.721E+17 2.248E+04 4.641E+03 4.151E+08 1.184E-19 1.027E-10 2.116E-09 2.991E-04 1.313E-05 2.940E-06 4.647E-06 1.005E+16 1.390E+07 2.883E+01 1.602E-07 8.615E-09
   2.950E+06 1.185E+04 3.992E+17 2.389E+04 5.038E+03 4.349E+08 8.346E-19 1.296E-10 2.683E-09 4.334E-04 1.541E-05 2.513E-06 4.704E-06 8.502E+15 1.732E+07 3.588E+01 1.803E-07 9.898E-09
   3.050E+06 1.013E+04 3.378E+17 2.413E+04 5.315E+03 4.337E+08 4.381E-18 1.576E-10 3.309E-09 6.337E-04 1.807E-05 2.026E-06 4.754E-06 7.193E+15 2.092E+07 4.252E+01 1.978E-07 1.111E-08
   3.150E+06 8.678E+03 2.860E+17 2.262E+04 5.476E+03 4.022E+08 1.800E-17 1.845E-10 3.992E-09 8.899E-04 2.092E-05 1.580E-06 4.796E-06 6.091E+15 2.366E+07 4.683E+01 2.125E-07 1.223E-08
   3.250E+06 7.446E+03 2.426E+17 1.985E+04 5.553E+03 3.499E+08 6.068E-17 2.091E-10 4.742E-09 1.166E-03 2.367E-05 1.237E-06 4.827E-06 5.166E+15 2.496E+07 4.831E+01 2.247E-07 1.329E-08
   3.350E+06 6.401E+03 2.063E+17 1.679E+04 5.583E+03 2.940E+08 1.747E-16 2.316E-10 5.582E-09 1.430E-03 2.614E-05 9.968E-07 4.848E-06 4.393E+15 2.507E+07 4.798E+01 2.351E-07 1.430E-08
