
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   1.350E+06 1.473E+05 5.298E+18 1.804E+03 8.963E+03 1.762E+08 7.815E-19 8.565E-11 1.921E-09 2.043E-04 1.162E-05 1.628E-07 8.806E-07 1.608E+15 6.339E+06 1.069E+00 1.499E-07 8.130E-09 1.196E-12 4.614E-12 4.095E-11 2.694E-11 2.615E-17 3.413E-11 1.275E-13 3.994E-13 7.923E-11 5.567E-12 3.535E-17 4.923E-07 7.447E-07 1.080E-07
   1.450E+06 1.242E+05 4.554E+18 1.746E+03 9.052E+03 1.945E+08 4.742E-18 1.015E-10 2.563E-09 2.320E-04 1.260E-05 1.841E-07 7.754E-07 1.606E+15 7.028E+06 1.358E+00 1.702E-07 9.594E-09 1.543E-12 4.919E-12 4.662E-11 3.032E-11 3.535E-17 3.194E-11 1.713E-13 4.701E-13 8.455E-11 7.513E-12 4.528E-17 4.938E-07 7.252E-07 7.002E-08
   1.550E+06 1.044E+05 3.899E+18 1.489E+03 8.032E+03 2.117E+08 2.123E-17 1.199E-10 3.377E-09 2.687E-04 1.374E-05 2.021E-07 6.100E-07 1.648E+15 7.270E+06 1.709E+00 1.913E-07 1.119E-08 1.864E-12 5.141E-12 4.911E-11 3.199E-11 4.528E-17 2.935E-11 2.084E-13 4.664E-13 7.994E-11 9.787E-12 5.733E-17 4.963E-07 7.012E-07 4.092E-08
   1.650E+06 8.749E+04 3.320E+18 1.181E+03 6.460E+03 2.319E+08 7.244E-17 1.413E-10 4.390E-09 3.198E-04 1.509E-05 2.185E-07 4.433E-07 1.700E+15 7.177E+06 2.179E+00 2.130E-07 1.290E-08 2.162E-12 5.333E-12 4.754E-11 3.162E-11 5.733E-17 2.649E-11 2.324E-13 3.925E-13 6.800E-11 1.293E-11 7.775E-17 5.001E-07 6.737E-07 2.201E-08
   1.750E+06 7.315E+04 2.808E+18 1.040E+03 5.732E+03 2.505E+08 2.033E-16 1.659E-10 5.631E-09 3.933E-04 1.667E-05 2.268E-07 3.625E-07 1.731E+15 7.388E+06 2.763E+00 2.346E-07 1.469E-08 2.631E-12 5.797E-12 4.182E-11 2.885E-11 7.775E-17 2.515E-11 2.357E-13 2.743E-13 5.526E-11 1.736E-11 1.124E-16 5.051E-07 6.439E-07 1.123E-08
   1.850E+06 6.105E+04 2.364E+18 9.925E+02 5.554E+03 2.640E+08 5.034E-16 1.934E-10 7.144E-09 4.973E-04 1.852E-05 2.246E-07 3.289E-07 1.726E+15 7.939E+06 3.443E+00 2.556E-07 1.654E-08 3.359E-12 6.440E-12 3.512E-11 2.456E-11 1.124E-16 2.419E-11 2.095E-13 1.555E-13 4.350E-11 2.366E-11 1.718E-16 5.115E-07 6.126E-07 5.547E-09
   1.950E+06 5.089E+04 1.983E+18 9.803E+02 5.654E+03 2.708E+08 1.136E-15 2.233E-10 8.986E-09 6.365E-04 2.060E-05 2.145E-07 3.173E-07 1.681E+15 8.752E+06 4.192E+00 2.755E-07 1.841E-08 4.413E-12 7.186E-12 2.918E-11 1.965E-11 1.718E-16 2.318E-11 1.614E-13 7.165E-14 3.300E-11 3.272E-11 2.752E-16 5.191E-07 5.809E-07 2.712E-09
   2.050E+06 4.237E+04 1.661E+18 9.614E+02 5.832E+03 2.701E+08 2.372E-15 2.549E-10 1.124E-08 8.085E-04 2.287E-05 2.011E-07 3.124E-07 1.598E+15 9.708E+06 4.974E+00 2.938E-07 2.029E-08 5.845E-12 7.982E-12 2.432E-11 1.487E-11 2.752E-16 2.205E-11 1.097E-13 2.764E-14 2.392E-11 4.586E-11 4.587E-16 5.282E-07 5.500E-07 1.342E-09
   2.150E+06 3.524E+04 1.390E+18 9.191E+02 6.005E+03 2.619E+08 4.607E-15 2.879E-10 1.401E-08 1.004E-03 2.523E-05 1.876E-07 3.084E-07 1.489E+15 1.071E+07 5.744E+00 3.105E-07 2.218E-08 7.707E-12 8.827E-12 2.030E-11 1.070E-11 4.587E-16 2.100E-11 6.784E-14 9.267E-15 1.650E-11 6.477E-11 7.920E-16 5.388E-07 5.201E-07 6.805E-10
   2.250E+06 2.928E+04 1.162E+18 8.537E+02 6.156E+03 2.470E+08 8.375E-15 3.223E-10 1.741E-08 1.213E-03 2.759E-05 1.754E-07 3.043E-07 1.363E+15 1.170E+07 6.457E+00 3.257E-07 2.407E-08 1.007E-11 9.759E-12 1.697E-11 7.397E-12 7.920E-16 2.022E-11 3.935E-14 2.816E-15 1.088E-11 9.172E-11 1.412E-15 5.510E-07 4.915E-07 3.560E-10
   2.350E+06 2.430E+04 9.697E+17 7.782E+02 6.347E+03 2.263E+08 1.434E-14 3.586E-10 2.159E-08 1.421E-03 2.987E-05 1.642E-07 3.032E-07 1.228E+15 1.266E+07 7.062E+00 3.394E-07 2.599E-08 1.306E-11 1.088E-11 1.427E-11 4.975E-12 1.412E-15 1.994E-11 2.206E-14 8.092E-16 6.945E-12 1.296E-10 2.588E-15 5.649E-07 4.642E-07 1.935E-10
   2.450E+06 2.015E+04 8.081E+17 7.040E+02 6.662E+03 2.009E+08 2.332E-14 3.973E-10 2.665E-08 1.620E-03 3.198E-05 1.534E-07 3.093E-07 1.093E+15 1.364E+07 7.501E+00 3.518E-07 2.794E-08 1.688E-11 1.234E-11 1.212E-11 3.302E-12 2.588E-15 2.039E-11 1.227E-14 2.287E-16 4.365E-12 1.816E-10 4.865E-15 5.809E-07 4.381E-07 1.095E-10
   2.550E+06 1.670E+04 6.721E+17 6.413E+02 7.235E+03 1.721E+08 3.643E-14 4.392E-10 3.270E-08 1.802E-03 3.387E-05 1.421E-07 3.292E-07 9.621E+14 1.474E+07 7.710E+00 3.631E-07 2.994E-08 2.193E-11 1.439E-11 1.043E-11 2.194E-12 4.865E-15 2.191E-11 6.912E-15 6.563E-17 2.750E-12 2.510E-10 9.338E-15 5.990E-07 4.127E-07 6.453E-11
   2.650E+06 1.383E+04 5.577E+17 5.889E+02 8.145E+03 1.420E+08 5.533E-14 4.854E-10 3.984E-08 1.964E-03 3.550E-05 1.297E-07 3.666E-07 8.388E+14 1.602E+07 7.656E+00 3.733E-07 3.199E-08 2.873E-11 1.733E-11 9.124E-12 1.475E-12 9.338E-15 2.479E-11 3.978E-15 1.946E-17 1.754E-12 3.408E-10 1.788E-14 6.196E-07 3.876E-07 3.943E-11
   2.750E+06 1.146E+04 4.617E+17 5.172E+02 8.886E+03 1.143E+08 8.298E-14 5.369E-10 4.812E-08 2.103E-03 3.686E-05 1.177E-07 4.000E-07 7.253E+14 1.704E+07 7.446E+00 3.827E-07 3.410E-08 3.691E-11 2.088E-11 8.170E-12 9.990E-13 1.788E-14 2.805E-11 2.308E-15 5.854E-18 1.101E-12 4.600E-10 3.392E-14 6.431E-07 3.627E-07 2.496E-11
   2.850E+06 9.490E+03 3.817E+17 4.372E+02 9.436E+03 8.989E+07 1.257E-13 5.945E-10 5.754E-08 2.221E-03 3.797E-05 1.060E-07 4.297E-07 6.232E+14 1.779E+07 7.092E+00 3.913E-07 3.627E-08 4.662E-11 2.515E-11 7.451E-12 6.849E-13 3.392E-14 3.171E-11 1.353E-15 1.795E-18 6.848E-13 6.149E-10 6.272E-14 6.699E-07 3.375E-07 1.630E-11
