,Temp [K],Press [hPa],Alt [km]
0,632.0074144029111,5.960300031304655e-06,141.95488935646233
1,620.2056786118827,9.826900182474674e-06,132.79842487744563
2,582.8628302922168,1.6201850527863826e-05,124.01712473448488
3,525.1255562657573,2.671225107775399e-05,115.9440733048212
4,452.88317300390554,4.404100018007284e-05,108.83099534391194
5,375.94125607341573,7.261274781455995e-05,102.81225740309682
6,306.6226813907151,0.00011971900093499244,97.85931427308844
7,254.914927203496,0.00019738000389679655,93.78155854025532
8,222.4378443128682,0.0003254225049431625,90.3081158046741
9,204.59590142533764,0.0005365325108641628,87.19394034789799
10,196.2746440559896,0.0008846024854847201,84.26539876563872
11,193.4570041657164,0.001458457461467333,81.41510186153259
12,193.04755107669266,0.0024045749569268082,78.58698499379292
13,192.4743883680169,0.003978249878855422,75.747829958694
14,189.81188759539282,0.006556825610459782,72.9514943337955
15,185.49102512316216,0.010813825610966887,70.20762949768051
16,181.54288521410933,0.01789799989637686,67.5037701790533
17,179.69345033011484,0.029557750167441554,64.85163825904793
18,180.13076499675435,0.04873074976785574,62.2184001441794
19,182.58313235661768,0.07991075108293444,59.589638680385626
20,186.01926832198382,0.12827324826503173,57.029349846545884
21,189.31021458641104,0.19811999663943425,54.63218126297039
22,192.19827444686393,0.29202500445535406,52.45716724911873
23,195.34372171626876,0.41016750037670135,50.52269032271771
24,199.02832964722504,0.5534699885174632,48.78834453528718
25,202.9433363196518,0.7304799801204354,47.153658646945885
26,206.8956235263455,0.9559475001879036,45.53888230239419
27,210.85673222987012,1.2447949848137796,43.923410630395175
28,214.80826568004474,1.6128499992191792,42.308481631706556
29,218.78273529322868,2.0793249714188278,40.69520299372537
30,222.82569685227406,2.6674249675124884,39.08425845023517
31,226.37359444499373,3.4048750530928373,37.478432111099146
32,228.55385326058652,4.324574954807758,35.88552617504842
33,228.76736718635533,5.465399939566851,34.31780601506134
34,227.19180333239728,6.872850004583597,32.78817864997694
35,223.82503929751994,8.59972508624196,31.308231483679275
36,219.9236657759896,10.70705009624362,29.884518244464978
37,216.35298686619817,13.264750130474567,28.516451110991966
38,213.38251226064116,16.35175058618188,27.200186566108083
39,210.97913404281155,20.056750625371933,25.931363973538907
40,209.080753333876,24.47899989783764,24.705999919161602
41,207.73637738594041,29.7279991209507,23.520424312851283
42,206.91242200519957,35.92325001955032,22.371208619294105
43,206.4146008086463,43.1937500834465,21.25580075010361
44,206.0412596415587,51.67749896645546,20.17283834556908
45,205.5481833622885,61.52049824595451,19.122157966399538
46,204.80711571160623,73.75095784664154,18.034823701100294
47,204.2008285514135,87.82123029232025,16.98719566193496
48,204.77214854654613,103.31712663173676,16.014489370776644
49,206.56537167667182,121.54724076390266,15.03608079985024
50,209.15758562620323,142.99403876066208,14.047189760802928
51,212.24934564074078,168.22507977485657,13.044746156052064
52,215.95969995070112,197.9080867022276,12.035023647729723
53,220.80659949758888,232.82861895859241,11.012126973801088
54,227.17950763518934,273.9108167588711,9.960762305544737
55,234.71535599785324,322.2419023513794,8.874704882873818
56,242.88730781275683,379.10090386867523,7.749816000134147
57,251.1035229204398,445.992574095726,6.584554865462093
58,259.1377877709306,524.6871747076511,5.379195870162697
59,265.9786515347338,609.7786948084831,4.229355553203091
60,271.49454415553464,691.3894303143024,3.2444046936038884
61,275.419876608507,763.404481112957,2.4528341556620146
62,277.8035855250042,820.8583686500788,1.8657180387744206
63,279.6665678739663,859.5347665250301,1.4900144406975295
64,281.1542805721267,887.0202489197254,1.2316957661645256
65,282.65843505927637,912.644546944648,0.9966007871270639
66,284.0945367354397,936.1983984708786,0.7850525204885914
67,285.4093721390028,957.485479535535,0.597411980251605
68,286.4615340167535,976.325407391414,0.4340615094049186
69,287.1402267760892,992.556095123291,0.2951192941506647
