
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   2.450E+06 2.306E+04 8.500E+17 5.305E+03 1.596E+04 3.008E+08 2.570E-15 2.979E-10 1.229E-08 1.423E-03 2.726E-05 2.488E-07 1.527E-06 1.810E+15 2.138E+07 1.121E+01 2.803E-07 2.019E-08
   2.550E+06 1.940E+04 7.154E+17 4.270E+03 1.691E+04 2.436E+08 5.788E-15 3.374E-10 1.557E-08 1.687E-03 2.978E-05 2.019E-07 1.518E-06 1.523E+15 2.282E+07 1.078E+01 2.950E-07 2.210E-08
   2.650E+06 1.633E+04 6.034E+17 3.366E+03 1.788E+04 1.943E+08 1.182E-14 3.787E-10 1.975E-08 1.908E-03 3.188E-05 1.688E-07 1.500E-06 1.285E+15 2.398E+07 1.018E+01 3.080E-07 2.404E-08
   2.750E+06 1.373E+04 5.098E+17 2.602E+03 1.886E+04 1.529E+08 2.216E-14 4.229E-10 2.507E-08 2.085E-03 3.360E-05 1.439E-07 1.476E-06 1.086E+15 2.494E+07 9.464E+00 3.198E-07 2.605E-08
   2.850E+06 1.153E+04 4.313E+17 1.975E+03 1.975E+04 1.189E+08 3.876E-14 4.712E-10 3.173E-08 2.222E-03 3.499E-05 1.241E-07 1.443E-06 9.185E+14 2.574E+07 8.660E+00 3.305E-07 2.815E-08
   2.950E+06 9.676E+03 3.655E+17 1.474E+03 2.046E+04 9.148E+07 6.434E-14 5.239E-10 3.988E-08 2.322E-03 3.611E-05 1.078E-07 1.403E-06 7.783E+14 2.634E+07 7.817E+00 3.404E-07 3.036E-08
   3.050E+06 8.102E+03 3.098E+17 1.082E+03 2.083E+04 6.966E+07 1.042E-13 5.819E-10 4.957E-08 2.390E-03 3.701E-05 9.407E-08 1.356E-06 6.598E+14 2.671E+07 6.973E+00 3.496E-07 3.267E-08
   3.150E+06 6.768E+03 2.625E+17 7.811E+02 2.077E+04 5.254E+07 1.712E-13 6.458E-10 6.075E-08 2.431E-03 3.772E-05 8.233E-08 1.302E-06 5.590E+14 2.678E+07 6.156E+00 3.582E-07 3.508E-08
   3.250E+06 5.639E+03 2.221E+17 5.540E+02 2.023E+04 3.923E+07 3.013E-13 7.165E-10 7.334E-08 2.450E-03 3.829E-05 7.208E-08 1.242E-06 4.729E+14 2.653E+07 5.384E+00 3.663E-07 3.756E-08
   3.350E+06 4.686E+03 1.874E+17 3.849E+02 1.924E+04 2.893E+07 6.214E-13 7.958E-10 8.744E-08 2.454E-03 3.874E-05 6.291E-08 1.174E-06 3.989E+14 2.594E+07 4.664E+00 3.738E-07 4.009E-08
   3.450E+06 3.884E+03 1.572E+17 2.600E+02 1.798E+04 2.093E+07 1.557E-12 8.871E-10 1.040E-07 2.454E-03 3.910E-05 5.427E-08 1.100E-06 3.347E+14 2.513E+07 3.992E+00 3.808E-07 4.265E-08
   3.550E+06 3.213E+03 1.313E+17 1.699E+02 1.684E+04 1.481E+07 4.207E-12 9.935E-10 1.261E-07 2.450E-03 3.937E-05 4.605E-08 1.018E-06 2.795E+14 2.434E+07 3.363E+00 3.874E-07 4.521E-08
   3.650E+06 2.654E+03 1.092E+17 1.089E+02 1.682E+04 1.004E+07 1.070E-11 1.120E-09 1.598E-07 2.446E-03 3.959E-05 3.758E-08 9.639E-07 2.325E+14 2.428E+07 2.729E+00 3.935E-07 4.775E-08
   3.750E+06 2.189E+03 9.050E+16 6.885E+01 1.838E+04 6.464E+06 2.424E-11 1.273E-09 2.146E-07 2.445E-03 3.975E-05 2.921E-08 9.463E-07 1.927E+14 2.526E+07 2.117E+00 3.992E-07 5.029E-08
   3.850E+06 1.806E+03 7.470E+16 4.243E+01 2.085E+04 4.062E+06 4.857E-11 1.462E-09 3.016E-07 2.451E-03 3.987E-05 2.219E-08 9.255E-07 1.590E+14 2.669E+07 1.616E+00 4.045E-07 5.283E-08
   3.950E+06 1.489E+03 6.153E+16 2.606E+01 2.376E+04 2.546E+06 8.662E-11 1.691E-09 4.288E-07 2.460E-03 3.997E-05 1.682E-08 9.004E-07 1.310E+14 2.824E+07 1.239E+00 4.095E-07 5.536E-08
   4.050E+06 1.229E+03 5.070E+16 1.622E+01 2.645E+04 1.619E+06 1.395E-10 1.961E-09 5.993E-07 2.468E-03 4.005E-05 1.293E-08 8.704E-07 1.079E+14 2.952E+07 9.687E-01 4.142E-07 5.789E-08
   4.150E+06 1.014E+03 4.181E+16 1.029E+01 2.825E+04 1.049E+06 2.064E-10 2.272E-09 8.095E-07 2.474E-03 4.011E-05 1.014E-08 8.348E-07 8.900E+13 3.028E+07 7.775E-01 4.186E-07 6.041E-08
   4.250E+06 8.369E+02 3.451E+16 6.661E+00 2.877E+04 6.918E+05 2.846E-10 2.622E-09 1.051E-06 2.476E-03 4.016E-05 8.097E-09 7.937E-07 7.345E+13 3.037E+07 6.412E-01 4.227E-07 6.291E-08
   4.350E+06 6.907E+02 2.850E+16 4.387E+00 2.793E+04 4.631E+05 3.705E-10 3.008E-09 1.311E-06 2.476E-03 4.021E-05 6.564E-09 7.478E-07 6.066E+13 2.981E+07 5.426E-01 4.266E-07 6.537E-08
   4.450E+06 5.701E+02 2.354E+16 2.931E+00 2.589E+04 3.139E+05 4.605E-10 3.433E-09 1.577E-06 2.475E-03 4.024E-05 5.389E-09 6.973E-07 5.010E+13 2.863E+07 4.705E-01 4.302E-07 6.778E-08
   4.550E+06 4.704E+02 1.945E+16 1.980E+00 2.298E+04 2.153E+05 5.514E-10 3.897E-09 1.839E-06 2.472E-03 4.028E-05 4.478E-09 6.425E-07 4.139E+13 2.694E+07 4.175E-01 4.336E-07 7.012E-08
   4.650E+06 3.881E+02 1.607E+16 1.351E+00 1.961E+04 1.495E+05 6.406E-10 4.409E-09 2.088E-06 2.469E-03 4.030E-05 3.768E-09 5.845E-07 3.420E+13 2.486E+07 3.786E-01 4.367E-07 7.240E-08
   4.750E+06 3.202E+02 1.328E+16 9.267E-01 1.612E+04 1.052E+05 7.285E-10 4.978E-09 2.317E-06 2.464E-03 4.033E-05 3.215E-09 5.240E-07 2.826E+13 2.250E+07 3.504E-01 4.396E-07 7.459E-08
   4.850E+06 2.640E+02 1.097E+16 6.393E-01 1.279E+04 7.537E+04 8.255E-10 5.618E-09 2.524E-06 2.458E-03 4.035E-05 2.795E-09 4.618E-07 2.335E+13 1.994E+07 3.316E-01 4.423E-07 7.671E-08
   4.950E+06 2.176E+02 9.065E+15 4.458E-01 9.797E+03 5.536E+04 9.716E-10 6.347E-09 2.708E-06 2.451E-03 4.037E-05 2.492E-09 3.991E-07 1.929E+13 1.730E+07 3.237E-01 4.449E-07 7.874E-08
   5.050E+06 1.793E+02 7.488E+15 3.208E-01 7.250E+03 4.225E+04 1.270E-09 7.181E-09 2.870E-06 2.443E-03 4.039E-05 2.309E-09 3.374E-07 1.594E+13 1.464E+07 3.331E-01 4.473E-07 8.069E-08
   5.150E+06 1.477E+02 6.183E+15 2.455E-01 5.194E+03 3.406E+04 1.913E-09 8.132E-09 3.012E-06 2.436E-03 4.040E-05 2.262E-09 2.789E-07 1.316E+13 1.203E+07 3.732E-01 4.496E-07 8.257E-08
   5.250E+06 1.216E+02 5.097E+15 2.036E-01 3.615E+03 2.937E+04 3.184E-09 9.215E-09 3.140E-06 2.432E-03 4.042E-05 2.370E-09 2.259E-07 1.085E+13 9.474E+06 4.634E-01 4.517E-07 8.436E-08
   5.350E+06 1.001E+02 4.201E+15 1.801E-01 2.461E+03 2.712E+04 5.394E-09 1.043E-08 3.259E-06 2.428E-03 4.043E-05 2.659E-09 1.797E-07 8.944E+12 7.125E+06 6.245E-01 4.537E-07 8.608E-08
   5.450E+06 8.236E+01 3.458E+15 1.641E-01 1.637E+03 2.737E+04 8.824E-09 1.178E-08 3.372E-06 2.428E-03 4.044E-05 3.261E-09 1.404E-07 7.362E+12 5.167E+06 8.848E-01 4.555E-07 8.772E-08
   5.550E+06 6.781E+01 2.843E+15 1.680E-01 1.046E+03 4.896E+04 1.369E-08 1.326E-08 3.483E-06 2.433E-03 4.045E-05 7.080E-09 1.057E-07 6.053E+12 2.318E+06 1.466E+00 4.573E-07 8.928E-08
   5.650E+06 5.584E+01 2.338E+15 1.974E-01 6.519E+02 1.180E+05 2.021E-08 1.485E-08 3.595E-06 2.437E-03 4.046E-05 2.072E-08 7.758E-08 4.974E+12 7.265E+05 2.854E+00 4.589E-07 9.078E-08
   5.750E+06 4.602E+01 1.918E+15 2.040E-01 4.055E+02 1.949E+05 2.866E-08 1.655E-08 3.708E-06 2.452E-03 4.047E-05 4.145E-08 5.703E-08 4.072E+12 3.162E+05 4.898E+00 4.604E-07 9.219E-08
   5.850E+06 3.796E+01 1.574E+15 1.837E-01 2.540E+02 2.501E+05 3.943E-08 1.834E-08 3.824E-06 2.467E-03 4.048E-05 6.441E-08 4.219E-08 3.329E+12 1.677E+05 7.274E+00 4.617E-07 9.351E-08
   5.950E+06 3.134E+01 1.292E+15 1.490E-01 1.604E+02 2.720E+05 5.295E-08 2.023E-08 3.944E-06 2.485E-03 4.049E-05 8.470E-08 3.147E-08 2.713E+12 9.618E+04 9.662E+00 4.630E-07 9.472E-08
   6.050E+06 2.592E+01 1.061E+15 1.122E-01 1.024E+02 2.616E+05 6.962E-08 2.220E-08 4.066E-06 2.507E-03 4.050E-05 9.837E-08 2.373E-08 2.204E+12 5.679E+04 1.179E+01 4.640E-07 9.583E-08
   6.150E+06 2.146E+01 8.720E+14 8.071E-02 6.617E+01 2.303E+05 8.978E-08 2.425E-08 4.192E-06 2.528E-03 4.051E-05 1.045E-07 1.810E-08 1.785E+12 3.393E+04 1.355E+01 4.650E-07 9.682E-08
   6.250E+06 1.780E+01 7.172E+14 5.634E-02 4.327E+01 1.883E+05 1.139E-07 2.636E-08 4.318E-06 2.552E-03 4.052E-05 1.029E-07 1.397E-08 1.441E+12 2.028E+04 1.495E+01 4.658E-07 9.769E-08
   6.350E+06 1.478E+01 5.907E+14 3.897E-02 2.868E+01 1.455E+05 1.428E-07 2.848E-08 4.444E-06 2.575E-03 4.052E-05 9.562E-08 1.092E-08 1.160E+12 1.212E+04 1.610E+01 4.665E-07 9.845E-08
   6.450E+06 1.230E+01 4.874E+14 2.709E-02 1.923E+01 1.073E+05 1.777E-07 3.067E-08 4.569E-06 2.598E-03 4.053E-05 8.476E-08 8.637E-09 9.308E+11 7.232E+03 1.721E+01 4.671E-07 9.909E-08
