
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   1.350E+06 1.605E+05 5.501E+18 5.948E+03 5.809E+03 9.362E+07 1.530E-30 1.388E-11 1.951E-10 5.265E-05 6.222E-06 3.233E-07 5.411E-06 1.220E+16 3.053E+06 5.607E-01 3.697E-08 1.693E-09 5.549E-13 6.169E-12 1.666E-11 2.542E-11 1.442E-18 1.022E-10 1.044E-13 6.837E-13 1.245E-10 9.479E-13 1.805E-18 4.926E-07 7.513E-07 1.897E-07
   1.450E+06 1.365E+05 4.753E+18 5.882E+03 5.324E+03 1.271E+08 2.139E-27 1.754E-11 2.831E-10 5.821E-05 6.551E-06 4.592E-07 3.957E-06 1.077E+16 3.230E+06 8.732E-01 4.544E-08 2.160E-09 6.796E-13 6.412E-12 2.348E-11 3.899E-11 1.805E-18 9.302E-11 1.726E-13 1.464E-12 1.645E-10 1.738E-12 2.518E-18 4.918E-07 7.311E-07 1.529E-07
   1.550E+06 1.157E+05 4.090E+18 5.782E+03 5.170E+03 1.635E+08 4.513E-25 2.274E-11 4.168E-10 6.700E-05 6.988E-06 5.966E-07 3.033E-06 9.538E+15 3.481E+06 1.296E+00 5.655E-08 2.789E-09 8.512E-13 6.833E-12 3.302E-11 5.568E-11 2.518E-18 8.697E-11 2.514E-13 2.441E-12 2.014E-10 2.966E-12 3.867E-18 4.909E-07 7.046E-07 1.145E-07
   1.650E+06 9.795E+04 3.507E+18 5.705E+03 5.259E+03 2.025E+08 2.807E-23 3.015E-11 6.191E-10 8.039E-05 7.574E-06 7.185E-07 2.422E-06 8.479E+15 3.883E+06 1.859E+00 7.093E-08 3.626E-09 1.107E-12 7.517E-12 4.416E-11 7.186E-11 3.867E-18 8.424E-11 3.328E-13 3.202E-12 2.262E-10 4.782E-12 6.451E-18 4.898E-07 6.724E-07 7.979E-08
   1.750E+06 8.273E+04 2.994E+18 5.804E+03 5.650E+03 2.433E+08 7.636E-22 4.048E-11 9.174E-10 1.003E-04 8.353E-06 8.102E-07 2.057E-06 7.539E+15 4.529E+06 2.600E+00 8.891E-08 4.705E-09 1.513E-12 8.630E-12 5.470E-11 8.343E-11 6.451E-18 8.554E-11 4.079E-13 3.373E-12 2.355E-10 7.427E-12 1.149E-17 4.887E-07 6.362E-07 5.229E-08
   1.850E+06 6.977E+04 2.547E+18 6.169E+03 6.401E+03 2.843E+08 1.174E-20 5.455E-11 1.341E-09 1.294E-04 9.373E-06 8.627E-07 1.874E-06 6.688E+15 5.493E+06 3.556E+00 1.104E-07 6.036E-09 2.157E-12 1.024E-11 6.269E-11 8.850E-11 1.149E-17 8.938E-11 4.663E-13 2.941E-12 2.316E-10 1.128E-11 2.140E-17 4.878E-07 5.973E-07 3.251E-08
   1.950E+06 5.876E+04 2.159E+18 6.737E+03 7.469E+03 3.228E+08 1.170E-19 7.306E-11 1.916E-09 1.717E-04 1.068E-05 8.708E-07 1.806E-06 5.912E+15 6.816E+06 4.743E+00 1.345E-07 7.596E-09 3.157E-12 1.221E-11 6.772E-11 8.762E-11 2.140E-17 9.198E-11 4.934E-13 2.174E-12 2.184E-10 1.686E-11 4.130E-17 4.874E-07 5.573E-07 1.944E-08
   2.050E+06 4.944E+04 1.827E+18 7.453E+03 8.806E+03 3.559E+08 8.274E-19 9.653E-11 2.658E-09 2.337E-04 1.234E-05 8.336E-07 1.814E-06 5.200E+15 8.557E+06 6.163E+00 1.603E-07 9.327E-09 4.685E-12 1.435E-11 7.026E-11 8.208E-11 4.130E-17 9.057E-11 4.784E-13 1.379E-12 1.992E-10 2.493E-11 8.334E-17 4.876E-07 5.179E-07 1.140E-08
   2.150E+06 4.157E+04 1.541E+18 8.388E+03 1.045E+04 3.829E+08 4.440E-18 1.249E-10 3.570E-09 3.300E-04 1.440E-05 7.527E-07 1.899E-06 4.547E+15 1.086E+07 7.840E+00 1.860E-07 1.115E-08 7.048E-12 1.661E-11 7.066E-11 7.289E-11 8.334E-17 8.508E-11 4.215E-13 7.507E-13 1.762E-10 3.674E-11 1.732E-16 4.890E-07 4.800E-07 6.632E-09
   2.250E+06 3.494E+04 1.297E+18 9.119E+03 1.192E+04 3.998E+08 1.896E-17 1.569E-10 4.644E-09 4.834E-04 1.692E-05 6.375E-07 1.978E-06 3.952E+15 1.361E+07 9.718E+00 2.102E-07 1.298E-08 1.049E-11 1.855E-11 6.974E-11 6.164E-11 1.732E-16 7.467E-11 3.389E-13 3.552E-13 1.486E-10 5.421E-11 3.635E-16 4.918E-07 4.441E-07 3.872E-09
