,Temp [K],Press [hPa],Alt [km]
0,656.4707420183702,5.960300031304655e-06,155.08375553354554
1,674.6153845918257,9.826900182474674e-06,145.33191425583604
2,664.0894374901254,1.6201850527863826e-05,135.5417505316258
3,639.9510679317225,2.671225107775399e-05,126.01361444988444
4,603.5978834799852,4.404100018007284e-05,116.93554538686242
5,555.8871636523905,7.261274781455995e-05,108.47921550939569
6,497.01500534714353,0.00011971900093499244,100.80978412359005
7,429.23844575937517,0.00019738000389679655,94.07291446610684
8,359.3375540625796,0.0003254225049431625,88.34473528191113
9,297.43532070067465,0.0005365325108641628,83.57609782378901
10,250.62295890348656,0.0008846024854847201,79.5938069968268
11,219.29137254846194,0.001458457461467333,76.17405473931754
12,200.86646152186074,0.0024045749569268082,73.11061186256356
13,191.65179472136106,0.003978249878855422,70.22558472165291
14,186.67673224248512,0.006556825610459782,67.45946224231702
15,182.40429563181385,0.010813825610966887,64.76110134761285
16,178.3789200347359,0.01789799989637686,62.10338095067985
17,175.04509834581432,0.029557750167441554,59.50948952716521
18,173.00230548439026,0.04873074976785574,56.96393321193561
19,172.41911384694487,0.07991075108293444,54.462057384731246
20,172.96002519599122,0.12827324826503173,52.06398278278136
21,173.93697169672015,0.19811999663943425,49.84870335025243
22,174.7277839323164,0.29202500445535406,47.86097209964128
23,175.22232504203276,0.41016750037670135,46.11398328088082
24,175.51212522482047,0.5534699885174632,44.57145930967762
25,175.67420008905611,0.7304799801204354,43.14360496499612
26,175.67167047518143,0.9559475001879036,41.759771016986576
27,175.4184462840847,1.2447949848137796,40.402567669164696
28,175.06904322995496,1.6128499992191792,39.07331481980515
29,175.2640953923052,2.0793249714188278,37.77018502950184
30,176.500464748169,2.6674249675124884,36.48721286599886
31,178.5022015758945,3.4048750530928373,35.218215398546825
32,181.25165002684892,4.324574954807758,33.95845132360217
33,184.7298575795993,5.465399939566851,32.70352725918936
34,188.2996897110033,6.872850004583597,31.451662000977464
35,191.36206672136063,8.59972508624196,30.205349663759343
36,193.77268640187407,10.70705009624362,28.969223287574952
37,195.43082300144852,13.264750130474567,27.7484006081848
38,196.35042844527348,16.35175058618188,26.548134233081164
39,196.57909915398182,20.056750625371933,25.373132458751627
40,196.30127661494473,24.47899989783764,24.226964096860787
41,195.70834006124315,29.7279991209507,23.111913361872418
42,195.13853086340663,35.92325001955032,22.028655389606143
43,194.94797627594025,43.1937500834465,20.975952123829202
44,195.3785405317786,51.67749896645546,19.95106125123179
45,196.34179174036643,61.52049824595451,18.951047802711443
46,197.7414920174828,73.75095784664154,17.90640015525875
47,199.37032887910053,87.82123029232025,16.889505812665274
48,201.45413026684164,103.31712663173676,15.936082411860621
49,204.0873093807893,121.54724076390266,14.971405340718816
50,207.0846066764555,142.99403876066208,13.993312244121116
51,210.39860309061828,168.22507977485657,13.000186757100934
52,214.3874230910401,197.9080867022276,11.99854219296428
53,219.57610123956334,232.82861895859241,10.982226386980512
54,226.20948958721777,273.9108167588711,9.936059129113453
55,233.9021817795532,322.2419023513794,8.854245742641254
56,242.169497701669,379.10090386867523,7.733027605338071
57,250.44464868149265,445.992574095726,6.571089766768988
58,258.53509145720375,524.6871747076511,5.368802426171257
59,265.42575406665424,609.7786948084831,4.221602113240646
60,270.95511348844434,691.3894303143024,3.2387580704247276
61,274.8992677153196,763.404481112957,2.44882202166573
62,277.31793828023046,820.8583686500788,1.8628596536221733
63,279.21295311386734,859.5347665250301,1.4878531381443714
64,280.7166999113956,887.0202489197254,1.229990850023817
65,282.22787171557684,912.644546944648,0.9953027707642711
66,283.66781359734284,936.1983984708786,0.784116856625262
67,284.98512393631313,957.485479535535,0.5967956512348678
68,286.0383841185259,976.325407391414,0.4337218430444427
69,286.71426996752825,992.556095123291,0.2950134196470052
