
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3      FO       FN      FH2     FCH4    FN2O
   1.350E+06 1.615E+05 5.488E+18 1.560E+03 1.937E+02 1.958E+07 2.151E-60 5.926E-13 5.164E-12 9.949E-06 4.038E-06 3.586E-07 6.836E-06 1.169E+17 9.225E+05 1.170E-01 1.989E-09 8.061E-11 1.681E-13 2.582E-12 1.407E-11 2.031E-11 4.891E-20 3.542E-11 2.790E-14 2.364E-13 2.230E-10 9.943E-14 5.064E-20 4.962E-07 7.759E-07 2.538E-07
   1.450E+06 1.375E+05 4.743E+18 1.745E+03 1.853E+02 2.875E+07 1.926E-53 7.936E-13 7.480E-12 1.014E-05 4.145E-06 5.978E-07 5.224E-06 1.010E+17 8.907E+05 1.972E-01 2.673E-09 1.104E-10 1.878E-13 2.591E-12 1.854E-11 3.411E-11 5.064E-20 2.997E-11 5.269E-14 7.005E-13 3.141E-10 2.155E-13 5.543E-20 4.945E-07 7.625E-07 2.398E-07
   1.550E+06 1.168E+05 4.080E+18 1.947E+03 1.922E+02 3.949E+07 9.102E-48 1.087E-12 1.108E-11 1.065E-05 4.268E-06 9.090E-07 4.253E-06 8.692E+16 8.701E+05 3.130E-01 3.650E-09 1.536E-10 2.132E-13 2.687E-12 2.630E-11 5.698E-11 5.543E-20 2.757E-11 8.738E-14 1.717E-12 4.302E-10 4.335E-13 6.931E-20 4.919E-07 7.439E-07 2.208E-07
   1.650E+06 9.909E+04 3.493E+18 2.267E+03 2.235E+02 5.173E+07 4.928E-43 1.532E-12 1.689E-11 1.165E-05 4.415E-06 1.271E-06 3.789E-06 7.442E+16 9.029E+05 4.764E-01 5.091E-09 2.183E-10 2.584E-13 3.004E-12 3.777E-11 9.026E-11 6.931E-20 2.881E-11 1.310E-13 3.445E-12 5.602E-10 8.183E-13 1.062E-19 4.883E-07 7.201E-07 1.976E-07
   1.750E+06 8.395E+04 2.974E+18 2.920E+03 3.024E+02 6.564E+07 5.323E-39 2.216E-12 2.642E-11 1.340E-05 4.596E-06 1.647E-06 3.849E-06 6.334E+16 1.050E+06 7.084E-01 7.231E-09 3.157E-10 3.529E-13 3.844E-12 5.181E-11 1.303E-10 1.062E-19 3.710E-11 1.824E-13 5.604E-12 6.923E-10 1.471E-12 1.854E-19 4.838E-07 6.919E-07 1.720E-07
   1.850E+06 7.110E+04 2.518E+18 3.708E+03 4.141E+02 8.192E+07 1.595E-35 3.258E-12 4.199E-11 1.619E-05 4.820E-06 2.010E-06 3.917E-06 5.363E+16 1.272E+06 1.044E+00 1.036E-08 4.607E-10 5.053E-13 5.210E-12 6.932E-11 1.781E-10 1.854E-19 5.190E-11 2.395E-13 7.909E-12 8.101E-10 2.564E-12 3.552E-19 4.784E-07 6.601E-07 1.455E-07
   1.950E+06 6.024E+04 2.127E+18 4.652E+03 5.685E+02 1.008E+08 1.568E-32 4.816E-12 6.697E-11 2.027E-05 5.098E-06 2.338E-06 3.991E-06 4.530E+16 1.591E+06 1.524E+00 1.481E-08 6.708E-10 7.481E-13 7.279E-12 9.068E-11 2.307E-10 3.552E-19 7.503E-11 2.990E-13 9.804E-12 9.033E-10 4.329E-12 7.175E-19 4.723E-07 6.257E-07 1.197E-07
   2.050E+06 5.106E+04 1.798E+18 5.756E+03 7.755E+02 1.223E+08 5.867E-30 7.089E-12 1.060E-10 2.597E-05 5.445E-06 2.619E-06 4.067E-06 3.830E+16 2.033E+06 2.190E+00 2.094E-08 9.661E-10 1.130E-12 1.021E-11 1.165E-10 2.833E-10 7.175E-19 1.075E-10 3.560E-13 1.075E-11 9.671E-10 7.067E-12 1.499E-18 4.657E-07 5.902E-07 9.623E-08
   2.150E+06 4.330E+04 1.522E+18 7.047E+03 1.043E+03 1.469E+08 9.542E-28 1.033E-11 1.654E-10 3.384E-05 5.875E-06 2.853E-06 4.144E-06 3.241E+16 2.625E+06 3.111E+00 2.910E-08 1.367E-09 1.725E-12 1.417E-11 1.467E-10 3.321E-10 1.499E-18 1.494E-10 4.066E-13 1.055E-11 1.001E-09 1.125E-11 3.218E-18 4.588E-07 5.543E-07 7.577E-08
   2.250E+06 3.674E+04 1.289E+18 8.547E+03 1.376E+03 1.749E+08 7.580E-26 1.486E-11 2.530E-10 4.469E-05 6.410E-06 3.036E-06 4.221E-06 2.745E+16 3.396E+06 4.377E+00 3.961E-08 1.895E-09 2.635E-12 1.932E-11 1.812E-10 3.738E-10 3.218E-18 1.977E-10 4.474E-13 9.381E-12 1.006E-09 1.765E-11 7.087E-18 4.519E-07 5.187E-07 5.857E-08
   2.350E+06 3.118E+04 1.091E+18 1.026E+04 1.773E+03 2.061E+08 3.254E-24 2.106E-11 3.781E-10 5.968E-05 7.074E-06 3.165E-06 4.296E-06 2.324E+16 4.367E+06 6.099E+00 5.272E-08 2.567E-09 4.002E-12 2.568E-11 2.196E-10 4.065E-10 7.087E-18 2.463E-10 4.747E-13 7.610E-12 9.833E-10 2.745E-11 1.601E-17 4.450E-07 4.838E-07 4.456E-08
   2.450E+06 2.647E+04 9.238E+17 1.216E+04 2.224E+03 2.400E+08 8.228E-23 2.942E-11 5.510E-10 8.042E-05 7.899E-06 3.231E-06 4.369E-06 1.967E+16 5.566E+06 8.405E+00 6.852E-08 3.393E-09 6.025E-12 3.312E-11 2.613E-10 4.278E-10 1.601E-17 2.865E-10 4.853E-13 5.649E-12 9.338E-10 4.256E-11 3.716E-17 4.384E-07 4.497E-07 3.345E-08
   2.550E+06 2.249E+04 7.815E+17 1.418E+04 2.713E+03 2.752E+08 1.320E-21 4.048E-11 7.817E-10 1.092E-04 8.923E-06 3.225E-06 4.440E-06 1.664E+16 7.028E+06 1.142E+01 8.691E-08 4.373E-09 8.992E-12 4.130E-11 3.055E-10 4.353E-10 3.716E-17 3.091E-10 4.771E-13 3.836E-12 8.599E-10 6.596E-11 8.856E-17 4.323E-07 4.165E-07 2.481E-08
