# (bar) (K)     (cm2/s)
# Pressure        Temp     Kzz
 9.92556E-01   221.11  1.120E+05
 9.76325E-01   225.37  1.120E+05
 9.57485E-01   228.21  1.120E+05
 9.36198E-01   230.66  1.120E+05
 9.12645E-01   233.12  1.120E+05
 8.87020E-01   235.78  1.120E+05
 8.59535E-01   238.37  1.120E+05
 8.20858E-01   241.13  1.120E+05
 7.63404E-01   243.98  1.120E+05
 6.91389E-01   244.78  1.120E+05
 6.09779E-01   242.14  1.120E+05
 5.24687E-01   236.64  1.120E+05
 4.45993E-01   229.41  1.120E+05
 3.79101E-01   221.56  1.120E+05
 3.22242E-01   213.70  1.120E+05
 2.73911E-01   205.94  1.120E+05
 2.32829E-01   198.53  1.120E+05
 1.97908E-01   192.00  1.120E+05
 1.68225E-01   186.93  1.120E+05
 1.42994E-01   184.38  1.120E+05
 1.21547E-01   184.53  1.120E+05
 1.03317E-01   184.73  1.120E+05
 8.78212E-02   184.28  1.120E+05
 7.37510E-02   183.50  1.120E+05
 6.15205E-02   182.76  1.120E+05
 5.16775E-02   182.44  1.120E+05
 4.31938E-02   182.64  1.120E+05
 3.59233E-02   183.36  1.120E+05
 2.97280E-02   184.57  1.120E+05
 2.44790E-02   186.13  1.120E+05
 2.00568E-02   187.72  1.120E+05
 1.63518E-02   188.83  1.120E+05
 1.32648E-02   189.44  1.120E+05
 1.07071E-02   189.80  1.120E+05
 8.59973E-03   189.97  1.120E+05
 6.87285E-03   189.90  1.120E+05
 5.46540E-03   189.42  1.120E+05
 4.32457E-03   188.52  1.120E+05
 3.40488E-03   187.31  1.120E+05
 2.66742E-03   185.93  1.120E+05
 2.07932E-03   184.29  1.120E+05
 1.61285E-03   182.34  1.120E+05
 1.24479E-03   181.36  1.120E+05
 9.55948E-04   181.45  1.120E+05
 7.30480E-04   181.84  1.120E+05
 5.53470E-04   181.77  1.120E+05
 4.10168E-04   180.89  1.120E+05
 2.92025E-04   179.19  1.120E+05
 1.98120E-04   176.86  1.120E+05
 1.28273E-04   174.78  1.120E+05
 7.99108E-05   173.45  1.120E+05
 4.87307E-05   173.40  1.120E+05
 2.95578E-05   176.49  1.120E+05
 1.78980E-05   185.15  1.120E+05
 1.08138E-05   203.71  1.120E+05
 6.55683E-06   222.26  1.120E+05
 3.97825E-06   235.70  1.120E+05
 2.40457E-06   275.14  1.120E+05
 1.45846E-06   343.81  1.120E+05
 8.84602E-07   414.92  1.120E+05
 5.36533E-07   478.81  1.120E+05
 3.25423E-07   533.36  1.120E+05
 1.97380E-07   579.46  1.120E+05
 1.19719E-07   618.10  1.120E+05
 7.26127E-08   649.78  1.120E+05
 4.40410E-08   673.56  1.120E+05
 2.67123E-08   688.72  1.120E+05
 1.62019E-08   697.37  1.120E+05
 9.82690E-09   695.29  1.120E+05
 5.96030E-09   664.56  1.120E+05
