Wavelength (nm)	Solar flux (mW/m^2/nm)
2.085000e+02	1.168726e-01
2.095000e+02	2.194878e-01
2.105000e+02	1.057695e-01
2.115000e+02	2.348496e-01
2.125000e+02	1.480652e-01
2.135000e+02	1.663223e-01
2.145000e+02	1.654622e-01
2.155000e+02	1.317567e-01
2.165000e+02	1.821549e-01
2.175000e+02	1.768960e-01
2.185000e+02	1.633841e-01
2.195000e+02	1.308193e-01
2.205000e+02	1.366191e-01
2.215000e+02	1.916303e-01
2.225000e+02	1.496575e-01
2.235000e+02	1.563459e-01
2.245000e+02	1.284942e-01
2.255000e+02	2.566908e-01
2.265000e+02	2.689810e-01
2.275000e+02	1.591568e-01
2.285000e+02	2.283340e-01
2.295000e+02	1.549600e-01
2.305000e+02	1.330732e-01
2.315000e+02	1.964566e-01
2.325000e+02	2.146511e-01
2.335000e+02	4.958281e-01
2.345000e+02	4.828693e-01
2.355000e+02	3.215103e-01
2.365000e+02	4.015363e-01
2.375000e+02	3.328197e-01
2.385000e+02	7.571439e-01
2.395000e+02	4.578275e-01
2.405000e+02	4.667474e-01
2.415000e+02	3.674005e-01
2.425000e+02	1.628295e-01
2.435000e+02	1.706688e-01
2.445000e+02	2.270239e-01
2.455000e+02	1.771428e-01
2.465000e+02	2.163036e-01
2.475000e+02	3.734271e-01
2.485000e+02	3.272261e-01
2.495000e+02	2.538106e-01
2.505000e+02	2.638043e-01
2.515000e+02	2.839090e-01
2.525000e+02	2.419631e-01
2.535000e+02	2.870999e-01
2.545000e+02	2.746677e-01
2.555000e+02	1.899223e-01
2.565000e+02	3.219074e-01
2.575000e+02	2.827922e-01
2.585000e+02	4.790750e-01
2.595000e+02	6.511366e-01
2.605000e+02	6.724874e-01
2.615000e+02	7.281032e-01
2.625000e+02	9.084634e-01
2.635000e+02	6.164816e-01
2.645000e+02	2.124820e-01
2.655000e+02	2.120469e-01
2.665000e+02	3.561949e-01
2.675000e+02	3.453969e-01
2.685000e+02	1.643844e-01
2.695000e+02	1.231765e-01
2.705000e+02	1.650046e-01
2.715000e+02	2.433344e-01
2.725000e+02	1.937685e-01
2.735000e+02	4.015834e-01
2.745000e+02	5.510160e-01
2.755000e+02	4.440705e-01
2.765000e+02	2.922522e-01
2.775000e+02	2.206216e-01
2.785000e+02	2.434554e-01
2.795000e+02	7.412028e+00
2.805000e+02	5.155650e+00
2.815000e+02	2.164447e-01
2.825000e+02	2.511246e-01
2.835000e+02	2.477406e-01
2.845000e+02	2.515737e-01
2.855000e+02	5.209669e-01
2.865000e+02	2.502943e-01
2.875000e+02	2.221675e-01
2.885000e+02	2.488858e-01
2.895000e+02	2.124618e-01
2.905000e+02	2.144503e-01
2.915000e+02	1.302071e-01
2.925000e+02	3.139200e-01
2.935000e+02	2.654412e-01
2.945000e+02	2.642965e-01
2.955000e+02	2.617131e-01
2.965000e+02	2.602474e-01
2.975000e+02	2.580965e-01
2.985000e+02	2.476932e-01
2.995000e+02	2.115796e-01
3.005000e+02	1.951465e-01
3.015000e+02	1.987868e-01
3.025000e+02	1.647214e-01
3.035000e+02	2.029073e-01
3.045000e+02	1.921079e-01
3.055000e+02	2.088100e-01
3.065000e+02	2.259226e-01
3.075000e+02	2.139962e-01
3.085000e+02	7.500594e-02
3.095000e+02	1.933784e-01
3.105000e+02	1.929164e-02
3.115000e+02	2.269078e-01
3.125000e+02	2.993922e-02
3.135000e+02	2.784170e-03
3.145000e+02	2.784170e-03
3.155000e+02	8.614568e-02
3.165000e+02	2.214784e-01
3.175000e+02	1.980780e-01
3.185000e+02	2.307351e-01
3.195000e+02	4.768590e-01
3.205000e+02	4.184726e-01
3.215000e+02	1.417025e-01
3.225000e+02	2.173034e-01
3.235000e+02	3.522256e-02
3.245000e+02	1.750204e-01
3.255000e+02	2.701317e-01
3.265000e+02	8.562434e-02
3.275000e+02	4.357793e-01
3.285000e+02	6.949497e-01
3.295000e+02	3.317655e-01
3.305000e+02	5.330825e-01
3.315000e+02	5.608538e-01
3.325000e+02	5.839222e-01
3.335000e+02	5.913538e-01
3.345000e+02	8.006639e-01
3.355000e+02	6.918846e-01
3.365000e+02	5.274476e-01
3.375000e+02	7.129616e-01
3.385000e+02	1.013595e+00
3.395000e+02	8.136042e-01
3.405000e+02	8.421631e-01
3.415000e+02	7.615830e-01
3.425000e+02	1.320528e+00
3.435000e+02	8.466489e-01
3.445000e+02	8.282253e-01
3.455000e+02	1.287474e+00
3.465000e+02	1.131510e+00
3.475000e+02	1.156812e+00
3.485000e+02	1.692613e+00
3.495000e+02	1.286165e+00
3.505000e+02	1.866976e+00
3.515000e+02	1.552549e+00
3.525000e+02	1.312369e+00
3.535000e+02	2.363143e+00
3.545000e+02	2.847957e+00
3.555000e+02	2.363766e+00
3.565000e+02	1.986971e+00
3.575000e+02	1.269646e+00
3.585000e+02	1.323799e+00
3.595000e+02	1.402249e+00
3.605000e+02	1.340471e+00
3.615000e+02	1.859746e+00
3.625000e+02	2.025622e+00
3.635000e+02	2.044993e+00
3.645000e+02	1.714740e+00
3.655000e+02	1.954553e+00
3.665000e+02	2.060950e+00
3.675000e+02	1.836506e+00
3.685000e+02	1.810777e+00
3.695000e+02	2.237531e+00
3.705000e+02	1.813231e+00
3.715000e+02	1.923306e+00
3.725000e+02	1.615347e+00
3.735000e+02	1.283056e+00
3.745000e+02	1.193700e+00
3.755000e+02	2.344614e+00
3.765000e+02	2.515666e+00
3.775000e+02	2.943618e+00
3.785000e+02	2.696951e+00
3.795000e+02	3.066752e+00
3.805000e+02	3.259166e+00
3.815000e+02	2.694188e+00
3.825000e+02	2.128141e+00
3.835000e+02	3.364433e+00
3.845000e+02	2.877927e+00
3.855000e+02	1.889970e+00
3.865000e+02	2.206684e+00
3.875000e+02	2.526025e+00
3.885000e+02	2.889845e+00
3.895000e+02	2.892980e+00
3.905000e+02	3.044920e+00
3.915000e+02	3.287015e+00
3.925000e+02	2.873982e+00
3.935000e+02	6.833628e+00
3.945000e+02	2.723997e+00
3.955000e+02	3.432056e+00
3.965000e+02	5.396590e+00
3.975000e+02	6.583339e+00
3.985000e+02	4.632668e+00
3.995000e+02	5.362669e+00
4.005000e+02	5.967986e+00
4.015000e+02	6.178380e+00
4.025000e+02	5.482078e+00
4.035000e+02	4.350474e+00
4.045000e+02	5.318128e+00
4.055000e+02	5.667500e+00
4.065000e+02	4.999257e+00
4.075000e+02	4.449846e+00
4.085000e+02	4.413893e+00
4.095000e+02	4.333656e+00
4.105000e+02	5.293595e+00
4.115000e+02	3.971990e+00
4.125000e+02	4.032188e+00
4.135000e+02	4.304819e+00
4.145000e+02	4.315762e+00
4.155000e+02	4.610906e+00
4.165000e+02	4.694728e+00
4.175000e+02	4.488347e+00
4.185000e+02	4.360984e+00
4.195000e+02	4.287554e+00
4.205000e+02	4.060896e+00
4.215000e+02	3.233984e+00
4.225000e+02	1.449524e+00
4.235000e+02	2.194272e+00
4.245000e+02	3.140247e+00
4.255000e+02	2.836241e+00
4.265000e+02	3.428261e+00
4.275000e+02	3.538002e+00
4.285000e+02	4.246045e+00
4.295000e+02	4.122304e+00
4.305000e+02	4.204684e+00
4.315000e+02	4.369502e+00
4.325000e+02	5.034130e+00
4.335000e+02	6.519475e+00
4.345000e+02	7.769263e+00
4.355000e+02	5.300502e+00
4.365000e+02	5.320263e+00
4.375000e+02	6.113917e+00
4.385000e+02	6.011236e+00
4.395000e+02	6.329307e+00
4.405000e+02	6.836521e+00
4.415000e+02	8.174126e+00
4.425000e+02	7.906647e+00
4.435000e+02	8.742257e+00
4.445000e+02	1.020006e+01
4.455000e+02	1.067750e+01
4.465000e+02	1.068633e+01
4.475000e+02	1.240441e+01
4.485000e+02	1.315456e+01
4.495000e+02	1.415427e+01
4.505000e+02	1.419541e+01
4.515000e+02	1.388878e+01
4.525000e+02	1.569152e+01
4.535000e+02	1.627878e+01
4.545000e+02	1.735719e+01
4.555000e+02	1.713079e+01
4.565000e+02	2.071394e+01
4.575000e+02	2.288143e+01
4.585000e+02	1.825148e+01
4.595000e+02	1.722203e+01
4.605000e+02	1.905241e+01
4.615000e+02	2.427255e+01
4.625000e+02	2.057664e+01
4.635000e+02	1.719111e+01
4.645000e+02	1.925191e+01
4.655000e+02	2.150022e+01
4.665000e+02	2.223574e+01
4.675000e+02	1.587329e+01
4.685000e+02	1.841914e+01
4.695000e+02	2.063939e+01
4.705000e+02	2.315942e+01
4.715000e+02	2.070117e+01
4.725000e+02	2.261697e+01
4.735000e+02	2.353884e+01
4.745000e+02	2.630490e+01
4.755000e+02	2.594902e+01
4.765000e+02	1.276223e+01
4.775000e+02	1.561705e+01
4.785000e+02	1.772832e+01
4.795000e+02	2.175188e+01
4.805000e+02	1.651299e+01
4.815000e+02	1.594019e+01
4.825000e+02	1.873447e+01
4.835000e+02	2.092993e+01
4.845000e+02	1.809812e+01
4.855000e+02	2.086461e+01
4.865000e+02	2.390506e+01
4.875000e+02	2.114776e+01
4.885000e+02	2.342449e+01
4.895000e+02	2.467359e+01
4.905000e+02	2.827570e+01
4.915000e+02	3.214407e+01
4.925000e+02	3.645440e+01
4.935000e+02	3.871807e+01
4.945000e+02	4.377780e+01
4.955000e+02	2.346246e+01
4.965000e+02	1.737171e+01
4.975000e+02	2.293180e+01
4.985000e+02	2.539732e+01
4.995000e+02	2.623078e+01
5.005000e+02	1.912075e+01
5.015000e+02	2.113356e+01
5.025000e+02	2.359083e+01
5.035000e+02	2.774250e+01
5.045000e+02	3.064613e+01
5.055000e+02	2.820253e+01
5.065000e+02	3.168548e+01
5.075000e+02	3.376107e+01
5.085000e+02	3.295105e+01
5.095000e+02	3.319826e+01
5.105000e+02	3.180293e+01
5.115000e+02	3.580976e+01
5.125000e+02	3.460595e+01
5.135000e+02	3.778942e+01
5.145000e+02	3.524957e+01
5.155000e+02	3.531877e+01
5.165000e+02	3.040020e+01
5.175000e+02	1.423115e+01
5.185000e+02	2.189412e+01
5.195000e+02	2.709883e+01
5.205000e+02	2.319203e+01
5.215000e+02	3.740448e+01
5.225000e+02	4.134300e+01
5.235000e+02	4.158694e+01
5.245000e+02	3.598050e+01
5.255000e+02	4.112468e+01
5.265000e+02	3.517786e+01
5.275000e+02	4.130602e+01
5.285000e+02	4.520530e+01
5.295000e+02	4.566594e+01
5.305000e+02	4.499656e+01
5.315000e+02	4.272800e+01
5.325000e+02	4.450585e+01
5.335000e+02	4.636465e+01
5.345000e+02	4.963639e+01
5.355000e+02	5.388182e+01
5.365000e+02	4.875199e+01
5.375000e+02	5.316812e+01
5.385000e+02	5.841877e+01
5.395000e+02	5.961523e+01
5.405000e+02	5.753074e+01
5.415000e+02	6.030049e+01
5.425000e+02	6.092263e+01
5.435000e+02	6.303917e+01
5.445000e+02	5.267158e+01
5.455000e+02	2.980481e+01
5.465000e+02	3.709192e+01
5.475000e+02	3.798218e+01
5.485000e+02	4.090241e+01
5.495000e+02	3.489906e+01
5.505000e+02	2.570409e+01
5.515000e+02	2.400553e+01
5.525000e+02	2.218148e+01
5.535000e+02	1.956306e+01
5.545000e+02	1.995969e+01
5.555000e+02	2.593632e+01
5.565000e+02	3.355558e+01
5.575000e+02	3.792768e+01
5.585000e+02	3.920918e+01
5.595000e+02	3.866850e+01
5.605000e+02	3.638366e+01
5.615000e+02	3.563165e+01
5.625000e+02	3.482921e+01
5.635000e+02	3.451965e+01
5.645000e+02	3.713174e+01
5.655000e+02	3.822630e+01
5.665000e+02	3.812298e+01
5.675000e+02	3.653868e+01
5.685000e+02	4.342238e+01
5.695000e+02	4.665531e+01
5.705000e+02	5.167463e+01
5.715000e+02	4.765638e+01
5.725000e+02	4.924080e+01
5.735000e+02	4.983727e+01
5.745000e+02	5.434505e+01
5.755000e+02	5.323593e+01
5.765000e+02	4.324826e+01
5.775000e+02	4.732647e+01
5.785000e+02	4.834469e+01
5.795000e+02	5.304134e+01
5.805000e+02	5.773085e+01
5.815000e+02	4.338564e+01
5.825000e+02	4.562420e+01
5.835000e+02	4.774737e+01
5.845000e+02	4.271594e+01
5.855000e+02	3.356947e+01
5.865000e+02	2.952490e+01
5.875000e+02	2.541541e+01
5.885000e+02	1.753121e+01
5.895000e+02	1.542688e+01
5.905000e+02	2.138721e+01
5.915000e+02	2.442642e+01
5.925000e+02	2.567387e+01
5.935000e+02	2.885713e+01
5.945000e+02	3.107330e+01
5.955000e+02	2.863527e+01
5.965000e+02	3.010157e+01
5.975000e+02	3.081944e+01
5.985000e+02	3.436894e+01
5.995000e+02	3.802959e+01
6.005000e+02	3.435409e+01
6.015000e+02	3.568310e+01
6.025000e+02	4.015807e+01
6.035000e+02	4.183072e+01
6.045000e+02	4.583900e+01
6.055000e+02	4.779644e+01
6.065000e+02	4.819029e+01
6.075000e+02	4.893108e+01
6.085000e+02	4.783709e+01
6.095000e+02	5.110994e+01
6.105000e+02	4.881773e+01
6.115000e+02	4.673961e+01
6.125000e+02	4.641639e+01
6.135000e+02	4.673391e+01
6.145000e+02	4.273837e+01
6.155000e+02	3.348582e+01
6.165000e+02	2.578109e+01
6.175000e+02	2.586955e+01
6.185000e+02	2.299896e+01
6.195000e+02	2.197285e+01
6.205000e+02	2.328226e+01
6.215000e+02	2.182233e+01
6.225000e+02	2.051731e+01
6.235000e+02	2.182330e+01
6.245000e+02	2.309603e+01
6.255000e+02	2.573832e+01
6.265000e+02	2.829623e+01
6.275000e+02	3.131554e+01
6.285000e+02	3.607229e+01
6.295000e+02	4.083371e+01
6.305000e+02	4.750185e+01
6.315000e+02	5.558561e+01
6.325000e+02	5.656031e+01
6.335000e+02	6.418092e+01
6.345000e+02	7.152987e+01
6.355000e+02	6.485397e+01
6.365000e+02	6.366131e+01
6.375000e+02	6.757767e+01
6.385000e+02	6.213522e+01
6.395000e+02	7.363464e+01
6.405000e+02	8.084716e+01
6.415000e+02	7.920373e+01
6.425000e+02	7.609280e+01
6.435000e+02	8.180753e+01
6.445000e+02	8.569681e+01
6.455000e+02	8.860063e+01
6.465000e+02	9.600932e+01
6.475000e+02	9.877595e+01
6.485000e+02	8.905756e+01
6.495000e+02	9.828872e+01
6.505000e+02	1.103149e+02
6.515000e+02	1.159306e+02
6.525000e+02	1.278820e+02
6.535000e+02	1.415880e+02
6.545000e+02	1.282293e+02
6.555000e+02	1.236479e+02
6.565000e+02	1.263844e+02
6.575000e+02	9.827707e+01
6.585000e+02	1.011303e+02
6.595000e+02	9.429152e+01
6.605000e+02	9.486111e+01
6.615000e+02	9.378205e+01
6.625000e+02	8.215939e+01
6.635000e+02	7.999514e+01
6.645000e+02	7.671583e+01
6.655000e+02	6.447755e+01
6.665000e+02	7.479645e+01
6.675000e+02	7.156453e+01
6.685000e+02	5.880553e+01
6.695000e+02	6.074399e+01
6.705000e+02	6.988289e+01
6.715000e+02	5.727726e+01
6.725000e+02	5.680523e+01
6.735000e+02	6.137989e+01
6.745000e+02	6.447363e+01
6.755000e+02	6.159851e+01
