     zkm      totH2O    totH      totH2    totCH4    tothyd
  7.350E+01 5.147E-06 1.443E-07 2.246E-06 1.476E-07 7.684E-06
  7.450E+01 4.963E-06 2.130E-07 2.360E-06 1.399E-07 7.676E-06
  7.550E+01 4.774E-06 2.731E-07 2.484E-06 1.318E-07 7.663E-06
  7.650E+01 4.577E-06 3.279E-07 2.618E-06 1.237E-07 7.647E-06
  7.750E+01 4.368E-06 3.852E-07 2.758E-06 1.154E-07 7.627E-06
  7.850E+01 4.146E-06 4.538E-07 2.898E-06 1.072E-07 7.604E-06
  7.950E+01 3.908E-06 5.410E-07 3.029E-06 9.915E-08 7.577E-06
  8.050E+01 3.659E-06 6.514E-07 3.144E-06 9.137E-08 7.545E-06
  8.150E+01 3.400E-06 7.864E-07 3.239E-06 8.392E-08 7.509E-06
  8.250E+01 3.137E-06 9.421E-07 3.313E-06 7.686E-08 7.469E-06
  8.350E+01 2.878E-06 1.112E-06 3.367E-06 7.022E-08 7.426E-06
  8.450E+01 2.626E-06 1.288E-06 3.404E-06 6.402E-08 7.381E-06
  8.550E+01 2.386E-06 1.462E-06 3.429E-06 5.829E-08 7.336E-06
  8.650E+01 2.163E-06 1.628E-06 3.445E-06 5.301E-08 7.290E-06
  8.750E+01 1.955E-06 1.784E-06 3.456E-06 4.816E-08 7.243E-06
  8.850E+01 1.764E-06 1.926E-06 3.463E-06 4.373E-08 7.196E-06
  8.950E+01 1.590E-06 2.053E-06 3.467E-06 3.971E-08 7.151E-06
  9.050E+01 1.433E-06 2.166E-06 3.471E-06 3.609E-08 7.106E-06
  9.150E+01 1.291E-06 2.265E-06 3.472E-06 3.282E-08 7.061E-06
  9.250E+01 1.163E-06 2.350E-06 3.472E-06 2.989E-08 7.016E-06
  9.350E+01 1.050E-06 2.423E-06 3.471E-06 2.730E-08 6.971E-06
  9.450E+01 9.505E-07 2.483E-06 3.468E-06 2.501E-08 6.927E-06
  9.550E+01 8.634E-07 2.532E-06 3.464E-06 2.300E-08 6.882E-06
  9.650E+01 7.878E-07 2.571E-06 3.458E-06 2.125E-08 6.837E-06
  9.750E+01 7.227E-07 2.599E-06 3.448E-06 1.974E-08 6.790E-06
  9.850E+01 6.669E-07 2.617E-06 3.436E-06 1.842E-08 6.738E-06
  9.950E+01 6.196E-07 2.624E-06 3.419E-06 1.727E-08 6.679E-06
