 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98378E-01  ERR= 1.04173E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 4.62E-12 2.81E-07 5.25E-12 1.23E-11 3.41E-14 1.43E-10 7.66E-13 8.34E-15 1.65E-16 8.06E-22 4.72E-10 3.07E-13
  3.50E+05 3.81E-12 2.81E-07 7.02E-12 1.47E-11 4.53E-14 1.87E-10 2.00E-12 9.33E-15 3.94E-16 1.98E-21 4.67E-10 2.99E-13
  7.50E+05 1.15E-12 2.81E-07 1.57E-11 1.72E-11 6.79E-14 2.82E-10 3.79E-11 7.77E-15 6.90E-15 8.04E-20 4.53E-10 1.73E-13
  1.15E+06 1.75E-13 2.80E-07 3.74E-11 1.96E-11 7.97E-14 3.28E-10 3.43E-11 5.10E-15 6.52E-14 2.73E-18 4.46E-10 4.60E-14
  1.55E+06 6.63E-14 2.67E-07 8.08E-11 1.32E-10 4.81E-14 1.09E-09 5.64E-11 2.80E-14 1.40E-12 3.77E-17 4.03E-10 6.46E-14
  1.95E+06 1.00E-13 2.25E-07 1.41E-10 4.68E-10 7.03E-14 3.27E-09 1.79E-10 2.08E-13 1.89E-11 1.12E-15 3.08E-10 8.36E-13
  2.35E+06 2.15E-13 1.70E-07 2.67E-10 1.13E-09 1.54E-13 5.42E-09 3.76E-10 6.49E-13 6.24E-11 4.99E-15 2.12E-10 6.55E-12
  2.75E+06 4.23E-13 1.14E-07 6.44E-10 2.65E-09 5.00E-13 6.14E-09 5.28E-10 1.40E-12 1.08E-10 7.99E-15 1.33E-10 3.06E-11
  3.15E+06 7.51E-13 6.56E-08 1.60E-09 4.81E-09 1.69E-12 5.39E-09 3.70E-10 1.98E-12 6.78E-11 1.11E-14 7.26E-11 1.00E-10
  3.55E+06 1.27E-12 3.29E-08 3.66E-09 5.95E-09 4.27E-12 3.46E-09 1.10E-10 1.86E-12 1.52E-11 9.10E-15 3.21E-11 1.70E-10
  3.95E+06 1.99E-12 1.60E-08 7.13E-09 4.23E-09 7.83E-12 1.44E-09 1.43E-11 1.04E-12 1.26E-12 3.50E-15 1.16E-11 1.32E-10
  4.35E+06 2.90E-12 8.23E-09 9.95E-09 1.60E-09 7.09E-12 2.76E-10 1.31E-12 3.39E-13 3.71E-14 4.90E-16 3.97E-12 5.46E-11
  4.75E+06 3.83E-12 4.63E-09 1.02E-08 5.00E-10 3.07E-12 3.22E-11 1.39E-13 8.42E-14 7.88E-16 2.53E-17 1.68E-12 1.43E-11
  5.15E+06 4.06E-12 2.79E-09 9.40E-09 1.64E-10 1.25E-12 4.35E-12 2.00E-14 2.00E-14 2.21E-17 2.63E-18 9.53E-13 3.96E-12
  5.55E+06 3.52E-12 1.80E-09 8.38E-09 5.73E-11 5.70E-13 7.74E-13 3.79E-15 4.96E-15 8.82E-19 5.96E-19 7.07E-13 1.43E-12
  5.95E+06 2.91E-12 1.23E-09 7.37E-09 2.27E-11 2.64E-13 1.66E-13 8.29E-16 1.32E-15 4.34E-20 7.67E-20 6.10E-13 5.46E-13
  6.35E+06 1.91E-12 8.61E-10 6.48E-09 1.24E-11 1.51E-13 5.63E-14 3.00E-16 4.85E-16 4.34E-21 9.24E-21 5.65E-13 2.83E-13
  6.75E+06 1.34E-12 6.01E-10 5.84E-09 9.91E-12 7.88E-14 2.85E-14 1.48E-16 2.14E-16 6.11E-22 4.05E-22 5.41E-13 1.13E-13
  7.15E+06 7.09E-13 3.99E-10 5.43E-09 1.37E-11 5.87E-14 2.81E-14 1.54E-16 1.48E-16 2.27E-22 1.61E-23 5.25E-13 6.15E-14
  7.55E+06 3.41E-13 2.24E-10 5.14E-09 1.26E-11 3.68E-14 1.88E-14 9.16E-17 7.33E-17 4.25E-23 4.67E-25 5.13E-13 2.28E-14
  7.95E+06 1.02E-13 7.85E-11 4.71E-09 4.86E-12 1.71E-14 5.37E-15 1.91E-17 1.95E-17 2.28E-24 1.10E-26 5.02E-13 4.68E-15
  8.35E+06 2.33E-14 1.21E-11 3.92E-09 2.35E-14 5.55E-16 3.77E-16 2.04E-19 1.22E-19 1.24E-26 4.14E-28 4.90E-13 6.27E-18
