
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3
   1.650E+06 9.763E+04 3.264E+18 6.484E+02 3.132E-01 1.379E+07 0.000E+00 2.781E-15 2.188E-14 5.466E-06 3.643E-06 7.728E-07 4.385E-06 6.945E+17 2.575E+05 1.281E-01 9.934E-12 3.859E-13 7.889E-14 7.276E-13 9.541E-11 1.997E-10 3.554E-21 1.860E-12 5.550E-14 3.584E-12 1.525E-09
   1.750E+06 8.346E+04 2.790E+18 8.458E+02 6.432E-01 1.782E+07 0.000E+00 6.952E-15 5.207E-14 5.774E-06 3.680E-06 1.106E-06 4.427E-06 5.936E+17 2.757E+05 1.936E-01 2.473E-11 9.520E-13 9.882E-14 9.878E-13 1.080E-10 2.756E-10 4.779E-21 2.830E-12 9.444E-14 7.145E-12 2.035E-09
   1.850E+06 7.134E+04 2.385E+18 1.070E+03 1.247E+00 2.230E+07 0.000E+00 1.606E-14 1.169E-13 6.193E-06 3.721E-06 1.510E-06 4.475E-06 5.075E+17 3.036E+05 2.835E-01 5.682E-11 2.178E-12 1.273E-13 1.352E-12 1.226E-10 3.642E-10 6.718E-21 4.377E-12 1.472E-13 1.242E-11 2.607E-09
   1.950E+06 6.099E+04 2.039E+18 1.326E+03 2.299E+00 2.731E+07 0.000E+00 3.476E-14 2.491E-13 6.759E-06 3.768E-06 1.981E-06 4.527E-06 4.339E+17 3.424E+05 4.061E-01 1.220E-10 4.669E-12 1.679E-13 1.860E-12 1.402E-10 4.662E-10 9.862E-21 6.839E-12 2.130E-13 1.930E-11 3.209E-09
   2.050E+06 5.215E+04 1.744E+18 1.618E+03 4.049E+00 3.293E+07 0.000E+00 7.113E-14 5.069E-13 7.514E-06 3.823E-06 2.514E-06 4.581E-06 3.709E+17 3.950E+05 5.728E-01 2.473E-10 9.461E-12 2.265E-13 2.571E-12 1.622E-10 5.839E-10 1.510E-20 1.081E-11 2.897E-13 2.740E-11 3.804E-09
   2.150E+06 4.460E+04 1.485E+18 1.972E+03 6.809E+00 3.963E+07 3.788-170 1.386E-13 9.889E-13 8.595E-06 3.887E-06 3.105E-06 4.637E-06 3.159E+17 4.692E+05 8.109E-01 4.757E-10 1.821E-11 3.160E-13 3.704E-12 1.867E-10 7.239E-10 2.486E-20 1.793E-11 3.890E-13 3.730E-11 4.370E-09
   2.250E+06 3.818E+04 1.265E+18 2.396E+03 1.102E+01 4.753E+07 8.898-149 2.581E-13 1.856E-12 1.000E-05 3.964E-06 3.755E-06 4.694E-06 2.691E+17 5.667E+05 1.144E+00 8.719E-10 3.345E-11 4.479E-13 5.340E-12 2.192E-10 8.974E-10 4.242E-20 2.963E-11 5.068E-13 4.876E-11 4.880E-09
   2.350E+06 3.270E+04 1.079E+18 2.904E+03 1.723E+01 5.688E+07 1.997-130 4.618E-13 3.362E-12 1.183E-05 4.057E-06 4.456E-06 4.752E-06 2.295E+17 6.938E+05 1.609E+00 1.531E-09 5.888E-11 6.432E-13 7.673E-12 2.632E-10 1.117E-09 7.476E-20 4.822E-11 6.444E-13 6.163E-11 5.309E-09
   2.450E+06 2.803E+04 9.206E+17 3.509E+03 2.613E+01 6.785E+07 1.182-114 7.973E-13 5.901E-12 1.418E-05 4.171E-06 5.199E-06 4.810E-06 1.958E+17 8.588E+05 2.253E+00 2.584E-09 9.969E-11 9.329E-13 1.096E-11 3.225E-10 1.393E-09 1.358E-19 7.677E-11 8.028E-13 7.542E-11 5.641E-09
   2.550E+06 2.405E+04 7.862E+17 4.225E+03 3.847E+01 8.065E+07 4.364-101 1.332E-12 1.005E-11 1.718E-05 4.310E-06 5.971E-06 4.869E-06 1.672E+17 1.073E+06 3.142E+00 4.203E-09 1.627E-10 1.364E-12 1.555E-11 4.010E-10 1.736E-09 2.548E-19 1.192E-10 9.817E-13 8.889E-11 5.867E-09
