
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL      FOH      FHO2      FNO     FNO2      FH    FH2O2     FNO3    FN2O5    FHNO3
   6.750E+06 7.618E+01 2.451E+15 9.252E+01 9.179E+02 1.805E+06 4.952E-12 6.665E-10 7.891E-08 2.702E-03 3.690E-05 2.724E-07 4.745E-06 5.208E+14 6.198E+06 2.274E+01 3.056E-07 3.133E-08 2.528E-09 1.149E-09 5.825E-09 9.263E-12 1.732E-09 2.627E-10 2.044E-16 5.471E-22 2.584E-14
   6.850E+06 6.559E+01 2.140E+15 6.595E+01 1.042E+03 1.307E+06 1.028E-11 7.272E-10 1.042E-07 2.702E-03 3.694E-05 2.260E-07 4.671E-06 4.546E+14 6.436E+06 1.879E+01 3.100E-07 3.308E-08 3.007E-09 1.372E-09 5.699E-09 9.761E-12 2.499E-09 3.361E-10 1.839E-16 4.075E-22 2.476E-14
   6.950E+06 5.638E+01 1.860E+15 4.588E+01 1.214E+03 9.214E+05 1.963E-11 7.990E-10 1.422E-07 2.701E-03 3.698E-05 1.834E-07 4.594E-06 3.950E+14 6.773E+06 1.525E+01 3.143E-07 3.488E-08 3.642E-09 1.669E-09 5.589E-09 1.056E-11 3.681E-09 4.358E-10 1.673E-16 3.173E-22 2.468E-14
   7.050E+06 4.836E+01 1.622E+15 3.233E+01 1.444E+03 6.562E+05 3.455E-11 8.774E-10 1.974E-07 2.699E-03 3.701E-05 1.499E-07 4.513E-06 3.444E+14 7.269E+06 1.248E+01 3.186E-07 3.672E-08 4.483E-09 2.055E-09 5.493E-09 1.176E-11 5.403E-09 5.648E-10 1.575E-16 2.605E-22 2.518E-14
   7.150E+06 4.140E+01 1.399E+15 2.238E+01 1.701E+03 4.549E+05 5.670E-11 9.753E-10 2.746E-07 2.699E-03 3.704E-05 1.205E-07 4.428E-06 2.972E+14 7.681E+06 1.018E+01 3.228E-07 3.858E-08 5.489E-09 2.515E-09 5.410E-09 1.266E-11 8.212E-09 7.149E-10 1.412E-16 2.002E-22 2.510E-14
   7.250E+06 3.540E+01 1.209E+15 1.593E+01 1.974E+03 3.211E+05 8.697E-11 1.086E-09 3.764E-07 2.697E-03 3.707E-05 9.844E-08 4.336E-06 2.568E+14 8.086E+06 8.533E+00 3.269E-07 4.046E-08 6.686E-09 3.047E-09 5.334E-09 1.335E-11 1.249E-08 8.864E-10 1.257E-16 1.482E-22 2.439E-14
   7.350E+06 3.022E+01 1.041E+15 1.153E+01 2.221E+03 2.270E+05 1.259E-10 1.217E-09 5.044E-07 2.696E-03 3.709E-05 8.091E-08 4.231E-06 2.210E+14 8.349E+06 7.335E+00 3.309E-07 4.235E-08 8.021E-09 3.623E-09 5.262E-09 1.341E-11 1.923E-08 1.072E-09 1.072E-16 1.015E-22 2.267E-14
   7.450E+06 2.576E+01 8.971E+14 8.665E+00 2.425E+03 1.643E+05 1.731E-10 1.364E-09 6.573E-07 2.694E-03 3.712E-05 6.797E-08 4.113E-06 1.905E+14 8.508E+06 6.557E+00 3.348E-07 4.426E-08 9.484E-09 4.223E-09 5.188E-09 1.297E-11 2.951E-08 1.260E-09 8.940E-17 6.522E-23 2.015E-14
   7.550E+06 2.193E+01 7.696E+14 6.643E+00 2.550E+03 1.191E+05 2.279E-10 1.537E-09 8.324E-07 2.693E-03 3.714E-05 5.747E-08 3.980E-06 1.634E+14 8.402E+06 6.041E+00 3.385E-07 4.620E-08 1.092E-08 4.776E-09 5.111E-09 1.173E-11 4.563E-08 1.429E-09 7.034E-17 3.801E-23 1.690E-14
   7.650E+06 1.864E+01 6.618E+14 5.238E+00 2.599E+03 8.763E+04 2.885E-10 1.730E-09 1.025E-06 2.691E-03 3.716E-05 4.921E-08 3.832E-06 1.405E+14 8.260E+06 5.732E+00 3.422E-07 4.817E-08 1.248E-08 5.337E-09 5.026E-09 1.037E-11 6.996E-08 1.574E-09 5.468E-17 2.102E-23 1.360E-14
   7.750E+06 1.582E+01 5.658E+14 4.107E+00 2.554E+03 6.249E+04 3.536E-10 1.955E-09 1.230E-06 2.689E-03 3.718E-05 4.107E-08 3.670E-06 1.201E+14 8.093E+06 5.476E+00 3.459E-07 5.017E-08 1.430E-08 5.955E-09 4.929E-09 8.865E-12 1.091E-07 1.675E-09 4.069E-17 1.082E-23 1.047E-14
   7.850E+06 1.340E+01 4.854E+14 3.289E+00 2.440E+03 4.513E+04 4.210E-10 2.201E-09 1.441E-06 2.685E-03 3.720E-05 3.462E-08 3.489E-06 1.030E+14 8.305E+06 5.355E+00 3.494E-07 5.222E-08 1.711E-08 6.853E-09 4.816E-09 7.520E-12 1.776E-07 1.695E-09 3.057E-17 5.328E-24 7.671E-15
   7.950E+06 1.134E+01 4.136E+14 2.898E+00 2.244E+03 3.998E+04 4.897E-10 2.481E-09 1.653E-06 2.682E-03 3.722E-05 3.604E-08 3.282E-06 8.774E+13 7.067E+06 5.873E+00 3.529E-07 5.431E-08 1.709E-08 6.616E-09 4.682E-09 4.365E-12 3.232E-07 1.462E-09 1.840E-17 2.027E-24 4.782E-15
   8.050E+06 9.578E+00 3.540E+14 3.217E+00 2.007E+03 5.770E+04 5.575E-10 2.774E-09 1.860E-06 2.670E-03 3.724E-05 6.105E-08 3.047E-06 7.507E+13 3.768E+06 8.172E+00 3.562E-07 5.643E-08 1.065E-08 4.033E-09 4.519E-09 1.242E-12 5.913E-07 1.004E-09 6.744E-18 5.831E-25 2.539E-15
   8.150E+06 8.076E+00 3.005E+14 3.929E+00 1.734E+03 9.282E+04 6.244E-10 3.109E-09 2.061E-06 2.657E-03 3.726E-05 1.163E-07 2.801E-06 6.370E+13 1.646E+06 1.276E+01 3.595E-07 5.858E-08 5.478E-09 1.879E-09 4.326E-09 2.492E-13 9.428E-07 6.172E-10 1.503E-18 1.555E-25 1.296E-15
   8.250E+06 6.799E+00 2.565E+14 4.687E+00 1.475E+03 1.364E+05 6.883E-10 3.454E-09 2.249E-06 2.629E-03 3.728E-05 2.023E-07 2.558E-06 5.435E+13 8.325E+05 1.944E+01 3.627E-07 6.074E-08 3.246E-09 9.136E-10 4.111E-09 6.227E-14 1.323E-06 3.687E-10 3.636E-19 4.107E-26 6.582E-16
   8.350E+06 5.713E+00 2.169E+14 5.024E+00 1.223E+03 1.708E+05 7.507E-10 3.853E-09 2.425E-06 2.616E-03 3.729E-05 3.011E-07 2.325E-06 4.594E+13 4.632E+05 2.705E+01 3.657E-07 6.290E-08 2.135E-09 4.700E-10 3.886E-09 2.215E-14 1.703E-06 2.181E-10 1.153E-19 1.088E-26 3.343E-16
   8.450E+06 4.795E+00 1.838E+14 5.071E+00 1.001E+03 1.977E+05 8.101E-10 4.282E-09 2.586E-06 2.595E-03 3.731E-05 4.145E-07 2.106E-06 3.889E+13 2.815E+05 3.545E+01 3.686E-07 6.505E-08 1.532E-09 2.581E-10 3.659E-09 1.149E-14 2.065E-06 1.284E-10 5.248E-20 2.881E-27 1.696E-16
   8.550E+06 4.017E+00 1.557E+14 4.842E+00 8.097E+02 2.142E+05 8.669E-10 4.758E-09 2.732E-06 2.570E-03 3.733E-05 5.353E-07 1.903E-06 3.292E+13 1.796E+05 4.404E+01 3.714E-07 6.718E-08 1.153E-09 1.489E-10 3.437E-09 7.547E-15 2.401E-06 7.548E-11 3.005E-20 7.647E-28 8.610E-17
   8.650E+06 3.363E+00 1.303E+14 4.177E+00 6.409E+02 2.066E+05 9.255E-10 5.341E-09 2.864E-06 2.570E-03 3.734E-05 6.168E-07 1.717E-06 2.752E+13 1.134E+05 5.031E+01 3.741E-07 6.928E-08 8.698E-10 8.822E-11 3.222E-09 5.452E-15 2.706E-06 4.429E-11 1.829E-20 2.041E-28 4.381E-17
   8.750E+06 2.815E+00 1.091E+14 3.451E+00 5.029E+02 1.901E+05 9.911E-10 6.016E-09 2.981E-06 2.570E-03 3.736E-05 6.780E-07 1.546E-06 2.300E+13 7.250E+04 5.514E+01 3.767E-07 7.136E-08 6.646E-10 5.408E-11 3.017E-09 4.124E-15 2.981E-06 2.590E-11 1.163E-20 5.459E-29 2.228E-17
   8.850E+06 2.356E+00 9.132E+13 2.754E+00 3.919E+02 1.679E+05 1.088E-09 6.809E-09 3.085E-06 2.570E-03 3.737E-05 7.154E-07 1.391E-06 1.921E+13 4.663E+04 5.844E+01 3.792E-07 7.341E-08 5.106E-10 3.414E-11 2.824E-09 3.179E-15 3.225E-06 1.510E-11 7.529E-21 1.463E-29 1.133E-17
   8.950E+06 1.973E+00 7.645E+13 2.147E+00 3.039E+02 1.431E+05 1.280E-09 7.744E-09 3.177E-06 2.571E-03 3.738E-05 7.282E-07 1.251E-06 1.604E+13 3.000E+04 6.050E+01 3.816E-07 7.543E-08 3.924E-10 2.210E-11 2.645E-09 2.472E-15 3.440E-06 8.789E-12 4.911E-21 3.932E-30 5.770E-18
   9.050E+06 1.652E+00 6.367E+13 1.622E+00 2.335E+02 1.148E+05 1.691E-09 8.877E-09 3.260E-06 2.584E-03 3.740E-05 6.977E-07 1.125E-06 1.332E+13 1.893E+04 6.117E+01 3.839E-07 7.743E-08 2.974E-10 1.452E-11 2.481E-09 1.917E-15 3.628E-06 5.103E-12 3.149E-21 1.062E-30 2.943E-18
   9.150E+06 1.386E+00 5.285E+13 1.228E+00 1.783E+02 8.780E+04 2.504E-09 1.023E-08 3.337E-06 2.608E-03 3.741E-05 6.369E-07 1.011E-06 1.102E+13 1.177E+04 6.228E+01 3.862E-07 7.940E-08 2.228E-10 9.681E-12 2.331E-09 1.485E-15 3.791E-06 2.950E-12 1.995E-21 2.881E-31 1.503E-18
   9.250E+06 1.165E+00 4.417E+13 9.923E-01 1.370E+02 6.756E+04 3.921E-09 1.180E-08 3.410E-06 2.620E-03 3.742E-05 5.838E-07 9.097E-07 9.174E+12 7.421E+03 6.707E+01 3.884E-07 8.136E-08 1.680E-10 6.592E-12 2.197E-09 1.164E-15 3.930E-06 1.701E-12 1.298E-21 7.836E-32 7.673E-19
   9.350E+06 9.798E-01 3.687E+13 8.411E-01 1.052E+02 5.032E+04 6.156E-09 1.365E-08 3.483E-06 2.636E-03 3.743E-05 5.177E-07 8.196E-07 7.621E+12 4.631E+03 7.579E+01 3.905E-07 8.332E-08 1.256E-10 4.544E-12 2.079E-09 9.147E-16 4.048E-06 9.797E-13 8.418E-22 2.143E-32 3.927E-19
   9.450E+06 8.254E-01 3.082E+13 7.522E-01 8.117E+01 3.684E+04 9.355E-09 1.580E-08 3.557E-06 2.652E-03 3.744E-05 4.506E-07 7.404E-07 6.336E+12 2.882E+03 9.001E+01 3.926E-07 8.529E-08 9.352E-11 3.175E-12 1.978E-09 7.232E-16 4.146E-06 5.641E-13 5.502E-22 5.896E-33 2.014E-19
   9.550E+06 6.961E-01 2.586E+13 7.023E-01 6.313E+01 2.687E+04 1.361E-08 1.824E-08 3.635E-06 2.663E-03 3.745E-05 3.902E-07 6.716E-07 5.284E+12 1.801E+03 1.106E+02 3.947E-07 8.728E-08 6.965E-11 2.250E-12 1.892E-09 5.782E-16 4.227E-06 3.260E-13 3.663E-22 1.633E-33 1.037E-19
   9.650E+06 5.878E-01 2.167E+13 6.674E-01 4.935E+01 1.904E+04 1.903E-08 2.100E-08 3.717E-06 2.677E-03 3.746E-05 3.283E-07 6.128E-07 4.397E+12 1.114E+03 1.378E+02 3.966E-07 8.928E-08 5.142E-11 1.610E-12 1.823E-09 4.643E-16 4.290E-06 1.900E-13 2.437E-22 4.568E-34 5.379E-20
   9.750E+06 4.970E-01 1.818E+13 6.431E-01 3.899E+01 1.327E+04 2.569E-08 2.403E-08 3.802E-06 2.683E-03 3.747E-05 2.719E-07 5.639E-07 3.662E+12 6.874E+02 1.724E+02 3.985E-07 9.129E-08 3.780E-11 1.163E-12 1.770E-09 3.764E-16 4.338E-06 1.133E-13 1.639E-22 1.293E-34 2.841E-20
   9.850E+06 4.209E-01 1.524E+13 6.244E-01 3.114E+01 8.998E+03 3.373E-08 2.728E-08 3.891E-06 2.688E-03 3.748E-05 2.196E-07 5.249E-07 3.045E+12 4.205E+02 2.152E+02 4.003E-07 9.327E-08 2.759E-11 8.472E-13 1.734E-09 3.071E-16 4.368E-06 7.192E-14 1.105E-22 3.764E-35 1.586E-20
   9.950E+06 3.571E-01 1.280E+13 6.128E-01 2.529E+01 6.066E+03 4.328E-08 3.064E-08 3.983E-06 2.691E-03 3.749E-05 1.760E-07 4.959E-07 2.535E+12 2.584E+02 2.670E+02 4.020E-07 9.520E-08 2.018E-11 6.229E-13 1.714E-09 2.534E-16 4.381E-06 5.341E-14 7.541E-23 1.312E-35 1.045E-20
