 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35662E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   3.65E+06 2.07E-08 3.79E-05 5.13E-07 8.44E-05 1.07E-06 4.31E-03 2.29E-04 9.01E-06 1.96E-06 1.85E-05 6.67E-08
   3.95E+06 1.81E-07 3.81E-05 5.25E-07 8.59E-05 1.20E-06 4.31E-03 2.31E-04 9.25E-06 2.08E-06 1.90E-05 7.48E-08
   4.25E+06 6.39E-07 3.82E-05 5.36E-07 8.71E-05 1.31E-06 4.31E-03 2.32E-04 9.45E-06 2.18E-06 1.95E-05 8.21E-08
   4.55E+06 1.31E-06 3.83E-05 5.43E-07 8.81E-05 1.40E-06 4.32E-03 2.33E-04 9.60E-06 2.27E-06 1.98E-05 8.83E-08
   4.85E+06 1.96E-06 3.83E-05 5.50E-07 8.88E-05 1.47E-06 4.32E-03 2.34E-04 9.73E-06 2.33E-06 2.02E-05 9.35E-08
   5.15E+06 2.45E-06 3.83E-05 5.55E-07 8.94E-05 1.52E-06 4.32E-03 2.34E-04 9.83E-06 2.39E-06 2.04E-05 9.78E-08
   5.45E+06 2.79E-06 3.84E-05 5.58E-07 8.98E-05 1.56E-06 4.32E-03 2.34E-04 9.91E-06 2.43E-06 2.06E-05 1.01E-07
   5.75E+06 3.01E-06 3.84E-05 5.61E-07 9.01E-05 1.59E-06 4.32E-03 2.35E-04 9.97E-06 2.46E-06 2.08E-05 1.04E-07
   6.05E+06 3.17E-06 3.84E-05 5.63E-07 9.04E-05 1.61E-06 4.32E-03 2.35E-04 1.00E-05 2.49E-06 2.09E-05 1.06E-07
   6.35E+06 3.29E-06 3.84E-05 5.65E-07 9.05E-05 1.62E-06 4.32E-03 2.35E-04 1.00E-05 2.50E-06 2.09E-05 1.08E-07
   6.65E+06 3.39E-06 3.84E-05 5.66E-07 9.06E-05 1.63E-06 4.32E-03 2.35E-04 1.01E-05 2.51E-06 2.10E-05 1.09E-07
   6.95E+06 3.46E-06 3.84E-05 5.66E-07 9.07E-05 1.63E-06 4.32E-03 2.35E-04 1.01E-05 2.52E-06 2.10E-05 1.09E-07
   7.25E+06 3.51E-06 3.84E-05 5.66E-07 9.07E-05 1.63E-06 4.32E-03 2.35E-04 1.01E-05 2.52E-06 2.10E-05 1.10E-07
   7.55E+06 3.55E-06 3.84E-05 5.67E-07 9.07E-05 1.63E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   7.85E+06 3.57E-06 3.84E-05 5.67E-07 9.07E-05 1.63E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   8.15E+06 3.59E-06 3.84E-05 5.67E-07 9.07E-05 1.64E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   8.45E+06 3.59E-06 3.84E-05 5.67E-07 9.07E-05 1.64E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   8.75E+06 3.60E-06 3.84E-05 5.67E-07 9.07E-05 1.64E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   9.05E+06 3.60E-06 3.84E-05 5.67E-07 9.07E-05 1.64E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   9.35E+06 3.60E-06 3.84E-05 5.67E-07 9.07E-05 1.64E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   9.65E+06 3.60E-06 3.84E-05 5.67E-07 9.08E-05 1.64E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07
   9.95E+06 3.60E-06 3.84E-05 5.67E-07 9.08E-05 1.64E-06 4.32E-03 2.35E-04 1.01E-05 2.53E-06 2.11E-05 1.10E-07

     Z      PMCCL3   PCL2     PHOCL    PNOCL    PCLONO   PCLONO2  PCLO2    PHCL
   5.00E+04 1.62E-07 9.20E-04 1.13E-04 7.48E-04 1.99E-03 3.56E-05 1.58E-06 2.84E-09
   3.50E+05 5.82E-07 1.08E-03 1.38E-04 9.28E-04 2.44E-03 5.01E-05 2.63E-06 1.15E-08
   6.50E+05 1.32E-06 1.19E-03 1.56E-04 1.10E-03 2.75E-03 6.42E-05 4.22E-06 3.14E-08
   9.50E+05 2.50E-06 1.27E-03 1.69E-04 1.28E-03 2.99E-03 8.24E-05 1.08E-05 7.19E-08
   1.25E+06 4.12E-06 1.32E-03 1.83E-04 1.51E-03 3.25E-03 1.18E-04 7.35E-05 1.31E-07
   1.55E+06 6.02E-06 1.36E-03 2.02E-04 1.80E-03 3.57E-03 2.00E-04 6.11E-04 2.03E-07
   1.85E+06 7.50E-06 1.38E-03 2.20E-04 2.02E-03 3.80E-03 2.78E-04 1.36E-03 2.68E-07
   2.15E+06 8.52E-06 1.40E-03 2.30E-04 2.15E-03 3.93E-03 3.23E-04 1.81E-03 3.22E-07
   2.45E+06 9.24E-06 1.40E-03 2.36E-04 2.22E-03 4.00E-03 3.47E-04 2.04E-03 3.70E-07
   2.75E+06 9.77E-06 1.41E-03 2.39E-04 2.27E-03 4.04E-03 3.61E-04 2.16E-03 4.16E-07
   3.05E+06 1.02E-05 1.41E-03 2.40E-04 2.29E-03 4.06E-03 3.68E-04 2.21E-03 4.62E-07
   3.35E+06 1.05E-05 1.41E-03 2.41E-04 2.31E-03 4.07E-03 3.73E-04 2.25E-03 5.07E-07
   3.65E+06 1.08E-05 1.41E-03 2.42E-04 2.32E-03 4.08E-03 3.75E-04 2.27E-03 5.51E-07
   3.95E+06 1.10E-05 1.42E-03 2.42E-04 2.32E-03 4.08E-03 3.77E-04 2.28E-03 5.90E-07
   4.25E+06 1.12E-05 1.42E-03 2.42E-04 2.33E-03 4.09E-03 3.78E-04 2.28E-03 6.24E-07
   4.55E+06 1.14E-05 1.42E-03 2.42E-04 2.33E-03 4.09E-03 3.78E-04 2.29E-03 6.53E-07
   4.85E+06 1.15E-05 1.42E-03 2.42E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 6.77E-07
   5.15E+06 1.16E-05 1.42E-03 2.42E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 6.96E-07
   5.45E+06 1.16E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.12E-07
   5.75E+06 1.17E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.24E-07
   6.05E+06 1.17E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.34E-07
   6.35E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.40E-07
   6.65E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.44E-07
   6.95E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.46E-07
   7.25E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.48E-07
   7.55E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.48E-07
   7.85E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07
   8.15E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07
   8.45E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07
   8.75E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07
   9.05E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07
   9.35E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07
   9.65E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07
   9.95E+06 1.18E-05 1.42E-03 2.43E-04 2.33E-03 4.09E-03 3.79E-04 2.29E-03 7.49E-07

     Z      PNO3     PN2O5    PCL2O2   PSO2     PH2S     PSO21    PSO23    PH2SO4
   5.00E+04 1.45E-02 2.55E-05 6.86E-04 1.77E-06 3.07E-06 2.30E-04 4.70E-07 2.84E-09
   3.50E+05 1.53E-02 4.17E-05 8.63E-04 5.84E-06 1.00E-05 3.04E-04 5.31E-07 1.15E-08
   6.50E+05 1.58E-02 5.87E-05 9.93E-04 1.16E-05 2.08E-05 3.60E-04 5.73E-07 3.14E-08
   9.50E+05 1.62E-02 7.85E-05 1.11E-03 1.92E-05 3.63E-05 4.18E-04 6.01E-07 7.19E-08
   1.25E+06 1.65E-02 1.12E-04 1.29E-03 2.92E-05 5.92E-05 5.15E-04 6.19E-07 1.31E-07
   1.55E+06 1.66E-02 1.77E-04 1.75E-03 4.05E-05 8.98E-05 6.73E-04 6.30E-07 2.03E-07
   1.85E+06 1.67E-02 2.36E-04 2.22E-03 4.85E-05 1.13E-04 7.85E-04 6.37E-07 2.68E-07
   2.15E+06 1.68E-02 2.70E-04 2.50E-03 5.34E-05 1.27E-04 8.46E-04 6.41E-07 3.22E-07
   2.45E+06 1.68E-02 2.88E-04 2.64E-03 5.63E-05 1.36E-04 8.78E-04 6.44E-07 3.70E-07
   2.75E+06 1.68E-02 2.98E-04 2.72E-03 5.82E-05 1.41E-04 8.96E-04 6.45E-07 4.16E-07
   3.05E+06 1.68E-02 3.03E-04 2.76E-03 5.93E-05 1.45E-04 9.06E-04 6.46E-07 4.62E-07
   3.35E+06 1.69E-02 3.06E-04 2.78E-03 6.01E-05 1.47E-04 9.12E-04 6.47E-07 5.07E-07
   3.65E+06 1.69E-02 3.08E-04 2.79E-03 6.07E-05 1.49E-04 9.15E-04 6.47E-07 5.51E-07
   3.95E+06 1.69E-02 3.10E-04 2.80E-03 6.13E-05 1.50E-04 9.18E-04 6.48E-07 5.90E-07
   4.25E+06 1.69E-02 3.10E-04 2.81E-03 6.22E-05 1.50E-04 9.19E-04 6.48E-07 6.24E-07
   4.55E+06 1.69E-02 3.11E-04 2.81E-03 6.34E-05 1.51E-04 9.20E-04 6.48E-07 6.53E-07
   4.85E+06 1.69E-02 3.11E-04 2.81E-03 6.44E-05 1.51E-04 9.20E-04 6.48E-07 6.77E-07
   5.15E+06 1.69E-02 3.11E-04 2.81E-03 6.52E-05 1.52E-04 9.21E-04 6.48E-07 6.96E-07
   5.45E+06 1.69E-02 3.11E-04 2.81E-03 6.58E-05 1.52E-04 9.21E-04 6.48E-07 7.12E-07
   5.75E+06 1.69E-02 3.11E-04 2.81E-03 6.62E-05 1.52E-04 9.21E-04 6.48E-07 7.24E-07
   6.05E+06 1.69E-02 3.11E-04 2.81E-03 6.65E-05 1.52E-04 9.21E-04 6.48E-07 7.34E-07
   6.35E+06 1.69E-02 3.11E-04 2.81E-03 6.67E-05 1.52E-04 9.21E-04 6.48E-07 7.40E-07
   6.65E+06 1.69E-02 3.11E-04 2.81E-03 6.68E-05 1.52E-04 9.21E-04 6.48E-07 7.44E-07
   6.95E+06 1.69E-02 3.11E-04 2.81E-03 6.70E-05 1.52E-04 9.21E-04 6.48E-07 7.46E-07
   7.25E+06 1.69E-02 3.11E-04 2.81E-03 6.71E-05 1.52E-04 9.21E-04 6.48E-07 7.48E-07
   7.55E+06 1.69E-02 3.12E-04 2.81E-03 6.72E-05 1.52E-04 9.21E-04 6.48E-07 7.48E-07
   7.85E+06 1.69E-02 3.12E-04 2.81E-03 6.73E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
   8.15E+06 1.69E-02 3.12E-04 2.81E-03 6.73E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
   8.45E+06 1.69E-02 3.12E-04 2.81E-03 6.73E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
   8.75E+06 1.69E-02 3.12E-04 2.81E-03 6.73E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
   9.05E+06 1.69E-02 3.12E-04 2.81E-03 6.74E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
   9.35E+06 1.69E-02 3.12E-04 2.81E-03 6.74E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
   9.65E+06 1.69E-02 3.12E-04 2.81E-03 6.74E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
   9.95E+06 1.69E-02 3.12E-04 2.81E-03 6.74E-05 1.52E-04 9.21E-04 6.48E-07 7.49E-07
 N =   1  EMAX = 9.99E-10 FOR O       AT Z = 1.50E+05 U = 4.79E-15 RHS =-4.79E-24  DT = 1.00E-08  TIME = 1.00E-08
 
 BEFOREOUT
 N=                     1 NN=                     1 SN=   1.00000000000000      
 NS=                     1

 TIME = 0.1000E-07     TIMEY =   3.1710E-16 YEARS

 NPHOT =  1

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 4.55E-11 2.07E-15 1.13E-02 1.37E-13 1.54E-11 1.25E-09 4.83E-10 8.05E-18 4.86E-08 2.81E-07 3.03E-08 4.39E-10
  1.50E+05 5.10E-11 4.79E-15 6.98E-03 2.22E-13 1.72E-11 1.28E-09 9.31E-10 1.06E-17 4.86E-08 2.76E-07 2.29E-08 4.78E-10
  2.50E+05 5.50E-11 1.19E-14 4.15E-03 3.46E-13 1.85E-11 1.20E-09 1.95E-09 1.31E-17 4.86E-08 2.72E-07 1.70E-08 4.85E-10
  3.50E+05 5.52E-11 2.82E-14 2.26E-03 4.94E-13 1.89E-11 1.04E-09 3.91E-09 1.47E-17 4.86E-08 2.68E-07 1.25E-08 4.42E-10
  5.50E+05 4.88E-11 1.28E-13 7.83E-04 9.65E-13 2.08E-11 7.56E-10 1.22E-08 2.13E-17 4.86E-08 2.62E-07 7.04E-09 3.07E-10
  7.50E+05 3.34E-11 4.36E-13 1.66E-04 1.20E-12 1.80E-11 4.91E-10 2.96E-08 2.18E-17 4.87E-08 2.57E-07 4.91E-09 1.71E-10
  9.50E+05 1.77E-11 1.10E-12 1.30E-05 9.17E-13 9.93E-12 2.15E-10 5.59E-08 1.31E-17 4.89E-08 2.55E-07 4.87E-09 6.61E-11
  1.15E+06 7.83E-12 3.09E-12 9.37E-07 6.81E-13 4.51E-12 4.79E-11 9.92E-08 1.01E-17 4.92E-08 2.51E-07 6.52E-09 1.51E-11
  1.35E+06 8.85E-12 1.10E-11 9.72E-07 1.57E-12 5.93E-12 3.46E-11 1.29E-07 4.55E-17 5.00E-08 2.33E-07 8.71E-09 1.32E-11
  1.55E+06 9.09E-12 2.23E-11 1.05E-06 3.52E-12 7.09E-12 2.47E-11 8.06E-08 1.73E-16 5.17E-08 1.93E-07 9.09E-09 8.95E-12
  1.75E+06 7.78E-12 3.51E-11 1.15E-06 6.55E-12 8.87E-12 2.25E-11 4.63E-08 5.48E-16 5.45E-08 1.42E-07 9.59E-09 5.94E-12
  1.95E+06 6.03E-12 5.18E-11 1.23E-06 1.10E-11 1.16E-11 2.42E-11 2.97E-08 1.60E-15 6.00E-08 9.83E-08 1.05E-08 3.96E-12
  2.15E+06 4.53E-12 7.39E-11 1.28E-06 1.74E-11 1.55E-11 2.82E-11 2.01E-08 4.50E-15 6.93E-08 6.72E-08 1.17E-08 2.68E-12
  2.35E+06 3.38E-12 1.03E-10 1.31E-06 2.68E-11 2.12E-11 3.44E-11 1.40E-08 1.23E-14 8.34E-08 4.71E-08 1.32E-08 1.85E-12
  2.55E+06 2.53E-12 1.39E-10 1.31E-06 4.00E-11 2.92E-11 4.32E-11 9.71E-09 3.25E-14 1.03E-07 3.43E-08 1.52E-08 1.30E-12
  2.75E+06 1.90E-12 1.81E-10 1.30E-06 5.81E-11 4.03E-11 5.50E-11 6.61E-09 8.26E-14 1.30E-07 2.59E-08 1.78E-08 9.32E-13
  2.95E+06 1.43E-12 2.31E-10 1.28E-06 8.17E-11 5.49E-11 6.98E-11 4.44E-09 2.02E-13 1.67E-07 2.02E-08 2.12E-08 6.73E-13
  3.15E+06 1.07E-12 2.95E-10 1.24E-06 1.11E-10 7.32E-11 8.68E-11 3.00E-09 4.77E-13 2.14E-07 1.59E-08 2.57E-08 4.86E-13
  3.35E+06 8.10E-13 3.83E-10 1.18E-06 1.47E-10 9.50E-11 1.05E-10 2.08E-09 1.11E-12 2.75E-07 1.25E-08 3.18E-08 3.47E-13
  3.55E+06 7.27E-13 5.10E-10 1.11E-06 1.92E-10 1.22E-10 1.25E-10 1.47E-09 2.57E-12 3.50E-07 9.37E-09 4.11E-08 2.39E-13
  3.75E+06 1.13E-12 6.79E-10 1.03E-06 2.52E-10 1.62E-10 1.61E-10 1.04E-09 6.23E-12 4.40E-07 6.52E-09 5.98E-08 1.55E-13
  3.95E+06 2.00E-12 8.92E-10 9.25E-07 3.45E-10 2.31E-10 2.34E-10 7.33E-10 1.62E-11 5.44E-07 4.04E-09 9.93E-08 9.34E-14
  4.15E+06 2.54E-12 1.20E-09 8.07E-07 4.72E-10 3.33E-10 3.48E-10 5.22E-10 4.34E-11 6.63E-07 2.19E-09 1.73E-07 5.03E-14
  4.35E+06 2.34E-12 1.70E-09 6.76E-07 6.19E-10 4.47E-10 4.62E-10 3.94E-10 1.14E-10 7.96E-07 1.05E-09 3.02E-07 2.38E-14
  4.55E+06 1.76E-12 2.67E-09 5.34E-07 7.56E-10 5.43E-10 5.23E-10 3.25E-10 2.92E-10 9.37E-07 4.73E-10 5.48E-07 1.02E-14
  4.75E+06 1.21E-12 4.74E-09 3.91E-07 8.36E-10 5.92E-10 4.94E-10 2.99E-10 7.51E-10 1.08E-06 2.06E-10 1.10E-06 4.05E-15
  4.95E+06 8.13E-13 9.79E-09 2.59E-07 8.14E-10 5.57E-10 3.61E-10 3.12E-10 1.93E-09 1.21E-06 9.00E-11 2.36E-06 1.46E-15
  5.15E+06 5.60E-13 2.44E-08 1.54E-07 6.69E-10 4.21E-10 1.78E-10 3.78E-10 4.72E-09 1.31E-06 4.03E-11 4.83E-06 4.13E-16
  5.35E+06 3.78E-13 7.40E-08 8.64E-08 4.57E-10 2.50E-10 5.69E-11 5.41E-10 1.09E-08 1.38E-06 1.92E-11 8.64E-06 8.18E-17
  5.55E+06 2.02E-13 3.27E-07 4.75E-08 2.49E-10 1.13E-10 1.19E-11 1.02E-09 2.75E-08 1.41E-06 9.69E-12 1.35E-05 1.18E-17
  5.75E+06 4.98E-14 2.62E-06 2.51E-08 7.39E-11 2.33E-11 1.27E-12 3.52E-09 5.78E-08 1.41E-06 5.19E-12 1.88E-05 1.47E-18
  5.95E+06 1.16E-14 1.05E-05 1.34E-08 3.29E-11 6.07E-12 1.29E-13 7.37E-09 8.16E-08 1.41E-06 2.96E-12 2.41E-05 2.09E-19
  6.15E+06 4.05E-15 2.62E-05 7.35E-09 1.83E-11 2.08E-12 1.46E-14 1.05E-08 9.71E-08 1.41E-06 1.78E-12 2.93E-05 3.63E-20
  6.35E+06 1.90E-15 5.04E-05 4.24E-09 1.07E-11 8.44E-13 1.89E-15 1.16E-08 1.07E-07 1.41E-06 1.13E-12 3.43E-05 7.83E-21
  6.55E+06 1.09E-15 8.24E-05 2.57E-09 6.21E-12 3.79E-13 2.86E-16 1.07E-08 1.14E-07 1.41E-06 7.59E-13 3.91E-05 2.06E-21
  6.75E+06 7.21E-16 1.21E-04 1.62E-09 3.51E-12 1.83E-13 5.00E-17 8.70E-09 1.19E-07 1.41E-06 5.31E-13 4.39E-05 6.29E-22
  6.95E+06 5.42E-16 1.61E-04 1.07E-09 1.93E-12 9.39E-14 1.02E-17 6.28E-09 1.22E-07 1.40E-06 3.87E-13 4.84E-05 2.20E-22
  7.15E+06 4.54E-16 2.01E-04 7.43E-10 1.04E-12 5.09E-14 2.44E-18 4.13E-09 1.24E-07 1.40E-06 2.94E-13 5.26E-05 8.60E-23
  7.35E+06 4.04E-16 2.40E-04 5.30E-10 5.49E-13 2.84E-14 6.53E-19 2.55E-09 1.26E-07 1.40E-06 2.29E-13 5.66E-05 3.60E-23
  7.55E+06 3.69E-16 2.80E-04 3.77E-10 2.83E-13 1.60E-14 1.79E-19 1.49E-09 1.27E-07 1.40E-06 1.79E-13 6.09E-05 1.51E-23
  7.75E+06 3.43E-16 3.18E-04 2.68E-10 1.44E-13 9.12E-15 4.97E-20 8.33E-10 1.28E-07 1.40E-06 1.39E-13 6.53E-05 6.30E-24
  7.95E+06 3.25E-16 3.54E-04 1.91E-10 7.26E-14 5.25E-15 1.41E-20 4.48E-10 1.29E-07 1.40E-06 1.09E-13 6.98E-05 2.64E-24
  8.15E+06 3.11E-16 3.87E-04 1.36E-10 3.70E-14 3.05E-15 4.09E-21 2.34E-10 1.30E-07 1.40E-06 8.48E-14 7.42E-05 1.11E-24
  8.35E+06 3.02E-16 4.18E-04 9.72E-11 1.94E-14 1.79E-15 1.21E-21 1.20E-10 1.30E-07 1.40E-06 6.64E-14 7.85E-05 4.71E-25
  8.55E+06 2.95E-16 4.47E-04 6.97E-11 1.07E-14 1.06E-15 3.63E-22 6.01E-11 1.30E-07 1.39E-06 5.22E-14 8.26E-05 2.00E-25
  8.75E+06 2.90E-16 4.74E-04 5.02E-11 6.50E-15 6.26E-16 1.11E-22 2.98E-11 1.30E-07 1.39E-06 4.12E-14 8.66E-05 8.57E-26
  8.95E+06 2.85E-16 5.01E-04 3.65E-11 4.46E-15 3.72E-16 3.48E-23 1.47E-11 1.30E-07 1.39E-06 3.28E-14 9.03E-05 3.69E-26
  9.15E+06 2.81E-16 5.29E-04 2.68E-11 3.50E-15 2.22E-16 1.11E-23 7.21E-12 1.30E-07 1.38E-06 2.63E-14 9.39E-05 1.60E-26
  9.35E+06 2.77E-16 5.58E-04 2.00E-11 3.07E-15 1.31E-16 3.66E-24 3.53E-12 1.30E-07 1.38E-06 2.14E-14 9.71E-05 6.96E-27
  9.55E+06 2.75E-16 5.91E-04 1.53E-11 2.92E-15 7.75E-17 1.25E-24 1.73E-12 1.30E-07 1.37E-06 1.78E-14 1.00E-04 3.07E-27
  9.75E+06 2.75E-16 6.30E-04 1.22E-11 2.89E-15 4.51E-17 4.59E-25 8.47E-13 1.29E-07 1.35E-06 1.51E-14 1.03E-04 1.42E-27
  9.95E+06 2.78E-16 6.75E-04 1.03E-11 2.93E-15 2.58E-17 2.34E-25 4.18E-13 1.28E-07 1.34E-06 1.34E-14 1.05E-04 8.25E-28
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

 TP, TL
           1.05E+11 5.63E+14 8.49E+11 2.51E+12 2.28E+12 3.29E+11 5.61E+14 1.86E+12 2.05E+10 0.00E+00 4.16E+11 2.30E+11
           1.04E+11 5.63E+14 7.07E+11 2.47E+12 2.28E+12 3.24E+11 5.61E+14 1.82E+12 2.00E+10 1.14E+11 6.36E+11 2.28E+11

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 4.12E-12 1.48E-09 3.66E-13 5.16E-13 5.59E-15 5.16E-12 1.61E-14 2.28E-16 8.68E-20 3.87E-23 1.35E-10 1.61E-13
  1.50E+05 5.42E-12 1.44E-09 4.08E-13 5.99E-13 9.06E-15 7.87E-12 4.63E-14 5.28E-16 3.79E-19 2.49E-22 1.24E-10 3.12E-13
  2.50E+05 6.80E-12 1.39E-09 4.76E-13 7.19E-13 1.47E-14 1.13E-11 1.36E-13 1.17E-15 1.69E-18 3.33E-21 1.13E-10 7.95E-13
  3.50E+05 7.63E-12 1.35E-09 5.79E-13 8.70E-13 2.26E-14 1.45E-11 3.87E-13 2.23E-15 7.22E-18 5.22E-20 1.04E-10 2.05E-12
  5.50E+05 8.08E-12 1.24E-09 7.61E-13 1.18E-12 4.40E-14 1.93E-11 1.63E-12 6.15E-15 7.73E-17 3.52E-18 8.80E-11 8.60E-12
  7.50E+05 5.70E-12 1.14E-09 1.17E-12 1.65E-12 6.50E-14 1.95E-11 3.46E-12 1.06E-14 7.93E-16 1.00E-16 7.85E-11 1.60E-11
  9.50E+05 2.59E-12 1.03E-09 2.68E-12 2.75E-12 9.22E-14 1.61E-11 3.64E-12 1.85E-14 8.39E-15 3.74E-15 7.38E-11 1.58E-11
  1.15E+06 9.72E-13 8.66E-10 5.27E-12 4.19E-12 1.02E-13 1.12E-11 2.17E-12 3.44E-14 1.96E-14 4.60E-14 6.81E-11 1.17E-11
  1.35E+06 1.46E-12 4.93E-10 5.52E-12 4.15E-12 1.48E-13 1.17E-11 1.14E-12 4.16E-14 1.27E-14 8.56E-14 5.00E-11 1.90E-11
  1.55E+06 1.77E-12 1.65E-10 6.36E-12 3.17E-12 2.26E-13 9.59E-12 4.15E-13 3.01E-14 3.67E-15 9.16E-14 2.41E-11 2.23E-11
  1.75E+06 1.71E-12 4.35E-11 5.97E-12 2.05E-12 2.30E-13 6.00E-12 1.53E-13 1.53E-14 6.88E-16 6.10E-14 8.25E-12 2.22E-11
  1.95E+06 1.44E-12 1.25E-11 4.88E-12 1.22E-12 1.81E-13 3.31E-12 5.97E-14 6.88E-15 1.14E-16 3.50E-14 2.36E-12 2.15E-11
  2.15E+06 1.14E-12 4.68E-12 3.95E-12 7.28E-13 1.31E-13 1.79E-12 2.50E-14 3.08E-15 1.96E-17 1.76E-14 6.57E-13 2.01E-11
  2.35E+06 8.74E-13 2.12E-12 3.31E-12 4.52E-13 9.47E-14 9.92E-13 1.13E-14 1.45E-15 3.75E-18 7.54E-15 1.94E-13 1.76E-11
  2.55E+06 6.61E-13 1.05E-12 2.89E-12 2.97E-13 6.86E-14 5.70E-13 5.49E-15 7.26E-16 8.13E-19 2.61E-15 6.26E-14 1.41E-11
  2.75E+06 4.93E-13 5.39E-13 2.60E-12 2.12E-13 4.94E-14 3.44E-13 2.92E-15 3.93E-16 2.05E-19 7.18E-16 2.24E-14 1.02E-11
  2.95E+06 3.66E-13 2.80E-13 2.39E-12 1.65E-13 3.50E-14 2.19E-13 1.70E-15 2.30E-16 6.07E-20 1.62E-16 8.90E-15 6.59E-12
  3.15E+06 2.71E-13 1.47E-13 2.24E-12 1.38E-13 2.44E-14 1.44E-13 1.05E-15 1.41E-16 2.00E-20 3.23E-17 3.92E-15 3.92E-12
  3.35E+06 1.99E-13 7.78E-14 2.13E-12 1.20E-13 1.68E-14 9.40E-14 6.57E-16 8.69E-17 6.76E-21 6.03E-18 1.90E-15 2.20E-12
  3.55E+06 1.40E-13 4.18E-14 2.06E-12 1.05E-13 1.14E-14 6.08E-14 4.16E-16 5.36E-17 2.31E-21 1.09E-18 1.01E-15 1.19E-12
  3.75E+06 9.10E-14 2.28E-14 2.00E-12 9.78E-14 7.88E-15 4.16E-14 2.85E-16 3.53E-17 8.84E-22 1.85E-19 5.80E-16 6.56E-13
  3.95E+06 5.24E-14 1.25E-14 1.94E-12 9.72E-14 5.66E-15 3.12E-14 2.20E-16 2.58E-17 4.01E-22 3.04E-20 3.60E-16 3.80E-13
