 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35662E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 6.80E-12 1.39E-09 4.76E-13 7.19E-13 1.47E-14 1.13E-11 1.36E-13 1.17E-15 1.69E-18 3.33E-21 1.13E-10 7.95E-13
  3.50E+05 7.63E-12 1.35E-09 5.79E-13 8.70E-13 2.26E-14 1.45E-11 3.87E-13 2.23E-15 7.22E-18 5.22E-20 1.04E-10 2.05E-12
  7.50E+05 5.70E-12 1.14E-09 1.17E-12 1.65E-12 6.50E-14 1.95E-11 3.46E-12 1.06E-14 7.93E-16 1.00E-16 7.85E-11 1.60E-11
  1.15E+06 9.72E-13 8.66E-10 5.27E-12 4.19E-12 1.02E-13 1.12E-11 2.17E-12 3.44E-14 1.96E-14 4.60E-14 6.81E-11 1.17E-11
  1.55E+06 1.77E-12 1.65E-10 6.36E-12 3.17E-12 2.26E-13 9.59E-12 4.15E-13 3.01E-14 3.67E-15 9.16E-14 2.41E-11 2.23E-11
  1.95E+06 1.44E-12 1.25E-11 4.88E-12 1.22E-12 1.81E-13 3.31E-12 5.97E-14 6.88E-15 1.14E-16 3.50E-14 2.36E-12 2.15E-11
  2.35E+06 8.74E-13 2.12E-12 3.31E-12 4.52E-13 9.47E-14 9.92E-13 1.13E-14 1.45E-15 3.75E-18 7.54E-15 1.94E-13 1.76E-11
  2.75E+06 4.93E-13 5.39E-13 2.60E-12 2.12E-13 4.94E-14 3.44E-13 2.92E-15 3.93E-16 2.05E-19 7.18E-16 2.24E-14 1.02E-11
  3.15E+06 2.71E-13 1.47E-13 2.24E-12 1.38E-13 2.44E-14 1.44E-13 1.05E-15 1.41E-16 2.00E-20 3.23E-17 3.92E-15 3.92E-12
  3.55E+06 1.40E-13 4.18E-14 2.06E-12 1.05E-13 1.14E-14 6.08E-14 4.16E-16 5.36E-17 2.31E-21 1.09E-18 1.01E-15 1.19E-12
  3.95E+06 5.24E-14 1.25E-14 1.94E-12 9.72E-14 5.66E-15 3.12E-14 2.20E-16 2.58E-17 4.01E-22 3.04E-20 3.60E-16 3.80E-13
  4.35E+06 1.25E-14 3.77E-15 1.84E-12 8.56E-14 2.82E-15 1.49E-14 1.12E-16 1.20E-17 6.27E-23 1.18E-21 1.68E-16 1.44E-13
  4.75E+06 2.31E-15 1.13E-15 1.77E-12 4.09E-14 1.07E-15 2.99E-15 2.40E-17 2.75E-18 2.53E-24 5.48E-23 1.03E-16 4.04E-14
  5.15E+06 3.38E-16 3.50E-16 1.66E-12 6.94E-15 2.32E-16 1.40E-16 1.14E-18 3.94E-19 2.23E-26 9.97E-25 7.84E-17 3.50E-15
  5.55E+06 2.06E-17 1.29E-16 1.49E-12 3.05E-16 2.26E-17 1.22E-18 6.15E-21 3.11E-20 3.37E-29 2.01E-26 6.69E-17 6.18E-17
  5.95E+06 3.40E-18 1.09E-16 1.29E-12 5.55E-17 7.56E-19 7.58E-21 1.72E-23 4.89E-21 2.17E-31 2.87E-27 6.02E-17 1.05E-19
  6.35E+06 2.21E-18 1.42E-16 1.10E-12 2.68E-17 6.09E-20 2.89E-22 3.30E-25 1.30E-21 8.89E-33 2.90E-28 5.59E-17 1.81E-21
  6.75E+06 2.06E-18 1.79E-16 9.29E-13 1.24E-17 4.96E-21 1.57E-23 1.02E-26 3.26E-22 3.31E-34 1.62E-29 5.32E-17 7.19E-23
  7.15E+06 2.04E-18 2.07E-16 7.95E-13 5.74E-18 3.71E-22 9.15E-25 4.13E-28 8.14E-23 1.25E-35 5.73E-31 5.13E-17 4.14E-24
  7.55E+06 2.03E-18 2.13E-16 6.81E-13 2.65E-18 2.53E-23 5.29E-26 1.86E-29 2.03E-23 4.52E-37 1.49E-32 4.96E-17 2.78E-25
  7.95E+06 2.01E-18 2.00E-16 5.72E-13 1.20E-18 1.60E-24 2.59E-27 8.09E-31 4.93E-24 1.49E-38 3.06E-34 4.79E-17 1.90E-26
  8.35E+06 1.98E-18 1.79E-16 4.75E-13 5.40E-19 1.03E-25 1.18E-28 3.60E-32 1.18E-24 4.76E-40 5.41E-36 4.59E-17 1.33E-27
  8.75E+06 1.92E-18 1.58E-16 3.92E-13 2.40E-19 8.31E-27 5.36E-30 1.64E-33 2.77E-25 1.48E-41 8.63E-38 4.35E-17 9.45E-29
  9.15E+06 1.83E-18 1.37E-16 3.24E-13 1.07E-19 1.08E-27 2.70E-31 7.65E-35 6.42E-26 4.54E-43 1.27E-39 4.03E-17 6.55E-30
  9.55E+06 1.68E-18 1.19E-16 2.76E-13 4.86E-20 2.22E-28 1.77E-32 3.65E-36 1.49E-26 1.43E-44 1.74E-41 3.61E-17 4.26E-31
  9.95E+06 1.47E-18 1.03E-16 2.52E-13 2.36E-20 6.10E-29 2.17E-33 2.13E-37 3.60E-27 5.60E-46 2.20E-43 3.08E-17 2.56E-32
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 4.35E-17 8.46E-15 6.63E-12 1.15E-14 2.10E-04 8.75E-13 2.88E-16 1.71E-16 1.50E-11 2.64E-12 6.58E-14 4.00E-04
  1.50E+05 9.73E-17 1.59E-14 1.03E-11 2.20E-14 2.14E-04 6.90E-13 2.24E-16 4.59E-16 2.12E-11 5.49E-12 6.18E-14 4.05E-04
  2.50E+05 2.09E-16 4.26E-14 1.48E-11 5.37E-14 2.19E-04 5.16E-13 1.39E-16 8.74E-16 2.27E-11 8.63E-12 4.98E-14 4.09E-04
  3.50E+05 3.87E-16 1.21E-13 1.87E-11 1.34E-13 2.23E-04 4.12E-13 8.53E-17 1.43E-15 2.19E-11 1.14E-11 4.07E-14 4.13E-04
