
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   2.450E+06 2.628E+04 9.064E+17 1.051E+04 1.504E+04 2.869E+08 2.238E-17 2.221E-10 5.438E-09 1.016E-03 2.377E-05 3.117E-07 3.052E-06 2.924E+15 1.938E+07 1.065E+01 2.644E-07 1.583E-08
   2.550E+06 2.236E+04 7.713E+17 9.876E+03 1.522E+04 2.646E+08 6.640E-17 2.449E-10 6.344E-09 1.243E-03 2.608E-05 2.760E-07 3.111E-06 2.656E+15 2.113E+07 1.153E+01 2.767E-07 1.698E-08
   2.650E+06 1.903E+04 6.564E+17 8.968E+03 1.530E+04 2.369E+08 1.767E-16 2.671E-10 7.375E-09 1.469E-03 2.827E-05 2.457E-07 3.160E-06 2.392E+15 2.247E+07 1.211E+01 2.878E-07 1.812E-08
   2.750E+06 1.619E+04 5.586E+17 7.932E+03 1.531E+04 2.072E+08 4.298E-16 2.888E-10 8.565E-09 1.682E-03 3.027E-05 2.206E-07 3.201E-06 2.139E+15 2.341E+07 1.243E+01 2.979E-07 1.924E-08
   2.850E+06 1.378E+04 4.754E+17 6.869E+03 1.531E+04 1.779E+08 9.694E-16 3.106E-10 9.964E-09 1.874E-03 3.204E-05 1.997E-07 3.232E-06 1.901E+15 2.402E+07 1.252E+01 3.071E-07 2.037E-08
   2.950E+06 1.173E+04 4.046E+17 5.842E+03 1.533E+04 1.504E+08 2.046E-15 3.329E-10 1.164E-08 2.044E-03 3.358E-05 1.818E-07 3.255E-06 1.682E+15 2.438E+07 1.242E+01 3.155E-07 2.152E-08
   3.050E+06 9.985E+03 3.444E+17 4.884E+03 1.541E+04 1.252E+08 4.057E-15 3.563E-10 1.368E-08 2.191E-03 3.490E-05 1.660E-07 3.271E-06 1.483E+15 2.457E+07 1.214E+01 3.232E-07 2.268E-08
   3.150E+06 8.499E+03 2.932E+17 4.013E+03 1.555E+04 1.027E+08 7.579E-15 3.815E-10 1.618E-08 2.314E-03 3.602E-05 1.513E-07 3.279E-06 1.302E+15 2.466E+07 1.169E+01 3.304E-07 2.389E-08
   3.250E+06 7.235E+03 2.496E+17 3.238E+03 1.576E+04 8.284E+07 1.338E-14 4.092E-10 1.926E-08 2.417E-03 3.694E-05 1.373E-07 3.280E-06 1.140E+15 2.470E+07 1.108E+01 3.372E-07 2.514E-08
   3.350E+06 6.159E+03 2.124E+17 2.564E+03 1.602E+04 6.572E+07 2.243E-14 4.400E-10 2.303E-08 2.500E-03 3.770E-05 1.237E-07 3.274E-06 9.951E+14 2.473E+07 1.032E+01 3.436E-07 2.646E-08
   3.450E+06 5.243E+03 1.809E+17 1.991E+03 1.628E+04 5.123E+07 3.593E-14 4.746E-10 2.759E-08 2.567E-03 3.831E-05 1.103E-07 3.262E-06 8.667E+14 2.475E+07 9.454E+00 3.496E-07 2.785E-08
   3.550E+06 4.464E+03 1.540E+17 1.517E+03 1.650E+04 3.924E+07 5.539E-14 5.136E-10 3.304E-08 2.620E-03 3.881E-05 9.729E-08 3.243E-06 7.532E+14 2.474E+07 8.507E+00 3.554E-07 2.932E-08
   3.650E+06 3.801E+03 1.311E+17 1.135E+03 1.663E+04 2.957E+07 8.309E-14 5.576E-10 3.942E-08 2.660E-03 3.920E-05 8.479E-08 3.219E-06 6.530E+14 2.470E+07 7.530E+00 3.610E-07 3.087E-08
