
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D     PN2O     PCH3CL
   2.450E+06 2.628E+04 9.064E+17 1.184E+04 1.345E+04 3.325E+08 1.602E-17 1.994E-10 4.920E-09 8.050E-04 2.146E-05 4.557E-07 3.015E-06 3.541E+15 1.791E+07 1.213E+01 2.498E-07 1.482E-08
   2.550E+06 2.236E+04 7.713E+17 1.148E+04 1.371E+04 3.158E+08 4.881E-17 2.231E-10 5.775E-09 1.025E-03 2.383E-05 3.993E-07 3.078E-06 3.219E+15 2.003E+07 1.354E+01 2.630E-07 1.598E-08
   2.650E+06 1.903E+04 6.564E+17 1.067E+04 1.385E+04 2.887E+08 1.325E-16 2.460E-10 6.738E-09 1.258E-03 2.616E-05 3.497E-07 3.131E-06 2.901E+15 2.173E+07 1.454E+01 2.749E-07 1.712E-08
   2.750E+06 1.619E+04 5.586E+17 9.600E+03 1.391E+04 2.565E+08 3.268E-16 2.682E-10 7.841E-09 1.486E-03 2.835E-05 3.089E-07 3.175E-06 2.595E+15 2.294E+07 1.516E+01 2.855E-07 1.825E-08
   2.850E+06 1.378E+04 4.754E+17 8.430E+03 1.392E+04 2.229E+08 7.449E-16 2.899E-10 9.125E-09 1.700E-03 3.033E-05 2.759E-07 3.210E-06 2.308E+15 2.373E+07 1.547E+01 2.950E-07 1.936E-08
   2.950E+06 1.173E+04 4.046E+17 7.257E+03 1.395E+04 1.904E+08 1.587E-15 3.117E-10 1.065E-08 1.892E-03 3.207E-05 2.487E-07 3.236E-06 2.043E+15 2.416E+07 1.552E+01 3.037E-07 2.048E-08
   3.050E+06 9.985E+03 3.444E+17 6.136E+03 1.401E+04 1.601E+08 3.179E-15 3.341E-10 1.250E-08 2.060E-03 3.358E-05 2.257E-07 3.255E-06 1.802E+15 2.436E+07 1.533E+01 3.117E-07 2.161E-08
   3.150E+06 8.499E+03 2.932E+17 5.099E+03 1.413E+04 1.326E+08 6.007E-15 3.578E-10 1.475E-08 2.204E-03 3.486E-05 2.052E-07 3.267E-06 1.582E+15 2.440E+07 1.491E+01 3.190E-07 2.278E-08
   3.250E+06 7.235E+03 2.496E+17 4.161E+03 1.430E+04 1.081E+08 1.073E-14 3.834E-10 1.753E-08 2.325E-03 3.594E-05 1.863E-07 3.271E-06 1.386E+15 2.436E+07 1.428E+01 3.258E-07 2.399E-08
   3.350E+06 6.159E+03 2.124E+17 3.334E+03 1.453E+04 8.671E+07 1.818E-14 4.116E-10 2.093E-08 2.425E-03 3.683E-05 1.683E-07 3.268E-06 1.210E+15 2.429E+07 1.345E+01 3.323E-07 2.525E-08
   3.450E+06 5.243E+03 1.809E+17 2.619E+03 1.477E+04 6.833E+07 2.939E-14 4.432E-10 2.506E-08 2.506E-03 3.755E-05 1.508E-07 3.258E-06 1.054E+15 2.421E+07 1.245E+01 3.384E-07 2.658E-08
   3.550E+06 4.464E+03 1.540E+17 2.018E+03 1.499E+04 5.290E+07 4.559E-14 4.787E-10 3.002E-08 2.569E-03 3.813E-05 1.337E-07 3.243E-06 9.164E+14 2.412E+07 1.132E+01 3.442E-07 2.799E-08
   3.650E+06 3.801E+03 1.311E+17 1.525E+03 1.514E+04 4.026E+07 6.856E-14 5.188E-10 3.587E-08 2.619E-03 3.860E-05 1.172E-07 3.221E-06 7.947E+14 2.400E+07 1.012E+01 3.498E-07 2.948E-08
   3.750E+06 3.236E+03 1.116E+17 1.133E+03 1.519E+04 3.016E+07 1.025E-13 5.640E-10 4.263E-08 2.658E-03 3.896E-05 1.017E-07 3.193E-06 6.878E+14 2.385E+07 8.899E+00 3.552E-07 3.105E-08
   3.850E+06 2.756E+03 9.505E+16 8.283E+02 1.512E+04 2.229E+07 1.636E-13 6.148E-10 5.035E-08 2.687E-03 3.925E-05 8.728E-08 3.160E-06 5.942E+14 2.364E+07 7.724E+00 3.604E-07 3.270E-08
   3.950E+06 2.347E+03 8.094E+16 5.976E+02 1.494E+04 1.628E+07 3.150E-13 6.716E-10 5.915E-08 2.708E-03 3.947E-05 7.426E-08 3.121E-06 5.126E+14 2.339E+07 6.626E+00 3.655E-07 3.442E-08
   4.050E+06 1.998E+03 6.893E+16 4.255E+02 1.475E+04 1.176E+07 7.540E-13 7.351E-10 6.953E-08 2.725E-03 3.965E-05 6.260E-08 3.077E-06 4.417E+14 2.315E+07 5.619E+00 3.704E-07 3.620E-08
   4.150E+06 1.702E+03 5.870E+16 2.982E+02 1.472E+04 8.372E+06 1.967E-12 8.061E-10 8.282E-08 2.737E-03 3.979E-05 5.211E-08 3.027E-06 3.801E+14 2.305E+07 4.699E+00 3.752E-07 3.803E-08
   4.250E+06 1.449E+03 4.999E+16 2.047E+02 1.512E+04 5.850E+06 4.913E-12 8.859E-10 1.017E-07 2.746E-03 3.990E-05 4.261E-08 2.972E-06 3.268E+14 2.330E+07 3.857E+00 3.798E-07 3.989E-08
   4.350E+06 1.234E+03 4.258E+16 1.372E+02 1.622E+04 3.998E+06 1.112E-11 9.765E-10 1.308E-07 2.752E-03 3.998E-05 3.411E-08 2.912E-06 2.806E+14 2.405E+07 3.098E+00 3.843E-07 4.177E-08
   4.450E+06 1.051E+03 3.627E+16 9.012E+01 1.814E+04 2.682E+06 2.260E-11 1.081E-09 1.757E-07 2.757E-03 4.006E-05 2.682E-08 2.847E-06 2.408E+14 2.537E+07 2.445E+00 3.886E-07 4.367E-08
   4.550E+06 8.957E+02 3.089E+16 5.866E+01 2.082E+04 1.784E+06 4.147E-11 1.202E-09 2.430E-07 2.760E-03 4.011E-05 2.092E-08 2.774E-06 2.065E+14 2.711E+07 1.917E+00 3.928E-07 4.558E-08
   4.650E+06 7.630E+02 2.632E+16 3.835E+01 2.396E+04 1.192E+06 6.954E-11 1.344E-09 3.378E-07 2.763E-03 4.016E-05 1.640E-08 2.695E-06 1.770E+14 2.900E+07 1.514E+00 3.968E-07 4.749E-08
   4.750E+06 6.500E+02 2.242E+16 2.545E+01 2.708E+04 8.066E+05 1.078E-10 1.509E-09 4.630E-07 2.765E-03 4.021E-05 1.301E-08 2.609E-06 1.516E+14 3.077E+07 1.219E+00 4.006E-07 4.941E-08
   4.850E+06 5.537E+02 1.910E+16 1.723E+01 2.970E+04 5.549E+05 1.564E-10 1.701E-09 6.184E-07 2.766E-03 4.024E-05 1.050E-08 2.514E-06 1.298E+14 3.219E+07 1.005E+00 4.044E-07 5.134E-08
   4.950E+06 4.718E+02 1.627E+16 1.193E+01 3.142E+04 3.880E+05 2.143E-10 1.921E-09 8.008E-07 2.767E-03 4.028E-05 8.617E-09 2.411E-06 1.110E+14 3.311E+07 8.515E-01 4.080E-07 5.328E-08
   5.050E+06 4.019E+02 1.386E+16 8.427E+00 3.201E+04 2.752E+05 2.797E-10 2.170E-09 1.004E-06 2.768E-03 4.031E-05 7.172E-09 2.300E-06 9.499E+13 3.345E+07 7.403E-01 4.114E-07 5.523E-08
   5.150E+06 3.425E+02 1.181E+16 6.063E+00 3.146E+04 1.975E+05 3.504E-10 2.446E-09 1.221E-06 2.769E-03 4.033E-05 6.037E-09 2.181E-06 8.123E+13 3.323E+07 6.592E-01 4.148E-07 5.720E-08
   5.250E+06 2.918E+02 1.007E+16 4.430E+00 2.990E+04 1.429E+05 4.243E-10 2.750E-09 1.444E-06 2.769E-03 4.036E-05 5.127E-09 2.056E-06 6.944E+13 3.249E+07 5.993E-01 4.180E-07 5.918E-08
   5.350E+06 2.487E+02 8.578E+15 3.277E+00 2.756E+04 1.041E+05 4.993E-10 3.080E-09 1.667E-06 2.770E-03 4.038E-05 4.383E-09 1.928E-06 5.934E+13 3.130E+07 5.550E-01 4.211E-07 6.116E-08
   5.450E+06 2.119E+02 7.310E+15 2.447E+00 2.469E+04 7.636E+04 5.738E-10 3.436E-09 1.882E-06 2.770E-03 4.040E-05 3.771E-09 1.795E-06 5.070E+13 2.973E+07 5.224E-01 4.241E-07 6.314E-08
   5.550E+06 1.806E+02 6.230E+15 1.839E+00 2.155E+04 5.633E+04 6.468E-10 3.818E-09 2.087E-06 2.771E-03 4.042E-05 3.264E-09 1.658E-06 4.330E+13 2.785E+07 4.986E-01 4.270E-07 6.510E-08
   5.650E+06 1.539E+02 5.309E+15 1.388E+00 1.837E+04 4.181E+04 7.175E-10 4.230E-09 2.277E-06 2.771E-03 4.044E-05 2.842E-09 1.520E-06 3.698E+13 2.574E+07 4.818E-01 4.297E-07 6.704E-08
   5.750E+06 1.312E+02 4.525E+15 1.051E+00 1.533E+04 3.124E+04 7.858E-10 4.676E-09 2.451E-06 2.771E-03 4.045E-05 2.491E-09 1.383E-06 3.158E+13 2.347E+07 4.704E-01 4.323E-07 6.896E-08
