,Temp [K],Press [hPa],Alt [km]
0,605.0360737770745,5.960300031304655e-06,141.90120707686495
1,555.5603626476068,9.826900182474674e-06,133.43806770335925
2,488.7978561185939,1.6201850527863826e-05,125.83606414893475
3,414.2169488753716,2.671225107775399e-05,119.27320985847392
4,338.9573808671373,4.404100018007284e-05,113.80727648623834
5,274.8859265000134,7.261274781455995e-05,109.35398948585855
6,232.19300686684093,0.00011971900093499244,105.6690875538596
7,209.28993133012602,0.00019738000389679655,102.45236448001073
8,199.56185830516546,0.0003254225049431625,99.46637789213244
9,197.99469704390378,0.0005365325108641628,96.55803121710255
10,200.13488526591965,0.0008846024854847201,93.64319306790615
11,202.96924439135466,0.001458457461467333,90.69160755226757
12,204.53488605021948,0.0024045749569268082,87.70861876958632
13,203.82870390228675,0.003978249878855422,84.7013116460025
14,201.86244163880107,0.006556825610459782,81.73330920422916
15,201.32580765251691,0.010813825610966887,78.78287899918101
16,203.57986424231603,0.01789799989637686,75.79587492234202
17,209.08699338344644,0.029557750167441554,72.76172806029805
18,216.95747755292314,0.04873074976785574,69.63941294352067
19,226.05833347976807,0.07991075108293444,66.42540238200083
20,235.38420156482553,0.12827324826503173,63.21854799777956
21,244.5591670952677,0.19811999663943425,60.152517551039
22,252.56672005137298,0.29202500445535406,57.31827270472791
23,258.61629921975873,0.41016750037670135,54.76674900476885
24,263.0256938689644,0.5534699885174632,52.47268820044956
25,265.967070310352,0.7304799801204354,50.32165415331731
26,267.298622371565,0.9559475001879036,48.22110716824197
27,266.88408170846094,1.2447949848137796,46.15612558622641
28,264.84223165909015,1.6128499992191792,44.139698641715775
29,261.21596119893616,2.0793249714188278,42.18339804359716
30,256.6124219478842,2.6674249675124884,40.295487841722625
31,251.74092120426957,3.4048750530928373,38.47916210798089
32,246.95211251465994,4.324574954807758,36.73375400708096
33,242.2353693943544,5.465399939566851,35.05727690159767
34,237.723647387737,6.872850004583597,33.44739812166076
35,233.8079411996322,8.59972508624196,31.900168964173908
36,230.59474515932538,10.70705009624362,30.410119792721385
37,227.9415553199349,13.264750130474567,28.972168148685057
38,225.4761968335702,16.35175058618188,27.58331932489556
39,223.0304419460433,20.056750625371933,26.242298130029702
40,220.62439382534816,24.47899989783764,24.948128943436163
41,218.34076390780425,29.7279991209507,23.699605333204083
42,216.26679614099652,35.92325001955032,22.49513500254442
43,214.28861764516324,43.1937500834465,21.333302015939285
44,212.28097920309585,51.67749896645546,20.213350792415206
45,209.9237600863751,61.52049824595451,19.135642692492656
46,207.33105312361556,73.75095784664154,18.0304013565505
47,205.46133140177864,87.82123029232025,16.972931261091045
48,205.39850123277185,103.31712663173676,15.995778182587443
49,206.88813306511526,121.54724076390266,15.015132190197619
50,209.28334948761915,142.99403876066208,14.025187180542018
51,212.2241763028266,168.22507977485657,13.022514650829736
52,215.76521827080606,197.9080867022276,12.013422695054519
53,220.429142236655,232.82861895859241,10.99204999318621
54,226.67434737454397,273.9108167588711,9.942892906203502
55,234.15731012289882,322.2419023513794,8.859436054288953
56,242.332872844227,379.10090386867523,7.73724853419061
57,250.59984522816399,445.992574095726,6.574557231206809
58,258.68226565760335,524.6871747076511,5.3715449414760315
59,265.590772533998,609.7786948084831,4.223643809557794
60,271.09732051365063,691.3894303143024,3.2402077907661524
61,275.044745232679,763.404481112957,2.449828480782777
62,277.44729071615234,820.8583686500788,1.863548108445891
63,279.3203785152911,859.5347665250301,1.4883594673729958
64,280.81514119316523,887.0202489197254,1.2303857838496957
65,282.32357777891093,912.644546944648,0.9956001159322675
66,283.7612150615524,936.1983984708786,0.7843280536289281
67,285.0753298893997,957.485479535535,0.5969322948482777
68,286.12498932187975,976.325407391414,0.43379583438712144
69,286.79967389944534,992.556095123291,0.2950362047422582
