,Temp [K],Press [hPa],Alt [km]
0,681.4726469087941,5.960300031304655e-06,190.6668645917423
1,735.2450115094969,9.826900182474674e-06,180.26674146667298
2,762.5085715312761,1.6201850527863826e-05,169.28971716616192
3,779.4718529792613,2.671225107775399e-05,157.99540974351933
4,788.7731188493219,4.404100018007284e-05,146.513525039459
5,789.7469334334794,7.261274781455995e-05,134.9610466518671
6,780.161792562596,0.00011971900093499244,123.47822488768337
7,753.5538006784702,0.00019738000389679655,112.27114703243697
8,695.8410100763869,0.0003254225049431625,101.69982623244472
9,601.2971345733489,0.0005365325108641628,92.26485189018975
10,484.2359878301164,0.0008846024854847201,84.3919563250113
11,368.44599245059084,0.001458457461467333,78.22243088142639
12,283.0681753915468,0.0024045749569268082,73.50663255732567
13,242.32797877152535,0.003978249878855422,69.66354889314877
14,220.9600780895683,0.006556825610459782,66.28449884207953
15,201.4313676377766,0.010813825610966887,63.20598498683954
16,186.0432480210625,0.01789799989637686,60.3585867883563
17,175.999934839429,0.029557750167441554,57.705279734962154
18,169.9830613305861,0.04873074976785574,55.17724190753192
19,167.26890128682555,0.07991075108293444,52.73568253567886
20,166.80902644538017,0.12827324826503173,50.41640806907993
21,167.68066708685512,0.19811999663943425,48.280372234412916
22,169.12910670436344,0.29202500445535406,46.36021236624672
23,170.57590088921705,0.41016750037670135,44.664433893152044
24,171.67505530040518,0.5534699885174632,43.159243805195814
25,172.3826426594531,0.7304799801204354,41.760322132304964
26,172.74766942894058,0.9559475001879036,40.40091752894478
27,172.89226296419577,1.2447949848137796,39.064729702606684
28,172.97502313656145,1.6128499992191792,37.75294582493809
29,173.37167938191055,2.0793249714188278,36.46461990466097
30,174.46756634721424,2.6674249675124884,35.19597953810877
31,176.23581366979116,3.4048750530928373,33.942373181683955
32,178.21866656555807,4.324574954807758,32.70124174952286
33,179.73710415287826,5.465399939566851,31.47402216854276
34,180.35397263477736,6.872850004583597,30.26583924573593
35,180.12690262588495,8.59972508624196,29.08276296730597
36,179.7054634177298,10.70705009624362,27.928064746994345
37,179.6523956425932,13.264750130474567,26.800981222437258
38,180.1001299119389,16.35175058618188,25.69886739391448
39,180.94284472704777,20.056750625371933,24.61917790814737
40,181.98728540197735,24.47899989783764,23.560306717268627
41,183.09367019000865,29.7279991209507,22.521761613348414
42,184.21221198657372,35.92325001955032,21.503665487701582
43,185.29952157249875,43.1937500834465,20.50642777087438
44,186.4031907642932,51.67749896645546,19.53040983254831
45,187.65786735051876,61.52049824595451,18.575466355136694
46,189.45113933185334,73.75095784664154,17.57572278151028
47,191.9251644277626,87.82123029232025,16.59923153916989
48,195.00687291975473,103.31712663173676,15.678785158096831
49,198.49594247970595,121.54724076390266,14.74268538571588
50,202.17828851573557,142.99403876066208,13.78951606762542
51,205.9663935912535,168.22507977485657,12.818572030828006
52,210.24027518574707,197.9080867022276,11.837432646614136
53,215.62910420026463,232.82861895859241,10.840581615580799
54,222.38401739740095,273.9108167588711,9.813124860173591
55,230.14351132389424,322.2419023513794,8.749587011700402
56,238.54519171866394,379.10090386867523,7.646176493035636
57,247.0236231301996,445.992574095726,6.501270560143894
58,255.4319050142003,524.6871747076511,5.314847197905861
59,262.6264631302831,609.7786948084831,4.181094797898687
60,268.2255357282304,691.3894303143024,3.20884174459746
61,272.10325000145446,763.404481112957,2.427286868871217
62,274.66612066079574,820.8583686500788,1.8474507585819033
63,276.70849736777586,859.5347665250301,1.4761823339389908
64,278.29340153758903,887.0202489197254,1.2207763662366269
65,279.84826439524994,912.644546944648,0.9882743708350358
66,281.3057656136592,936.1983984708786,0.7790324995798451
67,282.62165910057735,957.485479535535,0.5934286479678924
68,283.65141576826943,976.325407391414,0.43185436739675603
69,284.2871215916151,992.556095123291,0.29442837091215446
