pal,methane,methane_label,rank,reaction,column_loss_rate,fraction_of_total_loss
100pc,0.1x,Min methane (0.1x),1,O3 + hv -> O + O2,22565710183.47738,0.7280049981448139
100pc,0.1x,Min methane (0.1x),2,O3 + hv -> O1D + O2,8197569283.609408,0.2644663678910371
100pc,0.1x,Min methane (0.1x),3,NO + O3 -> NO2 + O2,217643736.1127096,0.007021526307688626
100pc,0.1x,Min methane (0.1x),4,OH + O3 -> HO2 + O2,7929819.243855678,0.0002558283340951005
100pc,0.1x,Min methane (0.1x),5,O + O3 -> O2 + O2,6720354.029707929,0.00021680910031860058
100pc,0.1x,Min methane (0.1x),6,H + O3 -> OH + O2,561601.7532216101,1.811814828728864e-05
100pc,0.1x,Min methane (0.1x),7,NO2 + O3 -> NO3 + O2,353306.97021760576,1.1398233785088077e-05
100pc,1x,Original (1x),1,O3 + hv -> O + O2,23310376395.00079,0.7336255242954132
100pc,1x,Original (1x),2,O3 + hv -> O1D + O2,8232764378.622494,0.2591020402812043
100pc,1x,Original (1x),3,NO + O3 -> NO2 + O2,215025591.73060572,0.006767297953375315
100pc,1x,Original (1x),4,OH + O3 -> HO2 + O2,8285756.359526829,0.0002607698069922872
100pc,1x,Original (1x),5,O + O3 -> O2 + O2,6653301.472311688,0.00020939309165196092
100pc,1x,Original (1x),6,H + O3 -> OH + O2,575790.7165016723,1.8121318983444782e-05
100pc,1x,Original (1x),7,NO2 + O3 -> NO3 + O2,354677.0718193365,1.1162417472796618e-05
100pc,10x,Max methane (10x),1,O3 + hv -> O + O2,26296814533.87431,0.7532081714607556
100pc,10x,Max methane (10x),2,O3 + hv -> O1D + O2,8400639722.977644,0.24061585393523172
100pc,10x,Max methane (10x),3,NO + O3 -> NO2 + O2,197419050.81463757,0.0056545876339533785
100pc,10x,Max methane (10x),4,OH + O3 -> HO2 + O2,10761037.047794815,0.0003082236834180093
100pc,10x,Max methane (10x),5,O + O3 -> O2 + O2,6144275.2975072125,0.00017598779334376916
100pc,10x,Max methane (10x),6,H + O3 -> OH + O2,670247.3363186681,1.919760167014604e-05
100pc,10x,Max methane (10x),7,NO2 + O3 -> NO3 + O2,348756.4106071522,9.989277521817319e-06
