pal,methane,methane_label,rank,reaction,column_loss_rate,fraction_of_total_loss
1pc,0.1x,Min methane (0.1x),1,O3 + hv -> O + O2,11080133248.61133,0.5725589266275953
1pc,0.1x,Min methane (0.1x),2,O3 + hv -> O1D + O2,8255953127.082342,0.4266211926036576
1pc,0.1x,Min methane (0.1x),3,NO + O3 -> NO2 + O2,10469143.316238068,0.0005409864056108697
1pc,0.1x,Min methane (0.1x),4,OH + O3 -> HO2 + O2,3226447.8551841048,0.00016672466651207859
1pc,0.1x,Min methane (0.1x),5,O + O3 -> O2 + O2,1109658.7031150376,5.7340916550632906e-05
1pc,0.1x,Min methane (0.1x),6,H + O3 -> OH + O2,1000423.7110513333,5.169626694192834e-05
1pc,0.1x,Min methane (0.1x),7,O1D + O3 -> O2 + O2,26576.79138436137,1.3733390029531084e-06
1pc,1x,Original (1x),1,O3 + hv -> O + O2,11138225152.13635,0.5737748208399485
1pc,1x,Original (1x),2,O3 + hv -> O1D + O2,8258388224.199329,0.4254228262622127
1pc,1x,Original (1x),3,NO + O3 -> NO2 + O2,10270159.778331347,0.0005290572785449091
1pc,1x,Original (1x),4,OH + O3 -> HO2 + O2,3167513.406554714,0.0001631713681964379
1pc,1x,Original (1x),5,O + O3 -> O2 + O2,1070799.2209690083,5.5161178982739954e-05
1pc,1x,Original (1x),6,H + O3 -> OH + O2,991755.5600002619,5.1089321771074844e-05
1pc,1x,Original (1x),7,O3 + M -> O + O2 + M,32103.209586219953,1.6537655754954502e-06
1pc,10x,Max methane (10x),1,O3 + hv -> O + O2,10636711911.114372,0.5644394980540022
1pc,10x,Max methane (10x),2,O3 + hv -> O1D + O2,8193483727.87777,0.4347890477173267
1pc,10x,Max methane (10x),3,NO + O3 -> NO2 + O2,9183115.658541568,0.00048730408759712403
1pc,10x,Max methane (10x),4,OH + O3 -> HO2 + O2,3415098.3238211377,0.0001812229568508373
1pc,10x,Max methane (10x),5,H + O3 -> OH + O2,946924.7810026546,5.024877542519044e-05
1pc,10x,Max methane (10x),6,O + O3 -> O2 + O2,840495.9722925156,4.460110687227363e-05
1pc,10x,Max methane (10x),7,CH3 + O3 -> H2CO + HO2,78254.24010651716,4.1525787645114846e-06
